dataset,chapter_number,sentence_number,source_form,target_form,context_snippet
elfili,6,51,boong,buong,"Sinagot ni Basilio ng mula sa puno hanggang dulo na walang kagatol-gatol sa isa mang f; tinawag siyang bubutok ng guro, nagsalaysay ng isang bagay na ikinatawa ng boong klase, at upang maglalo ang halakhakan at matibayan ang pagkakapangalan ay tinanong pa siya ng ilang tanong na kasabay ang pagkindat sa mga minamabuti, na ang ibig sabihin ay:"
elfili,6,55,boong,buong,"Ang bagay na iyon ay isinama ng loob ng lahat, ang inaantay na kamalian ay hindi sumipot, walang napatawa at ang pangyayaring iyon ay hindi naipatawad sa kaniya ng mabuting praile, sapagka’t sinira ang pag-asa ng boong klase at pinabulaanan ang hula."
elfili,6,57,boong,buong,"At kung sa ibang paaralan, na may sadyang pagnanasang ang mga bata’y matuto, ay nagagalak ang mga nagtuturo kung nakakatagpo ng gayon, sa mga paaralan namang pinamamahalaan ng mga taong ang lalong marami’y nananalig na ang matuto ay makasasama (kun di man sa lahat ay sa mga nag-aaral) ang nangyari kay Basilio ay hindi minabuti, kaya’t hindi na siya natanong sa boong taon."
elfili,6,64,boong,buong,Naging masigla ang boong linggong yaon: nagkaroon ng pulupulutong na paglalabang ginamitan ng sable at tungkod at sa isa’y napatangi si Basilio.
elfili,7,41,boong,buong,Inis ng isang pamamahalang masama ang hilig ay naglagalag ako sa boong mundo at maghapo’t magdamag na pinunyagi ko ang makapag-ipon ng isang kayamanan upang masunod ang aking layon.
elfili,7,172,boong,buong,"Gayon man, kahi’t hindi ninyo tinugunan ang aking pag-asa, sa araw na magbago kayo ng paghahaka, ay hanapin ninyo ako sa aking bahay sa Escolta at paglilingkuran ko kayo ng boong lugod."
elfili,9,31,boong,buong,"Nang dumating ang dating mayari at nabatid ang mga nangyari, ng makitang inaari ng iba ang kaniyang mga lupain, yaong mga lupaing naging sanhi ng ikinamatay ng kaniyang asawa’t anak; nang matagpuang pipi ang kaniyang ama, ang kaniyang anak ay naglilingkod na parang alila, at tumanggap pa ng isang utos, na bigay ng tininti sa nayon, upang alisin ang mga laman ng bahay at iwan ito sa loob ng tatlong araw, ay umupo si kabisang Tales sa piling ng kaniyang ama at hindi man halos nangusap sa boong maghapon."
elfili,10,1,boong,buong,"Kinabukasan, sa gitna ng pagkakamangha ng boong nayon, ay nakituloy sa bahay ni kabisang Tales ang manghihiyas na si Simoun na may kasamang dalawang bataan na may pasang malalaking takba na nababalutan ng lona."
elfili,10,76,boong,buong,"—At tingnan ninyo, tingnan ninyo; dahil lamang sa isa sa mga maliliit na batong bughaw na ito, na waring walang kamalaymalay at di makasasama sa kangino man, malinis na waring buhanging natanggal sa langit, sa isa lamang nito na ihandog sa ukol na panahon ay nagawa ng isang tao ang ipatapon ang kaniyang kagalit, isang magulang na may inaampong mga kaanak, na wari’y nanggulo sa bayan.... at dahil sa isang munting bato pang gaya nito, mapulang wari’y dugo ng puso, gaya nang nasang paghihiganti at kumikislap na gaya ng luha ng mga ulila ay binigyang laya, ang tao’y nakauwi sa kaniyang tahanan, napagbalikan ng ama ang kaniyang mga anak, ng asawa ang kaniyang kabiyak ng puso, at marahil ay nailigtas ang isang boong mag-aanak sa isang maralitang sasapitin."
elfili,10,165,boong,buong,"Ang mga pangalan ninyo’y Luis Habaña, Matias Belarmino, Nicasio Eigasani, Cayetano de Jesus, Mateo Elejorde, Leandro Lopez, Antonino Lopez, Silvestre Ubaldo, Manuel Hidalgo, Paciano Mercado, kayo ang boong bayan ng Kalamba!...."
elfili,10,166,boong,buong,"Lininis ninyo ang inyong mga bukirin, ginugol ninyo sa kanila ang boong buhay, ang mga naimpok, mga pagpupuyat, pagtitipid, at pagkatapos ay inalis sa inyo, pinalayas kayo sa inyong mga tahanan at ipinagbawal sa iba ang kayo’y patuluyin!"
elfili,11,22,boong,buong,"Sa dakong kanan, sa malayo, ay natatanaw ang pulong Talim na lubhang bughaw; sa gitna ng lawa at halos katapat lamang ay may isang pulong kulay dahon, ang pulo sa Kalamba, na walang tao at ang ayos ay waring kabiyak na buan; sa kaliwa, ang magandang pangpangin na nahihiyasan ng kakawayanan, isang bundok bundukang tanaw ang boong lawa, malalawak na bukirin, sa dako pa roon ay bubong na saga sa mga pagitan ng kulay na berdeng maitimitim ng mga dahon, pagkatapos ay ang bayang Kalamba at sa huling dakong abot ng tanaw ay waring bumababa ang langit sa tubig ng lawa na anyong dagat, na siyang sanhing tawagin siyang “dagat na tabang” ng mga taga roon."
elfili,11,165,boong,buong,—Ngunit maminsanminsan ay may sabong sa boong sanglinggo—ang pahiwatig ni P. Camorra—at hindi dapat na yamang ang may pasabong ay nagbabayad sa Pamahalaan ay......
elfili,11,241,boong,buong,"Sa gayon ay nagsalita si P. Fernandez, na sa boong pagtatalo ay nanira lamang sa kangingiti."
elfili,13,77,boong,buong,"Kaya’t ang iniuudyok ng kaniyang anghel na taga pag-adya ay ipagkait ng boong tibay ng kaluluwa at katigasan ng kaniyang buhok ang ano mang bagay, at handa nang bumitiw ng isang matinding ¡nego!"
elfili,13,126,boong,buong,"Isa ring kaawaang gawa ang gayon; kaya’t ipinatuloy ng boong puso ng nagtuturo ang gawain, na maliwanag na inulit ang katanungan:"
elfili,13,139,boong,buong,"At tinindihan ang mga ergo at ang mga mo ng boong diin at ikinindat ang mata na waring ang ibig sabihin, ay: ¡luto ka na!"
elfili,13,143,boong,buong,"Ang boong klase ay hindi nagdamdam sa gayon, inari pang mainam ng marami ang pagkakatula, kaya’t nangagtawanan."
elfili,13,205,boong,buong,Ang boong paaralan ay nasindak: ang gayong pagpapakilala ng karangalan ay hindi pa halos nakikita: ¿sino ang makaakala na si Placido Penitente....?
elfili,14,36,boong,buong,"Si Isagani’y sinalubong ng boong giliw, na gaya rin ng taga Españang si Sandoval, na kawaning dumating sa Maynila at tinatapos ang kaniyang pag-aaral, na kaisang lubos sa mga hangarin ng mga nag-aaral na pilipino."
elfili,15,5,boong,buong,"Malaki ang itinanda ng abogado, ubanin na at ang kaniyang upaw ay halos laganap sa boong tuktok."
elfili,15,82,boong,buong,"gawin nila ang ginawa ninyo, sunugin nila ang kanilang kilay sa pag-aaral at maging upawin silang gaya ko sa pagsasaulo ng boo boong salaysay...."
elfili,16,59,boong,buong,"At upang ang nasang duhagihin sila’y mabunyag, ay ginanap ang kautusan ng boong karingalan at ginamitan ng mga sangkap, nilibid ang simbahan ng isang pulutong na kabayuhan, samantalang ang lahat ng nasa loob ay pinapawisan."
elfili,18,66,boong,buong,"Ang kabulaanan, na tinuran ng boong pananalig at walang kabirobiro ay untiunting nagtagumpay, kaya’t nang idaan ang kaha ay walang isa mang nangahas na huminga."
elfili,18,74,boong,buong,"Leeds na inilapat nang boong pag-iingat ang takip ng kaha—ay siniyasat ko ang papiro, at nakita ko ang dalawang salita na hindi ko batid ang kahulugan."
elfili,18,102,boong,buong,Sa gitna ng boong katahimikan ay nagpatuloy ang amerikano na ang boses ay nanginginig:
elfili,18,125,boong,buong,Ang mga saserdoteng ehipsiyo ay umalinsunod ng boong loob sa mga utos ni Gaumata sapagka’t ako’y kanilang kinatatakutan at upang huwag kong ihayag sa bayan ang kanilang mga pang-uulol.
elfili,19,93,boong,buong,Sa boong linakaran ay namalaging walang imik si Simoun na waring may iniisip na isang malaking bagay.
elfili,20,2,boong,buong,"Si D. Custodio, ang masipag na si D. Custodio, ang lalong masipag sa lahat ng mga nagpapalagay sa boong mundo, alinsunod kay Ben-Zayb, ay siyang tumutungkol sa kaniya at dinadaan ang mga maghapunan sa pagbabasa sa mga kasulatan at nakakatulog nang walang naipapasiyang anoman: babangon sa kinabukasan, gayon din ang gagawin, matutulog na muli at sunod sunod na gayon ang nangyayari."
elfili,20,63,boong,buong,"Gayon man, ay kumakain siya ng lamang kati sa boong kurisma, tangi lamang sa Viernes Santo; hindi nagkukumpisal kailan man, hindi naniniwala sa mga kababalaghan, ni sa hindi pagkakamali ng Papa, at kung nagsisimba, ay nagsisimba sa ika sampu ng umaga o sa lalong maikling misa, sa misa ng tropa."
elfili,20,71,boong,buong,Ang sabi niyang ito’y lumaganap at sa mahabang panaho’y binanggit banggit ni Ben-Zayb at gayon din ng boong Maynila; pinakapuripuri ng Maynilang naghuhulo.
elfili,21,200,boong,buong,"iyan ang mangangalakal na si F, na ang lahat ng bagay ay pinagdadayaan, sampu ng kaniyang fe de bautismo; pinagpipilitan niyang maging mistisong kastila sa lahat ng paraan at iniuubos ang boong kaya upang malimot ang sarili niyang wika."
elfili,22,56,boong,buong,"Libo-libong pagbubulay na walang linaw ang sumisipot sa kaniyang alaala, na wari’y malalayong ulinignig ng tugtugang nadidingig sa kinagabihan, wari’y himig ng isang awit ng panahon ng kabataan niya, alingawngaw ng ulilang kagubatan at mapapanglaw na batisan, mga gabing may buwan sa tabi ng dagat na nalalatag ng boong kalaparan sa harap ng kaniyang paningin...."
elfili,22,119,boong,buong,"Ang galaw ay wari’y reina at tinitingnan nang pawalang bahala ang boong salas na waring ang ibig sabihin ay: “Nahuli pa ako kay sa inyo, talaksan ng mga tiwali at malalayo sa tunog ng kampana, dumating akong huli pa kay sa inyo”."
elfili,22,198,chic,chik,"Linaluan noon ang lahat sa chic, sapagka’t siyang huling darating."
elfili,23,17,boong,buong,"At binibigyan siya ng isang munting sermon na ukol sa bagay na iyon, sa pamag-itan ng isang boong pananalig at sigabo, na si Basilio’y nagkakaroon tuloy ng pagkalugod sa nangangaral."
elfili,23,35,boong,buong,"—Ang boong katawan ay nakakalatan na ng lason; bukas o makalawa ay mangyayaring mamatay na wari’y tinamaan ng lintik.... ang lalong maliit na sanhi, isang walang kabuluhang bagay, isang sulak ng kalooban ay mangyayaring makamatay sa kaniya...."
elfili,23,112,boong,buong,"At hindi na naalaala ang pag-aaral, at ang tingin ay sa malayo, ay iniisip-isip ang kapalaran ng dalawang iyon: ang isa’y binata, mayaman, bihasa, malaya, nakapagpapasiya sa sariling kabuhayan, may magandang kinabukasan, at ang babai’y kasingganda ng isang pangarap, malinis, lipus pananalig at walang kamalayan sa lakad ng kamunduhan, nakakandong sa mga giliw at ngiti, nalalaan sa isang maligayang pamumuhay, na sambahin ng kaniyang mga kaanak at igagalang sa mundo, ngunit gayon man, ang dalawang iyon na lipus ng pag-ibig, puno ng mga adhika’t pag-asa, dahil sa isang sawing kapalaran, ang lalaki’y naglalagalag sa boong lupalop na tangay ng ipo-ipong dugo at luha, naghahasik ng kasamaan at hindi kabutihan, inaapi ang kabaitan, at inaayo ang masamang hilig, samantalang ang babai ay naghihingalo sa dilim na mahiwaga ng claustro na kaniyang pinasukan sa paghanap ng kapayapaan, ngunit mga pagbabata marahil ang natagpo; malinis at walang bahid dungis nang siya’y pumasok at naghingalo siya roong wari’y bulaklak na lugas...."
elfili,24,6,boong,buong,"Iniisip ni Isagani ang mga paglalakaran, ang mga gabing may buwan, ang peria, ang mga madaling araw ng Disyembre matapos ang misa de gallo, ang agua bendita na karaniwang kaniyang iniaabot at pinasasalamatan naman ng binibini sa pamag-itan ng isang tinging puno ng isang boong pagsinta, at kapuwa sila nangingilabot pagtatama ng kanilang mga daliri."
elfili,24,19,boong,buong,"—aniya—Sapagka’t ang isang manglalakbay ay lumunsad sa kaniyang dalampasigan, ay nawawalan na sila ng kalayaan at nagiging sakop o alipin, hindi lamang ng manglalakbay, hindi lamang ng mga nagmamana sa mga ito, kundi ng kanila pang mga kababayan, at hindi sa isang panahon lamang kundi sa boong buhay na!"
elfili,24,29,boong,buong,"At ang pakikilaban sa mga aleman ay pumasok sa kaniyang alaala, at halos dinamdam niya ang pagkakasawata ng gayon; namatay sana siya ng boong kasiyahang loob sa piling ng watawat ng kastila’t pilipino, bago sumuko sa dayuhan:"
elfili,24,57,boong,buong,"—Gayon man, kagabi’y hindi man ninyo napunang ako’y nasa dulaan; sa boong itinagal ng palabas ay minamatyagan ko kayo at hindi ninyo hinihiwalayan ng tingin iyong mga babaing cochers...."
elfili,24,59,boong,buong,"Tungkol sa pagkakaparoon ng babai sa dulaan, ay dapat pang pasalamatan sa kaniya; siya, sa kapipilit ng inali, ay pumaroon lamang sa pag-asang makikita ang binata sa boong palabas."
elfili,24,127,boong,buong,"Sa hinaba haba ng dinaanang iyon, sa boong haba ng baybayin, ng liwaliwan ng Sabana, ng tulay ng España, ay walang nakita si Isagani kundi isang magandang ulong nakatagilid, na mainam ang pusod, na nagtatapos sa isang sunudsunurang liig na nawawala sa mga guyon ng pinya."
elfili,25,134,boong,buong,"Datapwa’y hindi hanggang diyan lamang ang kaniyang kaawaan; kung patay na kayo, ay pagpipilitang kayo’y mailibing ng boong dingal, makikipaglaban upang ang inyong bangkay ay dumaan sa simbahan, tanggapin ang kanilang mga panalangin, at magpapahinga lamang kapag naibigay na kayo, sa mga kamay ng Lumikha, na malinis na malinis dito sa lupa, alang-alang sa mga parusang tinanggap, mga pahirap at mga pagpapakumbaba."
elfili,26,103,boong,buong,"Natanaw sa malayo ang kaibigan niyang Isagani, na, namumutla at bago ang anyo, taglay ang boong gilas kabataan, na nag-uulat sa ilang kasama sa pag-aaral at inilalakas ang pagsasalita na waring walang kabuluhan sa kaniya ang madingig man ng lahat."
elfili,27,51,boong,buong,"Ngunit sa aking pagkanag-aaral na pilipino, ay hindi ko inaakalang ako’y may karapatang sumuri ng inyong inaasal sang-ayon sa inyong mga palatuntunan, sa katolisismo, sa pamahalaan, sa bayang pilipino at sa boong sangkatauhan: mga bagay iyang dapat ninyong linawin sa mga tagapagtatag ninyo, sa Papa, sa pamahalaan, sa boong bayan o sa Dios: sa aking pagkanag-aaral na pilipino, ay ang kautangan lamang ninyo sa amin ang tangi kong tutukuyin."
elfili,27,51,boong,buong,"Ngunit sa aking pagkanag-aaral na pilipino, ay hindi ko inaakalang ako’y may karapatang sumuri ng inyong inaasal sang-ayon sa inyong mga palatuntunan, sa katolisismo, sa pamahalaan, sa bayang pilipino at sa boong sangkatauhan: mga bagay iyang dapat ninyong linawin sa mga tagapagtatag ninyo, sa Papa, sa pamahalaan, sa boong bayan o sa Dios: sa aking pagkanag-aaral na pilipino, ay ang kautangan lamang ninyo sa amin ang tangi kong tutukuyin."
elfili,27,65,boong,buong,"kung ang linalayon ay ang pagpapakain sa mga bilanggo, ang pagbibigay ng kakanin sa mga nagkasala, ay inilalagay ng pamahalaan sa subasta upang matagpuan ang makapagdudulot ng lalong mabuting pagkain, ang hindi papatay ng gutom sa kanila; kapag ang tinutungo ay ang palusugin ang pag-iisip ng isang boong bayanan, palusugin ang kabataan, ang bahaging lalong mabuti, ang sa huli’y magiging siyang bayan at siyang lahat, di lamang hindi inilalagay sa subasta ng pamahalaan, kung di pinalalagi ang kapangyarihan doon sa kalipunan na nagpaparangya ng pag-ayaw sa ikatututo, ng pag-ayaw sa anomang pagkakasulong."
elfili,27,159,boong,buong,"Taho ninyong lubos kung ano ang maaantay ng isang tinuturuang humarap sa isang guro: kayo na, na taglay ang boong pag-ibig sa katwiran, ang boong kagandahang loob, ay nagkakahirap kayo sa pagpipigil ng tinuturan ko ang mapapait na katotohanan, ¡kayong kayo na, P. Fernandez!"
elfili,27,159,boong,buong,"Taho ninyong lubos kung ano ang maaantay ng isang tinuturuang humarap sa isang guro: kayo na, na taglay ang boong pag-ibig sa katwiran, ang boong kagandahang loob, ay nagkakahirap kayo sa pagpipigil ng tinuturan ko ang mapapait na katotohanan, ¡kayong kayo na, P. Fernandez!"
elfili,28,31,boong,buong,"Inaakala kong ang nararapat ay ihanda ang mga kawal at magkunwaring nagpapabaya at nagwawalang bahala, upang mangagsitapang at pangyayari ng anomang kaguluhan ay piyapisin na nang boong tindi!"
elfili,29,25,boong,buong,"Iyong kapuwa mananalo ay hindi matanggap ni Martin Aristorenas, siya, na ang boong buhay ay dinaan sa sabungan at kailan ma’y kaniyang nakita na ang isang manok ay nananalo at ang isa’y natatalo; kung baga man ay magtabla na lamang ang nangyayari."
elfili,29,38,boong,buong,"Si Martin Aristorenas ay nangunting namumutla’t nanginginig, at si insik Quiroga na nakadingig na buo sa pangangatwiran, ay dinulutan ng boong galang ang pilosopo ng isang mabuting tabako at tinanong ng masuyo:"
elfili,29,43,boong,buong,"Kahi’t pinakamamahal ni kapitang Tinong ang labing iyon, ay laan siyang ipagkaloob sa kaniyang matalik na kaibigang hindi niya nadalaw sa boong pagkakasakit."
elfili,29,47,boong,buong,Ang mga exequias nga ay ginawa ng boong dingal.
elfili,29,51,boong,buong,"Ang maawaing matanda’y hindi makatiis, na iyong inaakala niyang talong talo na niya ay magbangon ng boong karangalan, sa pagkamatay."
elfili,30,119,boong,buong,"At samantala’y ang mga nakapagpapasiya ng boong katuwaan sa mga sasapitin ng mga bayan, ang nakapag-uutos ng makatwirang pagpatay, ang sumisira ng katwiran at ginagamit ang karapatan upang magpatibay sa lakas, ay mapayapang nangahihimbing."
elfili,31,14,boong,buong,"Hindi namin malaman kung ang sinasabi nila’y ang aklat na Medicina Legal y Toxicologia ni Dr. Mata o ang ilang pahayagan na ukol sa mga bagay bagay sa Pilipinas na natagpuan sa kaniya, o magkasama na ang dalawang bagay na iyon; ngunit sinasabi rin naman na nagbibiling palihim ng mga aklat na bawal at napataw sa kaawaawang binata ang boong bigat ng timbangan ng katwiran."
elfili,32,8,boong,buong,"At samantalang nangakakatulog at nauusad ang mga kasulatan, samantalang ang mga papel sellado ay dumadami na wari mga tapal ng mga mangmang na manggagamot sa katawan ng isang may sakit na pagkalungkot, si Basilio ay tumatanggap naman ng balita ng boong nangyari sa Tiani, ang pagkamatay ni Huli at pagkawala ni tandang Selo."
elfili,32,46,boong,buong,Ang boong Maynila ay humahanda nang mapapaanyayahan: Kailan ma’y hindi pumasok ang pagkagulumihanan sa mga budhi ng gayon kabagsik na gaya ng hinalang baka di maanyayahan.
elfili,33,72,boong,buong,"Ngayo’y nasa sa harap niya, malinaw at naninilawnilaw, na ibinubuhos ng boong pag-iingat sa loob ng mapanutong granada."
elfili,33,73,boong,buong,"Sa ganang malas niya, waring si Simoun ay yaong genio sa Sanglibo’t isang gabi na lumalabas sa gitna ng dagat: nag-aanyong malakingmalaki, ang ulo’y abot sa langit, pinasabog ang bahay at niyanig ang boong siyudad sa isang galaw ng kaniyang likod."
elfili,33,114,boong,buong,"Ang gayong mga marurugong paghuhulohulo na sinabi sa loob ng boong pananalig at kalamigang loob, ay nakapanglupaypay sa binata, na ang pag-iisip ay ngalay na dahil sa mahigit na tatlong buwang pagkakabilanggo at bulag sa hangad na makapaghiganti, ay hindi na laan sa pagsuri nang tinutungo ng mga bagaybagay."
elfili,33,117,boong,buong,—¡Ano ang sasabihin ng boong mundo sa harap ng gayong pagpapapatay!
elfili,34,24,boong,buong,"Sa gayo’y nakita si Simoun na lumabas sa pinto ng kaniyang bahay na taglay ang sisidlan ng lampara, na nababalot nang boong ingat, lumulan sa isang sasakyang nakisunod sa hanay ng mga umaabay sa mga bagong kasal."
elfili,35,8,boong,buong,"Si D. Timoteo ay payukoyuko sa lahat ng pook; nagtatapon ng isang ngiti, igagalaw ang baywang, uurong, bibigay ng kalahating ikit, boong ikit, ibp."
elfili,35,36,boong,buong,"Dumating si Jupiter na kasama si Juno, na wari’y isang kastilyong sususuhan: may brillante sa ulo, may brillante sa liig, sa mga bisig, mga balikat, sa boong katawan!"
elfili,35,105,boong,buong,"Gulilat at sa takot na madingig ang kakilakilabot na putok, ay lumayo si Basilio nang boong tulin sa sawing pook na iyon: sa wari niya’y wala ang liksing kailangan ng kaniyang mga hita, ang kaniyang mga paa’y nadudulas sa mga bangketa na waring lumalakad at hindi kumikilos, ang mga taong nakakasalubong ay humahadlang sa kaniyang lakad, at bago makadalawang pung hakbang ay waring hindi lamang limang minuto na ang nakaraan."
elfili,36,7,boong,buong,"” Ipinalagay ang ginawa ni P. Irene na pagpasok sa ilalim ng dulang na “biglang udyok ng likas na katapangan, na hindi napaglubag ng habito ng isang Dios ng kapayapaan na isinuot boong buhay”, tinangka ni P. Irene na habulin ang nagkasala at sa pagbagtas niya nang patuwid ay dumaan sa silong ng dulang."
elfili,36,13,boong,buong,"Oo, mga ginoo, ito’y kailangan nang di lamang ng ikabubuti ng kapuluang ito, hindi lamang ng ikabubuti ng boong sangkatauhan, kundi ikabuti ng pangalan ng España, ng karangalan ng pangalang kastila, ng karangalan ng bayang ibero, sapagka’t sa ibabaw ng lahat ng bagay ay mga kastila tayo at ang bandila ng España” ibp."
elfili,37,10,boong,buong,"Ang kaniya nang asawa, ang dakilang si kapitang Toringoy, galing sa pangalang Domingo, ang lalong maligaya sa boong arabal, na walang gawa liban sa magbihis ng mainam, kumain, dumaldal, samantalang ang lahat ng kaanak ay gumagawa at nagsusumakit, ay hindi tumungo sa dati niyang pinaparoonang pinakikipaglipunan, at pinakikinggang natatakottakot at nangangamba ang mga kakilakilabot na ibinabalita ng payagot na si Chichoy."
elfili,37,95,boong,buong,"—Inaakalang sa pamagitan ng lamparang iyon,—ang tugon ni Chichoy;—ay pag-aalabin ang boong bahay, ang pulbura...."
elfili,39,84,boong,buong,"Ang klerigo’y litong nagpatiluhod sa kaniyang reclinatorio, nanalangin sa paanan ng Cristo, isinubsob ang mukha sa dalawang kamay at pagkatapos ay tumindig na walang imik at kagalanggalang na waring tinanggap sa kaniyang Dios ang boong bagsik, ang boong sanghaya, ang boong kapangyarihan ng isang Hukom ng mga budhi."
elfili,39,84,boong,buong,"Ang klerigo’y litong nagpatiluhod sa kaniyang reclinatorio, nanalangin sa paanan ng Cristo, isinubsob ang mukha sa dalawang kamay at pagkatapos ay tumindig na walang imik at kagalanggalang na waring tinanggap sa kaniyang Dios ang boong bagsik, ang boong sanghaya, ang boong kapangyarihan ng isang Hukom ng mga budhi."
