token,count,category,proposed_modern_form,confidence,notes
caugalian,30,A,kaugalian,Medium,Archaic ca/co/cu start
umiimic,30,A,umiimik,Medium,Archaic ending -c
caraming,30,A,karaming,Medium,Archaic ca/co/cu start
casabay,30,A,kasabay,Medium,Archaic ca/co/cu start
macatuwid,30,A,makatuwid,Medium,Archaic intervocalic c
cuartel,29,A,kuartel,Medium,Archaic ca/co/cu start
malungcot,29,E,,Medium,Uncertain
cabilang,28,A,kabilang,Medium,Specific Archaic: cabilang
ucol,28,A,ukol,Medium,Archaic intervocalic c
lacad,28,A,lakad,Medium,Archaic intervocalic c
caibigang,28,A,kaibigang,Medium,Archaic ca/co/cu start
capurihan,27,A,kapurihan,Medium,Archaic ca/co/cu start
kinacailangan,26,A,kinakailangan,Medium,Archaic intervocalic c
umiiyac,26,A,umiiyak,Medium,Archaic ending -c
cruz,26,B,,Medium,Common Spanish Loan
coche,25,B,,Medium,Spanish/Foreign (ch)
galac,25,A,galak,Medium,Archaic ending -c
cawayan,25,A,kawayan,Medium,Archaic ca/co/cu start
caniyang,24,A,kaniyang,Medium,Archaic ca/co/cu start
daco,24,A,dako,Medium,Archaic intervocalic c
hucay,24,A,hukay,Medium,Archaic intervocalic c
cadahilanan,23,A,kadahilanan,Medium,Archaic ca/co/cu start
lumalacad,23,A,lumalakad,Medium,Archaic intervocalic c
cabuluhang,23,A,kabuluhang,Medium,Archaic ca/co/cu start
capitana,23,A,kapitana,Medium,Archaic ca/co/cu start
suloc,22,A,sulok,Medium,Archaic ending -c
pilac,22,A,pilak,Medium,Archaic ending -c
Clarang,22,C,,High,Proper Noun (Contains c)
catuwaan,22,A,katuwaan,Medium,Archaic ca/co/cu start
pumapasoc,22,A,pumapasok,Medium,Archaic ending -c
tumacas,22,A,tumakas,Medium,Archaic intervocalic c
Victoria,22,C,,High,Proper Noun (Contains c)
cahabaghabag,22,A,kahabaghabag,Medium,Archaic ca/co/cu start
nacacaalam,21,A,nakakaalam,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
casayahan,21,A,kasayahan,Medium,Archaic ca/co/cu start
escuela,21,E,,Medium,Uncertain
caramihang,21,A,karamihang,Medium,Archaic ca/co/cu start
Cristo,20,C,,High,Proper/Spanish Common
cagagawan,20,A,kagagawan,Medium,Archaic ca/co/cu start
umimic,20,A,umimik,Medium,Archaic ending -c
manacanacang,20,A,manakanakang,Medium,Archaic intervocalic c
dominico,20,A,dominiko,Medium,Archaic intervocalic c
castilang,20,A,kastilang,Medium,Archaic ca/co/cu start
calugodlugod,20,A,kalugodlugod,Medium,Archaic ca/co/cu start
procesion,20,B,,Medium,Spanish/Foreign pattern (ce/ci)
lintic,19,A,lintik,Medium,Archaic ending -c
nagcaroon,19,A,nagkaroon,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
caraniwan,19,A,karaniwan,Medium,Archaic ca/co/cu start
cakilakilabot,19,A,kakilakilabot,Medium,Archaic ca/co/cu start
cagalingang,19,A,kagalingang,Medium,Archaic ca/co/cu start
cadiliman,19,A,kadiliman,Medium,Archaic ca/co/cu start
cayamanan,19,A,kayamanan,Medium,Archaic ca/co/cu start
Francisco,19,C,,High,Proper/Spanish
cuarta,19,A,kuarta,Medium,Archaic ca/co/cu start
cagandahan,19,A,kagandahan,Medium,Archaic ca/co/cu start
Consolacion,19,C,,High,Proper/Spanish
escuelahan,19,E,,Medium,Uncertain
caraniwang,18,A,karaniwang,Medium,Archaic ca/co/cu start
cacaunti,18,A,kakaunti,Medium,Archaic ca/co/cu start
cacaibang,18,A,kakaibang,Medium,Archaic ca/co/cu start
pacpac,18,A,pakpak,Medium,Archaic ending -c
cahihiyan,18,A,kahihiyan,Medium,Archaic ca/co/cu start
casaliwaang,18,A,kasaliwaang,Medium,Archaic ca/co/cu start
caguluhan,18,A,kaguluhan,Medium,Archaic ca/co/cu start
Bucod,18,C,,High,Proper Noun (Contains c)
campana,18,A,kampana,Medium,Archaic ca/co/cu start
licod,18,A,likod,Medium,Archaic intervocalic c
capayapaan,18,A,kapayapaan,Medium,Archaic ca/co/cu start
indulgencia,17,B,,Medium,Spanish/Foreign pattern (ce/ci)
chocolate,17,B,,Medium,Spanish/Foreign (ch)
tabaco,17,A,tabako,Medium,Archaic intervocalic c
magcabicabila,17,A,magkabikabila,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
catungculang,17,A,katungkulang,Medium,Archaic ca/co/cu start
caayaayang,17,A,kaayaayang,Medium,Archaic ca/co/cu start
licuran,17,A,likuran,Medium,Archaic intervocalic c
candila,17,A,kandila,Medium,Archaic ca/co/cu start
wacas,17,A,wakas,Medium,Archaic intervocalic c
cagabi,17,A,kagabi,Medium,Archaic ca/co/cu start
caculangan,17,A,kakulangan,Medium,Archaic ca/co/cu start
magcapatid,17,A,magkapatid,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
cailangan,17,A,kailangan,Medium,Specific Archaic: cailangan
Jesucristo,16,C,,High,Proper Noun (Contains c)
conservador,16,A,konservador,Medium,Archaic ca/co/cu start
Chichoy,16,C,,High,Proper/Foreign (ch)
nacalagay,16,A,nakalagay,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
alac,16,A,alak,Medium,Archaic ending -c
calayaan,16,A,kalayaan,Medium,Archaic ca/co/cu start
cumilos,16,A,kumilos,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
nagtataca,16,A,nagtataka,Medium,Archaic intervocalic c
capanatagan,16,A,kapanatagan,Medium,Archaic ca/co/cu start
nacapagbibigay,16,A,nakapagbibigay,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
casam,16,A,kasam,Medium,Archaic ca/co/cu start
cumikilos,16,A,kumikilos,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
candilang,16,A,kandilang,Medium,Archaic ca/co/cu start
magpacailan,16,A,magpakailan,Medium,Archaic intervocalic c
cakilala,15,A,kakilala,Medium,Archaic ca/co/cu start
hacbang,15,E,,Medium,Uncertain
magcabicabilang,15,A,magkabikabilang,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
umiyac,15,A,umiyak,Medium,Archaic ending -c
cumulang,15,A,kumulang,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
macapag,15,A,makapag,Medium,Archaic intervocalic c
balicat,15,A,balikat,Medium,Archaic intervocalic c
calungcutan,15,A,kalungkutan,Medium,Archaic ca/co/cu start
caligayahan,15,A,kaligayahan,Medium,Archaic ca/co/cu start
acalang,15,A,akalang,Medium,Archaic intervocalic c
culog,15,A,kulog,Medium,Archaic ca/co/cu start
alaboc,15,A,alabok,Medium,Archaic ending -c
caninang,15,A,kaninang,Medium,Archaic ca/co/cu start
cabanalan,15,A,kabanalan,Medium,Archaic ca/co/cu start
baclad,15,E,,Medium,Uncertain
Victorinang,14,C,,High,Proper Noun (Contains c)
Camaroncocido,14,C,,High,Proper/Spanish
camatayan,14,A,kamatayan,Medium,Archaic ca/co/cu start
cristal,14,E,,Medium,Uncertain
causap,14,A,kausap,Medium,Archaic ca/co/cu start
cababayan,14,A,kababayan,Medium,Archaic ca/co/cu start
cumain,14,A,kumain,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
carapatan,14,A,karapatan,Medium,Archaic ca/co/cu start
iyac,14,A,iyak,Medium,Archaic ending -c
cataohan,14,A,kataohan,Medium,Archaic ca/co/cu start
justicia,14,B,,Medium,Spanish/Foreign pattern (ce/ci)
catawang,14,A,katawang,Medium,Archaic ca/co/cu start
inacala,14,A,inakala,Medium,Archaic intervocalic c
nagcacailangan,14,A,nagkakailangan,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
calabaw,14,A,kalabaw,Medium,Archaic ca/co/cu start
kinabucasan,14,A,kinabukasan,Medium,Archaic intervocalic c
calapit,14,A,kalapit,Medium,Archaic ca/co/cu start
panucalang,14,A,panukalang,Medium,Archaic intervocalic c
bangco,14,E,,Medium,Uncertain
cuadrillero,14,A,kuadrillero,Medium,Archaic ca/co/cu start
balac,14,A,balak,Medium,Archaic ending -c
Carolino,13,C,,High,Proper Noun (Capitalized ca/co/cu)
casamahan,13,A,kasamahan,Medium,Archaic ca/co/cu start
casangcapan,13,A,kasangkapan,Medium,Archaic ca/co/cu start
Inaacala,13,C,,High,Proper Noun (Contains c)
capahamacan,13,A,kapahamakan,Medium,Archaic ca/co/cu start
camag,13,A,kamag,Medium,Archaic ca/co/cu start
yumucod,13,A,yumukod,Medium,Archaic intervocalic c
hawac,13,A,hawak,Medium,Archaic ending -c
casalucuyang,13,A,kasalukuyang,Medium,Archaic ca/co/cu start
camusmusan,13,A,kamusmusan,Medium,Archaic ca/co/cu start
yantoc,13,A,yantok,Medium,Archaic ending -c
capalaran,13,A,kapalaran,Medium,Archaic ca/co/cu start
cristiano,13,B,,Medium,Common Spanish Loan
bundoc,13,A,bundok,Medium,Archaic ending -c
aclat,13,E,,Medium,Uncertain
Vice,12,C,,High,Proper/Spanish
Cruz,12,C,,High,Proper/Spanish Common
coadjutor,12,A,koadjutor,Medium,Archaic ca/co/cu start
camalian,12,A,kamalian,Medium,Archaic ca/co/cu start
cumacain,12,A,kumakain,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
caramihan,12,A,karamihan,Medium,Archaic ca/co/cu start
cata'y,12,A,kata'y,Medium,Archaic ca/co/cu start
capit,12,A,kapit,Medium,Archaic ca/co/cu start
putoc,12,A,putok,Medium,Archaic ending -c
nacaupo,12,A,nakaupo,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
masaclap,12,E,,Medium,Uncertain
adhica,12,A,adhika,Medium,Archaic intervocalic c
corresponsal,12,A,korresponsal,Medium,Archaic ca/co/cu start
excomunion,12,E,,Medium,Uncertain
Rector,11,C,,High,Proper Noun (Contains c)
Escolta,11,C,,High,Proper Noun (Contains c)
pangaco,11,A,pangako,Medium,Archaic intervocalic c
mabalasic,11,A,mabalasik,Medium,Archaic ending -c
caasalan,11,A,kaasalan,Medium,Archaic ca/co/cu start
caguinsaguinsa'y,11,A,kaguinsaguinsa'y,Medium,Archaic ca/co/cu start
bumalic,11,A,bumalik,Medium,Archaic ending -c
hucom,11,A,hukom,Medium,Archaic intervocalic c
catotohanang,11,A,katotohanang,Medium,Archaic ca/co/cu start
cuchara,11,B,,Medium,Spanish/Foreign (ch)
cocheng,11,B,,Medium,Spanish/Foreign (ch)
capighatian,11,A,kapighatian,Medium,Archaic ca/co/cu start
cautusan,11,A,kautusan,Medium,Archaic ca/co/cu start
caliwanagan,11,A,kaliwanagan,Medium,Archaic ca/co/cu start
macapangyarihan,11,A,makapangyarihan,Medium,Archaic intervocalic c
cagulatgulat,11,A,kagulatgulat,Medium,Archaic ca/co/cu start
cawasa,11,A,kawasa,Medium,Archaic ca/co/cu start
capangyarihang,11,A,kapangyarihang,Medium,Archaic ca/co/cu start
cumuha,11,A,kumuha,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
salacot,11,A,salakot,Medium,Archaic intervocalic c
ocho,11,B,,Medium,Spanish/Foreign (ch)
directorcillo,11,B,,Medium,Spanish/Foreign pattern (ce/ci)
caawaawang,11,A,kaawaawang,Medium,Archaic ca/co/cu start
cahit,11,A,kahit,Medium,Specific Archaic: cahit
cawani,11,A,kawani,Medium,Archaic ca/co/cu start
cangino,11,A,kangino,Medium,Archaic ca/co/cu start
caraniwa'y,10,A,karaniwa'y,Medium,Archaic ca/co/cu start
calagayang,10,A,kalagayang,Medium,Archaic ca/co/cu start
catuwirang,10,A,katuwirang,Medium,Archaic ca/co/cu start
culot,10,A,kulot,Medium,Archaic ca/co/cu start
maicling,10,E,,Medium,Uncertain
palibac,10,A,palibak,Medium,Archaic ending -c
campanario,10,A,kampanario,Medium,Archaic ca/co/cu start
macaalam,10,A,makaalam,Medium,Archaic intervocalic c
calolowang,10,A,kalolowang,Medium,Archaic ca/co/cu start
malulungcot,10,E,,Medium,Uncertain
cahirapan,10,A,kahirapan,Medium,Archaic ca/co/cu start
cacampi,10,A,kakampi,Medium,Archaic ca/co/cu start
Clara'y,10,C,,High,Proper Noun (Contains c)
nacapag,10,A,nakapag,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
nacabitin,10,A,nakabitin,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
binucsan,10,E,,Medium,Uncertain
tumacbo,10,E,,Medium,Uncertain
capanglawan,10,A,kapanglawan,Medium,Archaic ca/co/cu start
calahating,10,A,kalahating,Medium,Archaic ca/co/cu start
natatacot,10,A,natatakot,Medium,Archaic intervocalic c
Consolaciong,10,C,,High,Proper/Spanish
Sacali't,10,C,,High,Proper Noun (Contains c)
magnanacaw,10,A,magnanakaw,Medium,Archaic intervocalic c
nacacakita,10,A,nakakakita,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
calahati,10,A,kalahati,Medium,Archaic ca/co/cu start
macakita,10,A,makakita,Medium,Archaic intervocalic c
saloc,10,A,salok,Medium,Archaic ending -c
caugaliang,10,A,kaugaliang,Medium,Archaic ca/co/cu start
cabo,10,A,kabo,Medium,Archaic ca/co/cu start
carro,10,A,karro,Medium,Archaic ca/co/cu start
copa,9,A,kopa,Medium,Archaic ca/co/cu start
Pascual,9,C,,High,Proper Noun (Contains c)
Patrocinio,9,C,,High,Proper/Spanish
Binundoc,9,A,Binundok,Medium,Archaic ending -c
China,9,C,,High,Proper/Foreign (ch)
macasalanan,9,A,makasalanan,Medium,Archaic intervocalic c
capalit,9,A,kapalit,Medium,Archaic ca/co/cu start
casing,9,A,kasing,Medium,Archaic ca/co/cu start
cahalingan,9,A,kahalingan,Medium,Archaic ca/co/cu start
cayang,9,A,kayang,Medium,Archaic ca/co/cu start
Sucat,9,C,,High,Proper Noun (Contains c)
bacas,9,A,bakas,Medium,Archaic intervocalic c
capisanan,9,A,kapisanan,Medium,Archaic ca/co/cu start
cataasan,9,A,kataasan,Medium,Archaic ca/co/cu start
nacangiti,9,A,nakangiti,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
cacanin,9,A,kakanin,Medium,Archaic ca/co/cu start
paglalacbay,9,E,,Medium,Uncertain
tumatacbo,9,E,,Medium,Uncertain
carukhaan,9,A,karukhaan,Medium,Archaic ca/co/cu start
natatacpan,9,E,,Medium,Uncertain
cumacapit,9,A,kumakapit,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
manacanaca,9,A,manakanaka,Medium,Archaic intervocalic c
nacatindig,9,A,nakatindig,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
kinacatawan,9,A,kinakatawan,Medium,Archaic intervocalic c
causapin,9,A,kausapin,Medium,Archaic ca/co/cu start
cararating,9,A,kararating,Medium,Archaic ca/co/cu start
udyoc,9,A,udyok,Medium,Archaic ending -c
calakilakihang,9,A,kalakilakihang,Medium,Archaic ca/co/cu start
caibhan,9,A,kaibhan,Medium,Archaic ca/co/cu start
Nacu,9,A,Naku,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
Justicia,9,C,,High,Proper/Spanish
calaguimlaguim,9,A,kalaguimlaguim,Medium,Archaic ca/co/cu start
hibic,9,A,hibik,Medium,Archaic ending -c
macapagsalita,9,A,makapagsalita,Medium,Archaic intervocalic c
capaitan,9,A,kapaitan,Medium,Archaic ca/co/cu start
Kinacailangang,9,C,,High,Proper Noun (Contains c)
tumitiboc,9,A,tumitibok,Medium,Archaic ending -c
catiwasayan,9,A,katiwasayan,Medium,Archaic ca/co/cu start
cha,9,B,,Medium,Spanish/Foreign (ch)
camtan,9,A,kamtan,Medium,Archaic ca/co/cu start
caawaawa,9,A,kaawaawa,Medium,Archaic ca/co/cu start
Clarita,9,C,,High,Proper Noun (Contains c)
pingcaw,9,E,,Medium,Uncertain
Medicina,8,C,,High,Proper/Spanish
con,8,A,kon,Medium,Archaic ca/co/cu start
frac,8,B,,Medium,Foreign ending in c
cuchillo,8,B,,Medium,Spanish/Foreign (ch)
catoto,8,A,katoto,Medium,Archaic ca/co/cu start
cacaiba,8,A,kakaiba,Medium,Archaic ca/co/cu start
nacaraang,8,A,nakaraang,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
catatagan,8,A,katatagan,Medium,Archaic ca/co/cu start
ipinanganac,8,A,ipinanganak,Medium,Archaic ending -c
catowaan,8,A,katowaan,Medium,Archaic ca/co/cu start
nacasuot,8,A,nakasuot,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
matalic,8,A,matalik,Medium,Archaic ending -c
catutubong,8,A,katutubong,Medium,Archaic ca/co/cu start
tahimic,8,A,tahimik,Medium,Archaic ending -c
nacahahadlang,8,A,nakahahadlang,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
nacion,8,B,,Medium,Spanish/Foreign pattern (ce/ci)
pagpapacahirap,8,A,pagpapakahirap,Medium,Archaic intervocalic c
hinawacan,8,A,hinawakan,Medium,Archaic intervocalic c
acalaing,8,A,akalaing,Medium,Archaic intervocalic c
catampalasanan,8,A,katampalasanan,Medium,Archaic ca/co/cu start
libac,8,A,libak,Medium,Archaic ending -c
casamaang,8,A,kasamaang,Medium,Archaic ca/co/cu start
nagcasiya,8,A,nagkasiya,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
nacakita,8,A,nakakita,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
caingayan,8,A,kaingayan,Medium,Archaic ca/co/cu start
bucal,8,A,bukal,Medium,Archaic intervocalic c
usoc,8,A,usok,Medium,Archaic ending -c
macapangyarihang,8,A,makapangyarihang,Medium,Archaic intervocalic c
putucan,8,A,putukan,Medium,Archaic intervocalic c
niyacap,8,A,niyakap,Medium,Archaic intervocalic c
malalacas,8,A,malalakas,Medium,Archaic intervocalic c
cahinaan,8,A,kahinaan,Medium,Archaic ca/co/cu start
bacol,8,A,bakol,Medium,Archaic intervocalic c
tumatacas,8,A,tumatakas,Medium,Archaic intervocalic c
nagcacamali,8,A,nagkakamali,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
calaguitnaan,8,A,kalaguitnaan,Medium,Archaic ca/co/cu start
macagawa,8,A,makagawa,Medium,Archaic intervocalic c
nacayayamot,8,A,nakayayamot,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
cawayang,8,A,kawayang,Medium,Archaic ca/co/cu start
canin,8,A,kanin,Medium,Archaic ca/co/cu start
magcacaroon,8,A,magkakaroon,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
Magcacaroon,8,A,Magkakaroon,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
palacad,8,A,palakad,Medium,Archaic intervocalic c
nagcuculang,8,A,nagkukulang,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
pangcat,8,E,,Medium,Uncertain
comedia,8,B,,Medium,Common Spanish Loan
cawacasan,8,A,kawakasan,Medium,Archaic ca/co/cu start
lumacad,8,A,lumakad,Medium,Archaic intervocalic c
Pumasoc,8,A,Pumasok,Medium,Archaic ending -c
cadakilaan,8,A,kadakilaan,Medium,Archaic ca/co/cu start
ceremonia,8,B,,Medium,Spanish/Foreign pattern (ce/ci)
excomulgado,8,E,,Medium,Uncertain
sicad,8,A,sikad,Medium,Archaic intervocalic c
escribano,7,E,,Medium,Uncertain
tercero,7,B,,Medium,Spanish/Foreign pattern (ce/ci)
colegio,7,B,,Medium,Common Spanish Loan
Penchang,7,C,,High,Proper/Foreign (ch)
condecoracion,7,B,,Medium,Spanish/Foreign pattern (ce/ci)
cafe,7,A,kafe,Medium,Archaic ca/co/cu start
marcha,7,B,,Medium,Spanish/Foreign (ch)
Victor,7,C,,High,Proper Noun (Contains c)
bangcang,7,E,,Medium,Uncertain
naglalacbay,7,E,,Medium,Uncertain
matangcad,7,E,,Medium,Uncertain
nacalalaguim,7,A,nakalalaguim,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
casamang,7,A,kasamang,Medium,Archaic ca/co/cu start
cagalangan,7,A,kagalangan,Medium,Archaic ca/co/cu start
magbalic,7,A,magbalik,Medium,Archaic ending -c
caacbay,7,A,kaakbay,Medium,Archaic ca/co/cu start
lingcod,7,E,,Medium,Uncertain
capangagaw,7,A,kapangagaw,Medium,Archaic ca/co/cu start
calayaang,7,A,kalayaang,Medium,Archaic ca/co/cu start
casambahay,7,A,kasambahay,Medium,Archaic ca/co/cu start
calamigan,7,A,kalamigan,Medium,Archaic ca/co/cu start
naglalacad,7,A,naglalakad,Medium,Archaic intervocalic c
bacal,7,A,bakal,Medium,Archaic intervocalic c
casawiang,7,A,kasawiang,Medium,Archaic ca/co/cu start
nacaliliguid,7,A,nakaliliguid,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
cahapishapis,7,A,kahapishapis,Medium,Archaic ca/co/cu start
capirasong,7,A,kapirasong,Medium,Archaic ca/co/cu start
nacatitig,7,A,nakatitig,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
canicanyang,7,A,kanikanyang,Medium,Archaic ca/co/cu start
cunot,7,A,kunot,Medium,Archaic ca/co/cu start
casabihan,7,A,kasabihan,Medium,Archaic ca/co/cu start
casabihang,7,A,kasabihang,Medium,Archaic ca/co/cu start
casal,7,A,kasal,Medium,Archaic ca/co/cu start
inaacalang,7,A,inaakalang,Medium,Archaic intervocalic c
tinacpan,7,E,,Medium,Uncertain
carreton,7,A,karreton,Medium,Archaic ca/co/cu start
ciudad,7,B,,Medium,Spanish/Foreign pattern (ce/ci)
capalarang,7,A,kapalarang,Medium,Archaic ca/co/cu start
Bucas,7,A,Bukas,Medium,Specific Archaic: bucas
caisipang,7,A,kaisipang,Medium,Archaic ca/co/cu start
tagac,7,A,tagak,Medium,Archaic ending -c
pagpasoc,7,A,pagpasok,Medium,Archaic ending -c
buloc,7,A,bulok,Medium,Archaic ending -c
nacasabit,7,A,nakasabit,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
cordon,7,A,kordon,Medium,Archaic ca/co/cu start
nagcucruz,7,A,nagkukruz,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
cahuluga'y,7,A,kahuluga'y,Medium,Archaic ca/co/cu start
tumbalic,7,A,tumbalik,Medium,Archaic ending -c
bacod,7,A,bakod,Medium,Archaic intervocalic c
catotohana'y,7,A,katotohana'y,Medium,Archaic ca/co/cu start
sicat,7,A,sikat,Medium,Archaic intervocalic c
iniuucol,7,A,iniuukol,Medium,Archaic intervocalic c
vaca,7,A,vaka,Medium,Archaic intervocalic c
sacristia,7,E,,Medium,Uncertain
casaysayan,7,A,kasaysayan,Medium,Archaic ca/co/cu start
cataimtiman,7,A,kataimtiman,Medium,Archaic ca/co/cu start
caharap,7,A,kaharap,Medium,Archaic ca/co/cu start
catacottacot,7,A,katakottakot,Medium,Archaic ca/co/cu start
comediang,7,A,komediang,Medium,Archaic ca/co/cu start
principe,7,B,,Medium,Spanish/Foreign pattern (ce/ci)
casacunaan,7,A,kasakunaan,Medium,Archaic ca/co/cu start
casagutan,7,A,kasagutan,Medium,Archaic ca/co/cu start
pinagcacautangan,7,A,pinagkakautangan,Medium,Archaic intervocalic c
geroglifico,7,A,geroglifiko,Medium,Archaic intervocalic c
cahalagahan,7,A,kahalagahan,Medium,Archaic ca/co/cu start
musicang,7,A,musikang,Medium,Archaic intervocalic c
