source_form,target_form,rule_type,notes,apply_case_sensitive,word_boundary_only
capatid,kapatid,lexicon,Archaic C/Qu/Gui normalization,True,True
capitang,kapitang,lexicon,Archaic C/Qu/Gui normalization,True,True
carunungan,karunungan,lexicon,Archaic C/Qu/Gui normalization,True,True
casama,kasama,lexicon,Archaic C/Qu/Gui normalization,True,True
castila,kastila,lexicon,Archaic C/Qu/Gui normalization,True,True
catawan,katawan,lexicon,Archaic C/Qu/Gui normalization,True,True
catotohanan,katotohanan,lexicon,Archaic C/Qu/Gui normalization,True,True
catulad,katulad,lexicon,Archaic C/Qu/Gui normalization,True,True
cay,kay,lexicon,Archaic C/Qu/Gui normalization,True,True
caya,kaya,lexicon,Archaic C/Qu/Gui normalization,True,True
cayo,kayo,lexicon,Archaic C/Qu/Gui normalization,True,True
cayong,kayong,lexicon,Archaic C/Qu/Gui normalization,True,True
co,ko,lexicon,Archaic C/Qu/Gui normalization,True,True
cong,kong,lexicon,Archaic C/Qu/Gui normalization,True,True
cung,kung,lexicon,Archaic C/Qu/Gui normalization,True,True
cusa,kusa,lexicon,Archaic C/Qu/Gui normalization,True,True
cusang,kusang,lexicon,Archaic C/Qu/Gui normalization,True,True
dacong,dakong,lexicon,Archaic C/Qu/Gui normalization,True,True
datapowa't,datapwat,special,punctuation_merge,False,True
datapowa’t,datapwat,special,punctuation_merge,False,True
datapuwa't,datapwat,special,punctuation_merge,False,True
datapuwa’t,datapwat,special,punctuation_merge,False,True
guinagawa,ginagawa,lexicon,Archaic C/Qu/Gui normalization,True,True
guinawa,ginawa,lexicon,Archaic C/Qu/Gui normalization,True,True
guinoo,ginoo,lexicon,Archaic C/Qu/Gui normalization,True,True
guinoong,ginoong,lexicon,Archaic C/Qu/Gui normalization,True,True
guitna,gitna,lexicon,Archaic C/Qu/Gui normalization,True,True
icaw,ikaw,lexicon,Archaic C/Qu/Gui normalization,True,True
naguing,naging,lexicon,Archaic C/Qu/Gui normalization,True,True
nguni't,ngunit,special,punctuation_merge,False,True
nguni’t,ngunit,special,punctuation_merge,False,True
pagca,pagka,lexicon,Archaic C/Qu/Gui normalization,True,True
pagcatapos,pagkatapos,lexicon,Archaic C/Qu/Gui normalization,True,True
saca,saka,lexicon,Archaic C/Qu/Gui normalization,True,True
sapagca't,sapagkat,special,punctuation_merge,False,True
sapagca’t,sapagkat,special,punctuation_merge,False,True
subali't,subalit,special,punctuation_merge,False,True
subali’t,subalit,special,punctuation_merge,False,True
tungcol,tungkol,lexicon,Archaic C/Qu/Gui normalization,True,True
wicang,wikang,lexicon,Archaic C/Qu/Gui normalization,True,True
boong,buong,lexicon,Archaic oo -> uo,True,True
chic,chik,suffix,Archaic -hic -> -hik,True,True
pagcalaganap,pagkalaganap,prefix,Archaic pagca- -> pagka-,True,True
pagcapaliguan,pagkapaliguan,prefix,Archaic pagca- -> pagka-,True,True
pagcacaanyo,pagkakaanyo,prefix,Archaic pagcaca- -> pagkaka-,True,True
pumanhic,pumanhik,suffix,Archaic -hic -> -hik,True,True
pagcamatay,pagkamatay,prefix,Archaic pagca- -> pagka-,True,True
pagcacasakit,pagkakasakit,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcacapinta'y,pagkakapinta'y,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcacasipi,pagkakasipi,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcacagana,pagkakagana,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcain,pagkain,prefix,Archaic pagca- -> pagka-,True,True
pagcahating,pagkahating,prefix,Archaic pagca- -> pagka-,True,True
pagcabuhay,pagkabuhay,prefix,Archaic pagca- -> pagka-,True,True
pagcadupilas,pagkadupilas,prefix,Archaic pagca- -> pagka-,True,True
pagcacaalis,pagkakaalis,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcatiguil,pagkatiguil,prefix,Archaic pagca- -> pagka-,True,True
pagcahuli,pagkahuli,prefix,Archaic pagca- -> pagka-,True,True
pagcamangha,pagkamangha,prefix,Archaic pagca- -> pagka-,True,True
pagcasacerdote,pagkasacerdote,prefix,Archaic pagca- -> pagka-,True,True
pagcacainitan,pagkakainitan,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcacapagod,pagkakapagod,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcatigagal,pagkatigagal,prefix,Archaic pagca- -> pagka-,True,True
pagcapatira,pagkapatira,prefix,Archaic pagca- -> pagka-,True,True
nagpapamanhic,nagpapamanhik,suffix,Archaic -hic -> -hik,True,True
pagcat,pagkat,prefix,Archaic pagca- -> pagka-,True,True
pagcalibang,pagkalibang,prefix,Archaic pagca- -> pagka-,True,True
pagcatanda,pagkatanda,prefix,Archaic pagca- -> pagka-,True,True
pagcacakilalanan,pagkakakilalanan,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcacabangguit,pagkakabangguit,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcacayapac,pagkakayapac,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcacahuwad,pagkakahuwad,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcaturong,pagkaturong,prefix,Archaic pagca- -> pagka-,True,True
pagcalagay,pagkalagay,prefix,Archaic pagca- -> pagka-,True,True
pagcahiwatig,pagkahiwatig,prefix,Archaic pagca- -> pagka-,True,True
pagcatalastas,pagkatalastas,prefix,Archaic pagca- -> pagka-,True,True
pagcabanal,pagkabanal,prefix,Archaic pagca- -> pagka-,True,True
pagcapahamac,pagkapahamac,prefix,Archaic pagca- -> pagka-,True,True
pagcacaalit,pagkakaalit,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcaraan,pagkaraan,prefix,Archaic pagca- -> pagka-,True,True
pagcacalaban,pagkakalaban,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcalagot,pagkalagot,prefix,Archaic pagca- -> pagka-,True,True
pagcagandagandang,pagkagandagandang,prefix,Archaic pagca- -> pagka-,True,True
pagcacatowa,pagkakatowa,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcacatimbang,pagkakatimbang,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcapangahas,pagkapangahas,prefix,Archaic pagca- -> pagka-,True,True
pagcaguipit,pagkaguipit,prefix,Archaic pagca- -> pagka-,True,True
pagcapangitpangit,pagkapangitpangit,prefix,Archaic pagca- -> pagka-,True,True
pagcacagawang,pagkakagawang,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcapaco,pagkapaco,prefix,Archaic pagca- -> pagka-,True,True
pagcaawa,pagkaawa,prefix,Archaic pagca- -> pagka-,True,True
pagcatalo'y,pagkatalo'y,prefix,Archaic pagca- -> pagka-,True,True
pagcapalihis,pagkapalihis,prefix,Archaic pagca- -> pagka-,True,True
pagcamatimtimang,pagkamatimtimang,prefix,Archaic pagca- -> pagka-,True,True
pagcacahulog,pagkakahulog,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcapit,pagkapit,prefix,Archaic pagca- -> pagka-,True,True
pagcaguinoo,pagkaguinoo,prefix,Archaic pagca- -> pagka-,True,True
pagcapanganac,pagkapanganac,prefix,Archaic pagca- -> pagka-,True,True
pagcamaramdamin,pagkamaramdamin,prefix,Archaic pagca- -> pagka-,True,True
pagcainip,pagkainip,prefix,Archaic pagca- -> pagka-,True,True
pagcarinig,pagkarinig,prefix,Archaic pagca- -> pagka-,True,True
pagcaalaala,pagkaalaala,prefix,Archaic pagca- -> pagka-,True,True
pagcahibang,pagkahibang,prefix,Archaic pagca- -> pagka-,True,True
Pagcaramiraming,Pagkaramiraming,prefix,Archaic pagca- -> pagka-,True,True
pagcaramiraming,pagkaramiraming,prefix,Archaic pagca- -> pagka-,True,True
pagcacapisan,pagkakapisan,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcamagdaraya,pagkamagdaraya,prefix,Archaic pagca- -> pagka-,True,True
pagcacasundo,pagkakasundo,prefix,Archaic pagcaca- -> pagkaka-,True,True
ipinamamanhic,ipinamamanhik,suffix,Archaic -hic -> -hik,True,True
pagcaligalig,pagkaligalig,prefix,Archaic pagca- -> pagka-,True,True
Pagcacagayo'y,Pagkakagayo'y,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcacacabit,pagkakacabit,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcacuyagutin,pagkacuyagutin,prefix,Archaic pagca- -> pagka-,True,True
pagcacaupo,pagkakaupo,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcacaumaga,pagkakaumaga,prefix,Archaic pagcaca- -> pagkaka-,True,True
pumapanhic,pumapanhik,suffix,Archaic -hic -> -hik,True,True
nanhic,nanhik,suffix,Archaic -hic -> -hik,True,True
pagcapasoc,pagkapasoc,prefix,Archaic pagca- -> pagka-,True,True
pagcapagmisa,pagkapagmisa,prefix,Archaic pagca- -> pagka-,True,True
pagcawala,pagkawala,prefix,Archaic pagca- -> pagka-,True,True
pagcahabag,pagkahabag,prefix,Archaic pagca- -> pagka-,True,True
pagcahilig,pagkahilig,prefix,Archaic pagca- -> pagka-,True,True
pagcacagayo'y,pagkakagayo'y,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcakita,pagkakita,prefix,Archaic pagca- -> pagka-,True,True
pagcalaguim,pagkalaguim,prefix,Archaic pagca- -> pagka-,True,True
pagcalalaking,pagkalalaking,prefix,Archaic pagca- -> pagka-,True,True
pagcayacap,pagkayacap,prefix,Archaic pagca- -> pagka-,True,True
pagcagabi,pagkagabi,prefix,Archaic pagca- -> pagka-,True,True
pagcacatulog,pagkakatulog,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcawangis,pagkawangis,prefix,Archaic pagca- -> pagka-,True,True
pagcamasuwaying,pagkamasuwaying,prefix,Archaic pagca- -> pagka-,True,True
pagcawalang,pagkawalang,prefix,Archaic pagca- -> pagka-,True,True
pagcatugtog,pagkatugtog,prefix,Archaic pagca- -> pagka-,True,True
pagcasumpong,pagkasumpong,prefix,Archaic pagca- -> pagka-,True,True
pagcaing,pagkaing,prefix,Archaic pagca- -> pagka-,True,True
pagcakilala,pagkakilala,prefix,Archaic pagca- -> pagka-,True,True
pagcasagot,pagkasagot,prefix,Archaic pagca- -> pagka-,True,True
pagcacalibing,pagkakalibing,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcapugay,pagkapugay,prefix,Archaic pagca- -> pagka-,True,True
pagcaguitla,pagkaguitla,prefix,Archaic pagca- -> pagka-,True,True
pagcahucay,pagkahucay,prefix,Archaic pagca- -> pagka-,True,True
Pagcapanhic,Pagkapanhic,prefix,Archaic pagca- -> pagka-,True,True
pagcacahirap,pagkakahirap,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcacatatag,pagkakatatag,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcamapamahiin,pagkamapamahiin,prefix,Archaic pagca- -> pagka-,True,True
pagcacaiba,pagkakaiba,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcacahaca,pagkakahaca,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcadala,pagkadala,prefix,Archaic pagca- -> pagka-,True,True
pagcatira,pagkatira,prefix,Archaic pagca- -> pagka-,True,True
pagcapasa,pagkapasa,prefix,Archaic pagca- -> pagka-,True,True
pagcacaawang,pagkakaawang,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcacasala,pagkakasala,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcaanyong,pagkaanyong,prefix,Archaic pagca- -> pagka-,True,True
pagcabugbog,pagkabugbog,prefix,Archaic pagca- -> pagka-,True,True
pagcacahampashampas,pagkakahampashampas,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcasara,pagkasara,prefix,Archaic pagca- -> pagka-,True,True
pagcacagawa,pagkakagawa,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcapatupatuloy,pagkapatupatuloy,prefix,Archaic pagca- -> pagka-,True,True
pagcaibig,pagkaibig,prefix,Archaic pagca- -> pagka-,True,True
pagcacatao'y,pagkakatao'y,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcasabi,pagkasabi,prefix,Archaic pagca- -> pagka-,True,True
pagcapanglawpanglaw,pagkapanglawpanglaw,prefix,Archaic pagca- -> pagka-,True,True
pagcatulig,pagkatulig,prefix,Archaic pagca- -> pagka-,True,True
pagcatiwalaan,pagkatiwalaan,prefix,Archaic pagca- -> pagka-,True,True
pagcahimbing,pagkahimbing,prefix,Archaic pagca- -> pagka-,True,True
pagcacamit,pagkakamit,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcasalita,pagkasalita,prefix,Archaic pagca- -> pagka-,True,True
pagcagayo'y,pagkagayo'y,prefix,Archaic pagca- -> pagka-,True,True
pagcacatanggap,pagkakatanggap,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcapagnacaw,pagkapagnacaw,prefix,Archaic pagca- -> pagka-,True,True
pagcacagayon,pagkakagayon,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcaalimura,pagkaalimura,prefix,Archaic pagca- -> pagka-,True,True
pagcacaroon,pagkakaroon,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcagaspang,pagkagaspang,prefix,Archaic pagca- -> pagka-,True,True
pagcatingin,pagkatingin,prefix,Archaic pagca- -> pagka-,True,True
pagcatuto,pagkatuto,prefix,Archaic pagca- -> pagka-,True,True
pagcacatiwala,pagkakatiwala,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcaamis,pagkaamis,prefix,Archaic pagca- -> pagka-,True,True
pagcaimbi,pagkaimbi,prefix,Archaic pagca- -> pagka-,True,True
pagcasayang,pagkasayang,prefix,Archaic pagca- -> pagka-,True,True
pagcahiyang,pagkahiyang,prefix,Archaic pagca- -> pagka-,True,True
pagcacaiba't,pagkakaiba't,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcacahanay,pagkakahanay,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcapoot,pagkapoot,prefix,Archaic pagca- -> pagka-,True,True
ipinamanhic,ipinamanhik,suffix,Archaic -hic -> -hik,True,True
pagcacaloob,pagkakaloob,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcalugod,pagkalugod,prefix,Archaic pagca- -> pagka-,True,True
pagcacasalita,pagkakasalita,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcacagugol,pagkakagugol,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcabangguit,pagkabangguit,prefix,Archaic pagca- -> pagka-,True,True
pagcamasintahin,pagkamasintahin,prefix,Archaic pagca- -> pagka-,True,True
pagcatalos,pagkatalos,prefix,Archaic pagca- -> pagka-,True,True
pagcapanghiganti,pagkapanghiganti,prefix,Archaic pagca- -> pagka-,True,True
pagcatalo,pagkatalo,prefix,Archaic pagca- -> pagka-,True,True
pagcacagalit,pagkakagalit,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcacabayad,pagkakabayad,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcacapacain,pagkakapacain,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcacapaguran,pagkakapaguran,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcaapi,pagkaapi,prefix,Archaic pagca- -> pagka-,True,True
panghihimanhic,panghihimanhik,suffix,Archaic -hic -> -hik,True,True
Pagcababait,Pagkababait,prefix,Archaic pagca- -> pagka-,True,True
pagcagaganda,pagkagaganda,prefix,Archaic pagca- -> pagka-,True,True
pagcagulat,pagkagulat,prefix,Archaic pagca- -> pagka-,True,True
pagcasama,pagkasama,prefix,Archaic pagca- -> pagka-,True,True
pagcapanalita,pagkapanalita,prefix,Archaic pagca- -> pagka-,True,True
pagcasalubong,pagkasalubong,prefix,Archaic pagca- -> pagka-,True,True
pagcatanhaling,pagkatanhaling,prefix,Archaic pagca- -> pagka-,True,True
pagcalimot,pagkalimot,prefix,Archaic pagca- -> pagka-,True,True
pagcaculang,pagkaculang,prefix,Archaic pagca- -> pagka-,True,True
pagcacalangcap,pagkakalangcap,prefix,Archaic pagcaca- -> pagkaka-,True,True
Pagcakita,Pagkakita,prefix,Archaic pagca- -> pagka-,True,True
pagcacagayac,pagkakagayac,prefix,Archaic pagcaca- -> pagkaka-,True,True
pamanhic,pamanhik,suffix,Archaic -hic -> -hik,True,True
pagcacataon,pagkakataon,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcapiloto,pagkapiloto,prefix,Archaic pagca- -> pagka-,True,True
pagcacatuwa,pagkakatuwa,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcalakilaking,pagkalakilaking,prefix,Archaic pagca- -> pagka-,True,True
pagcacaalayo,pagkakaalayo,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcahiwalay,pagkahiwalay,prefix,Archaic pagca- -> pagka-,True,True
napapamanhic,napapamanhik,suffix,Archaic -hic -> -hik,True,True
pagcacaanyo'y,pagkakaanyo'y,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcahulog,pagkahulog,prefix,Archaic pagca- -> pagka-,True,True
pagcabigo,pagkabigo,prefix,Archaic pagca- -> pagka-,True,True
pagcapandaw,pagkapandaw,prefix,Archaic pagca- -> pagka-,True,True
pagcatacot,pagkatacot,prefix,Archaic pagca- -> pagka-,True,True
pagcacawala'y,pagkakawala'y,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcabasa,pagkabasa,prefix,Archaic pagca- -> pagka-,True,True
pagcacalagay,pagkakalagay,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcacolegiala,pagkacolegiala,prefix,Archaic pagca- -> pagka-,True,True
pagcacabacod,pagkakabacod,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcapayapa,pagkapayapa,prefix,Archaic pagca- -> pagka-,True,True
pagcapagcaloob,pagkapagcaloob,prefix,Archaic pagca- -> pagka-,True,True
pagcapagbigay,pagkapagbigay,prefix,Archaic pagca- -> pagka-,True,True
pagcacamaling,pagkakamaling,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcawica,pagkawica,prefix,Archaic pagca- -> pagka-,True,True
pinanhic,pinanhik,suffix,Archaic -hic -> -hik,True,True
pagcacaguhit,pagkakaguhit,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcaligtas,pagkaligtas,prefix,Archaic pagca- -> pagka-,True,True
pagcatumba,pagkatumba,prefix,Archaic pagca- -> pagka-,True,True
pagcakitang,pagkakitang,prefix,Archaic pagca- -> pagka-,True,True
pagcapanucala,pagkapanucala,prefix,Archaic pagca- -> pagka-,True,True
pagcaunlac,pagkaunlac,prefix,Archaic pagca- -> pagka-,True,True
pagcaunawa,pagkaunawa,prefix,Archaic pagca- -> pagka-,True,True
pagcacautangan,pagkakautangan,prefix,Archaic pagcaca- -> pagkaka-,True,True
Pagcahumihihip,Pagkahumihihip,prefix,Archaic pagca- -> pagka-,True,True
pagcatuwid,pagkatuwid,prefix,Archaic pagca- -> pagka-,True,True
Pagcaraan,Pagkaraan,prefix,Archaic pagca- -> pagka-,True,True
pagcaalam,pagkaalam,prefix,Archaic pagca- -> pagka-,True,True
pagcalampas,pagkalampas,prefix,Archaic pagca- -> pagka-,True,True
pagcamahiliguin,pagkamahiliguin,prefix,Archaic pagca- -> pagka-,True,True
pagcabasag,pagkabasag,prefix,Archaic pagca- -> pagka-,True,True
pagcacahanda,pagkakahanda,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcacahiwa,pagkakahiwa,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcacatapyas,pagkakatapyas,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcacayari,pagkakayari,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcacadalawang,pagkakadalawang,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcabantog,pagkabantog,prefix,Archaic pagca- -> pagka-,True,True
pagcacasulat,pagkakasulat,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcacasunduang,pagkakasunduang,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcagugulan,pagkagugulan,prefix,Archaic pagca- -> pagka-,True,True
pagcalalaki,pagkalalaki,prefix,Archaic pagca- -> pagka-,True,True
pagcaalis,pagkaalis,prefix,Archaic pagca- -> pagka-,True,True
pagcahanga,pagkahanga,prefix,Archaic pagca- -> pagka-,True,True
pagcalayo,pagkalayo,prefix,Archaic pagca- -> pagka-,True,True
pagcapiit,pagkapiit,prefix,Archaic pagca- -> pagka-,True,True
Pagcaramirami,Pagkaramirami,prefix,Archaic pagca- -> pagka-,True,True
pagcalooban,pagkalooban,prefix,Archaic pagca- -> pagka-,True,True
pagcacalabas,pagkakalabas,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcantang,pagkantang,prefix,Archaic pagca- -> pagka-,True,True
pagcacasamaan,pagkakasamaan,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcacataglay,pagkakataglay,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcapatapiloc,pagkapatapiloc,prefix,Archaic pagca- -> pagka-,True,True
pagcalibaguing,pagkalibaguing,prefix,Archaic pagca- -> pagka-,True,True
pagcatuyo,pagkatuyo,prefix,Archaic pagca- -> pagka-,True,True
pagcatunaw,pagkatunaw,prefix,Archaic pagca- -> pagka-,True,True
pagcaguising,pagkaguising,prefix,Archaic pagca- -> pagka-,True,True
pagpanhic,pagpanhik,suffix,Archaic -hic -> -hik,True,True
pagcauhaw,pagkauhaw,prefix,Archaic pagca- -> pagka-,True,True
pagcahiya,pagkahiya,prefix,Archaic pagca- -> pagka-,True,True
pagcabihag,pagkabihag,prefix,Archaic pagca- -> pagka-,True,True
pagcatuclas,pagkatuclas,prefix,Archaic pagca- -> pagka-,True,True
pagcapatanga,pagkapatanga,prefix,Archaic pagca- -> pagka-,True,True
pagcasaulo,pagkasaulo,prefix,Archaic pagca- -> pagka-,True,True
pagcabilanggo,pagkabilanggo,prefix,Archaic pagca- -> pagka-,True,True
pagcacasunodsunod,pagkakasunodsunod,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcacacawang,pagkakacawang,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcaantoc,pagkaantoc,prefix,Archaic pagca- -> pagka-,True,True
pagcahabahabang,pagkahabahabang,prefix,Archaic pagca- -> pagka-,True,True
pagcaaalang,pagkaaalang,prefix,Archaic pagca- -> pagka-,True,True
pagcatao,pagkatao,prefix,Archaic pagca- -> pagka-,True,True
