sentence_id,original_token,new_token,reason,context_snippet
1-52,canyang,kanyang,Safe List: canyang,"—Ako, sa halimbawa—ang patuloy na pananalita ni Fr..."
1-67,buhoc,buhok,Safe List: buhoc,Ngunit hindi ko mapagcuro kung ano ang cabagayan n...
1-67,canyang,kanyang,Safe List: canyang,Ngunit hindi ko mapagcuro kung ano ang cabagayan n...
1-75,buhoc,buhok,Safe List: buhoc,"Ngayo'y ang may pulang buhoc naman ang natigagal, ..."
1-75,canyang,kanyang,Safe List: canyang,"Ngayo'y ang may pulang buhoc naman ang natigagal, ..."
1-83,canyang,kanyang,Safe List: canyang,ipatawad po ninyong salabatin ko ang inyong panana...
1-92,buhoc,buhok,Safe List: buhoc,Nagpasimula ang binatang mapula ang buhoc ng pagpa...
1-122,canyang,kanyang,Safe List: canyang,Di caguinsaguinsa'y pinacabigyanbigyan ng suntoc a...
1-128,lacas,lakas,Safe List: lacas,"—ang sagot na paangil at galit, at saka biglang na..."
1-129,canyang,kanyang,Safe List: canyang,Sa pagkamangha ng nangasasalas ay nangagtinginan s...
1-129,canyang,kanyang,Safe List: canyang,Sa pagkamangha ng nangasasalas ay nangagtinginan s...
1-132,buhoc,buhok,Safe List: buhoc,—ang ibinulong sa tainga ng binatang mapula ang bu...
1-138,canyang,kanyang,Safe List: canyang,ang ipinagpatuloy ng franciscano na ipinagtutumaas...
1-144,canyang,kanyang,Safe List: canyang,"Ako, ang ibig kong sabihi'y pagka itinatapon ng cu..."
1-146,canyang,kanyang,Safe List: canyang,"—¡Pari, ang canyang Carilagan (ang marilag bagang ..."
1-152,Canyang,Kanyang,Safe List: canyang,"Ang ""Canyang Carilagan,"" (o ang marilag na Goberna..."
1-152,Canyang,Kanyang,Safe List: canyang,"Ang ""Canyang Carilagan,"" (o ang marilag na Goberna..."
1-156,canyang,kanyang,Safe List: canyang,—ang sigaw ng tenienteng nagbabala at wari'y mandi...
1-156,Canyang,Kanyang,Safe List: canyang,—ang sigaw ng tenienteng nagbabala at wari'y mandi...
1-166,canyang,kanyang,Safe List: canyang,"Ang mga pananalita ng sacerdote, sa canyang pagkas..."
1-173,canyang,kanyang,Safe List: canyang,"; opo, totoong carapatdapat; siya'y macailan kong ..."
1-176,canyang,kanyang,Safe List: canyang,Isang taong gaya niyang may isang anak na lalaking...
1-180,canyang,kanyang,Safe List: canyang,Sa caruwagan nang bayang San Diego'y hindi tumutol...
1-190,buhoc,buhok,Safe List: buhoc,"Nangagsidating ang iba pang mga tao, caacbay ang i..."
1-194,buhoc,buhok,Safe List: buhoc,—ang tanong ng binatang mapula ang buhoc....
1-209,canyang,kanyang,Safe List: canyang,"Marahil naging misionero sa China, ang pari Savall..."
1-211,canyang,kanyang,Safe List: canyang,—Hindi ko maalaman; sinabi ni Fr. Damasong Savalls...
1-220,canyang,kanyang,Safe List: canyang,—Lalong magaling kung siya ang nacatuclas ng pagga...
2-1,Capitan,Kapitan,Capitan Policy,Hindi magaganda at mabubuting bihis na mga dalaga ...
2-1,canyang,kanyang,Safe List: canyang,Hindi magaganda at mabubuting bihis na mga dalaga ...
2-4,canyang,kanyang,Safe List: canyang,"—ang unang sinabi ni Kapitang Tiago, at canyang hi..."
2-5,canyang,kanyang,Safe List: canyang,Inalis ng dominico ang canyang salamin sa mata upa...
2-10,canyang,kanyang,Safe List: canyang,Ito'y nakikipagbatian ng mga ugaling salita ng san...
2-11,canyang,kanyang,Safe List: canyang,"Ang canyang taas na higuit sa caraniwan, ang canya..."
2-11,canyang,kanyang,Safe List: canyang,"Ang canyang taas na higuit sa caraniwan, ang canya..."
2-11,canyang,kanyang,Safe List: canyang,"Ang canyang taas na higuit sa caraniwan, ang canya..."
2-12,canyang,kanyang,Safe List: canyang,Nababasa sa canyang mukhang bucas at masaya ang ca...
2-22,canyang,kanyang,Safe List: canyang,Untiunting iniurong ni Ibarra ang canyang kamay na...
2-25,canyang,kanyang,Safe List: canyang,Ga tumindig na sa canyang sillon si Fr. Damaso at ...
2-29,canyang,kanyang,Safe List: canyang,—Ginoo—ang sagot ni Ibarrang nababagbag ang puso—a...
2-34,canyang,kanyang,Safe List: canyang,Pitong taon na ngayong umalis ako rito sa aking ba...
2-37,canyang,kanyang,Safe List: canyang,Mga ginoo—anya—may isang caugalian sa Alemaniang p...
2-41,canyang,kanyang,Safe List: canyang,Sinabi naman sa kanya ng canyang mga causap ang ca...
3-2,canyang,kanyang,Safe List: canyang,Tila mandin totoong lumiligaya si Fr. Sibyla: tahi...
3-3,canyang,kanyang,Safe List: canyang,"Cagulatgulat ang sama ng loob ng franciscano, sini..."
3-5,canyang,kanyang,Safe List: canyang,"Pinacunot ni Doña Victorina, gayon man, ang canyan..."
3-5,canyang,kanyang,Safe List: canyang,"Pinacunot ni Doña Victorina, gayon man, ang canyan..."
3-8,buhoc,buhok,Safe List: buhoc,"—Mayroon po, ginoong babae, at dalawang lalong mag..."
3-20,canyang,kanyang,Safe List: canyang,Umuupo na sana si Fr. Sibylang hindi pinapansin an...
3-25,canyang,kanyang,Safe List: canyang,Datapwat ayon sa anyo ng canyang pananalita'y sa k...
3-42,canyang,kanyang,Safe List: canyang,"Nakita ng franciscano ang lahat ng ito, dinurog an..."
3-43,buhoc,buhok,Safe List: buhoc,Nalilibang namang totoo ang dominico sa pakikipags...
3-52,buhoc,buhok,Safe List: buhoc,—ang tanong ng mapulang buhoc....
3-53,canyang,kanyang,Safe List: canyang,—Ibig kong sabihing may isang taon na ngayong hind...
3-67,canyang,kanyang,Safe List: canyang,—Mapula ang canyang buhoc at totoong masamang mang...
3-67,buhoc,buhok,Safe List: buhoc,—Mapula ang canyang buhoc at totoong masamang mang...
3-76,buhoc,buhok,Safe List: buhoc,—ang tanong ng binatang mapula ang buhoc....
3-84,canyang,kanyang,Safe List: canyang,"—Ang katotohanan, bagay na ipangguilalas sa mga ba..."
3-85,canyang,kanyang,Safe List: canyang,"Bago ko paroonan ang isang lupain, pinagsisicapan ..."
3-85,canyang,kanyang,Safe List: canyang,"Bago ko paroonan ang isang lupain, pinagsisicapan ..."
3-85,canyang,kanyang,Safe List: canyang,"Bago ko paroonan ang isang lupain, pinagsisicapan ..."
3-91,canyang,kanyang,Safe List: canyang,—Mga ginoo; huwag kayong magtataca ng pagsasalitan...
3-91,canyang,kanyang,Safe List: canyang,—Mga ginoo; huwag kayong magtataca ng pagsasalitan...
3-108,buhoc,buhok,Safe List: buhoc,—ang sinasabi niya sa binatang mapula ang buhoc na...
3-115,canyang,kanyang,Safe List: canyang,—ani Doña Victorinang nakikicampi sa franciscano—¡...
3-117,canyang,kanyang,Safe List: canyang,Hindi malimutan ng ginoong babae ang pagkakabanggu...
3-117,buhoc,buhok,Safe List: buhoc,Hindi malimutan ng ginoong babae ang pagkakabanggu...
3-117,canyang,kanyang,Safe List: canyang,Hindi malimutan ng ginoong babae ang pagkakabanggu...
3-119,buhoc,buhok,Safe List: buhoc,Ng gabing yao'y kasama ng mga iba't ibang bagay na...
3-119,canyang,kanyang,Safe List: canyang,Ng gabing yao'y kasama ng mga iba't ibang bagay na...
4-2,canyang,kanyang,Safe List: canyang,"Ang hangin sa gabi, na sa mga buwang iyo'y caraniw..."
4-5,canyang,kanyang,Safe List: canyang,Yao'y ang mga dating daan at mga dating bahay na m...
4-16,canyang,kanyang,Safe List: canyang,Samantalang pinanonood niya ang catacatacang panan...
4-16,canyang,kanyang,Safe List: canyang,Samantalang pinanonood niya ang catacatacang panan...
4-16,canyang,kanyang,Safe List: canyang,Samantalang pinanonood niya ang catacatacang panan...
4-19,canyang,kanyang,Safe List: canyang,—Ipatawad po ninyo; ngunit sa acala ko'y inyong pi...
4-43,canyang,kanyang,Safe List: canyang,"—ang ibinulong ng militar, na puspos ng habag ang ..."
4-50,canyang,kanyang,Safe List: canyang,"—Sinasabi sa akin sa canyang huling sulat, na may ..."
4-56,canyang,kanyang,Safe List: canyang,Hindi nangag-imican sa loob ng sandali; may anyong...
4-64,canyang,kanyang,Safe List: canyang,Bucod sa rito'y totoong dalisay ang capurihan ni D...
4-64,canyang,kanyang,Safe List: canyang,Bucod sa rito'y totoong dalisay ang capurihan ni D...
4-69,lacas,lakas,Safe List: lacas,"Sinasabi sa akin ng aking ""conciencia"" na sa loob ..."
4-70,canyang,kanyang,Safe List: canyang,"""—Ganyan ang pangangatuwiran ng inyo pong ama, at ..."
4-71,canyang,kanyang,Safe List: canyang,Datapwat ipanumbalic natin sa canyang samaan ng lo...
4-74,canyang,kanyang,Safe List: canyang,—Naglilibot ng panahon iyon ang isang naging sunda...
4-78,canyang,kanyang,Safe List: canyang,Sadyang ibinibigay sa kanya ang mga sulat ng patum...
4-78,canyang,kanyang,Safe List: canyang,Sadyang ibinibigay sa kanya ang mga sulat ng patum...
4-78,canyang,kanyang,Safe List: canyang,Sadyang ibinibigay sa kanya ang mga sulat ng patum...
4-78,canyang,kanyang,Safe List: canyang,Sadyang ibinibigay sa kanya ang mga sulat ng patum...
4-79,canyang,kanyang,Safe List: canyang,"Nangyari isang araw, na samantalang pinagpipihitpi..."
4-80,canyang,kanyang,Safe List: canyang,"Nariringig ng taong iyon ang mga tawanan, at nakik..."
4-81,canyang,kanyang,Safe List: canyang,""" Pinagdimlan ng galit, at sa pagka't hindi siya m..."
4-84,lacas,lakas,Safe List: lacas,Ang castilang marahil ang tingin sa lahat ay mapul...
4-85,canyang,kanyang,Safe List: canyang,Matiwasay na ibinangon ni Don Rafael ang batang ma...
4-88,canyang,kanyang,Safe List: canyang,"Umulan ang mga paratang, isinumbong na siya'y fili..."
4-89,canyang,kanyang,Safe List: canyang,"Pinabayaan siya ng lahat, sinamsam ang canyang mga..."
4-89,canyang,kanyang,Safe List: canyang,"Pinabayaan siya ng lahat, sinamsam ang canyang mga..."
4-92,canyang,kanyang,Safe List: canyang,"Kung naging iba sana ang inyong ama, marahil pagda..."
4-92,canyang,kanyang,Safe List: canyang,"Kung naging iba sana ang inyong ama, marahil pagda..."
4-92,canyang,kanyang,Safe List: canyang,"Kung naging iba sana ang inyong ama, marahil pagda..."
4-92,canyang,kanyang,Safe List: canyang,"Kung naging iba sana ang inyong ama, marahil pagda..."
4-93,Capitan,Kapitan,Capitan Policy,"Ako man, sacali't malaki ang aking casuclaman sa p..."
4-93,Capitan,Kapitan,Capitan Policy,"Ako man, sacali't malaki ang aking casuclaman sa p..."
4-93,canyang,kanyang,Safe List: canyang,"Ako man, sacali't malaki ang aking casuclaman sa p..."
4-93,canyang,kanyang,Safe List: canyang,"Ako man, sacali't malaki ang aking casuclaman sa p..."
4-93,canyang,kanyang,Safe List: canyang,"Ako man, sacali't malaki ang aking casuclaman sa p..."
4-94,canyang,kanyang,Safe List: canyang,Huminto ang matanda ng pananalita upang magpahinga...
4-94,canyang,kanyang,Safe List: canyang,Huminto ang matanda ng pananalita upang magpahinga...
4-104,canyang,kanyang,Safe List: canyang,Isinusumbong nilang nangamcam siya ng maraming lup...
4-106,canyang,kanyang,Safe List: canyang,"Napilitang iwan ng ""alcade"" ang canyang catungcula..."
4-107,canyang,kanyang,Safe List: canyang,"Ang mga pagtitiis ng hirap, ang mga sama ng loob, ..."
4-107,canyang,kanyang,Safe List: canyang,"Ang mga pagtitiis ng hirap, ang mga sama ng loob, ..."
4-107,canyang,kanyang,Safe List: canyang,"Ang mga pagtitiis ng hirap, ang mga sama ng loob, ..."
4-108,canyang,kanyang,Safe List: canyang,"At ng matatapos na ang lahat, ng malapit ng tamuhi..."
4-109,canyang,kanyang,Safe List: canyang,Dumating ako upang mapanood ang pagkalagot ng cany...
4-116,canyang,kanyang,Safe List: canyang,Walang imic na hinigpit na mairog ni Ibarra ang pa...
4-120,canyang,kanyang,Safe List: canyang,—Marahil nanggaling ito sa calabozo—ang inisip ng ...
4-120,canyang,kanyang,Safe List: canyang,—Marahil nanggaling ito sa calabozo—ang inisip ng ...
5-1,canyang,kanyang,Safe List: canyang,"Nanhic si Ibarra sa canyang cuarto, na nasadacong ..."
5-1,canyang,kanyang,Safe List: canyang,"Nanhic si Ibarra sa canyang cuarto, na nasadacong ..."
5-2,canyang,kanyang,Safe List: canyang,"Totoong maliwanag, sa caramihan ng ilaw, ang catap..."
5-3,canyang,kanyang,Safe List: canyang,"—Kung hindi totoong gulo ang canyang isip, at kung..."
5-3,canyang,kanyang,Safe List: canyang,"—Kung hindi totoong gulo ang canyang isip, at kung..."
5-3,canyang,kanyang,Safe List: canyang,"—Kung hindi totoong gulo ang canyang isip, at kung..."
5-3,bulaclac,bulaklak,Safe List: bulaclac,"—Kung hindi totoong gulo ang canyang isip, at kung..."
5-6,canyang,kanyang,Safe List: canyang,"Na sa tabi ng diosang iyon si pari Damaso, at si p..."
5-6,buhoc,buhok,Safe List: buhoc,"Na sa tabi ng diosang iyon si pari Damaso, at si p..."
5-7,canyang,kanyang,Safe List: canyang,"Siya'y maputi, napacaputi marahil, ang mga matang ..."
5-7,bulaclac,bulaklak,Safe List: bulaclac,"Siya'y maputi, napacaputi marahil, ang mga matang ..."
5-8,canyang,kanyang,Safe List: canyang,Sa pag-itan ng nanganganinag na damit na piña at s...
5-9,canyang,kanyang,Safe List: canyang,Isang lalaki lamang ang tila mandin hindi dumaramd...
5-10,canyang,kanyang,Safe List: canyang,Datapwat hindi nakikita ni Ibarra ang lahat ngito:...
5-11,bulaclac,bulaklak,Safe List: bulaclac,Nacuculong ang isang munting luang ng apat na huba...
5-12,canyang,kanyang,Safe List: canyang,At ¡ang matandang lalaki'y katulad ng pagmumukha n...
5-13,canyang,kanyang,Safe List: canyang,¡ang binata'y camukha niya at canyang pangalan ang...
5-14,canyang,kanyang,Safe List: canyang,Ito ang nakikita ng culang palad sa canyang harapa...
5-15,canyang,kanyang,Safe List: canyang,"Nangamatay ang mga ilaw ng catapat na bahay, humin..."
5-15,canyang,kanyang,Safe List: canyang,"Nangamatay ang mga ilaw ng catapat na bahay, humin..."
5-15,canyang,kanyang,Safe List: canyang,"Nangamatay ang mga ilaw ng catapat na bahay, humin..."
5-16,canyang,kanyang,Safe List: canyang,Inihihip ng catahimican ang canyang hungcag na hin...
5-16,canyang,kanyang,Safe List: canyang,Inihihip ng catahimican ang canyang hungcag na hin...
5-18,canyang,kanyang,Safe List: canyang,Napapatong ang sico sa palababahan ng durungawan n...
5-18,canyang,kanyang,Safe List: canyang,Napapatong ang sico sa palababahan ng durungawan n...
5-19,canyang,kanyang,Safe List: canyang,"Namutla at nawala ang bituwin, nawala rin ang mga ..."
6-5,canyang,kanyang,Safe List: canyang,Taong banal ang laguing anyo ng canyang pagmumukha...
6-6,canyang,kanyang,Safe List: canyang,"Ang bao ng canyang ulong bilog, maliit at nalalaga..."
6-6,buhoc,buhok,Safe List: buhoc,"Ang bao ng canyang ulong bilog, maliit at nalalaga..."
6-6,canyang,kanyang,Safe List: canyang,"Ang bao ng canyang ulong bilog, maliit at nalalaga..."
6-6,canyang,kanyang,Safe List: canyang,"Ang bao ng canyang ulong bilog, maliit at nalalaga..."
6-6,canyang,kanyang,Safe List: canyang,"Ang bao ng canyang ulong bilog, maliit at nalalaga..."
6-6,canyang,kanyang,Safe List: canyang,"Ang bao ng canyang ulong bilog, maliit at nalalaga..."
6-7,canyang,kanyang,Safe List: canyang,Gayon mang napapacalabis ang canyang pananabaco't ...
6-7,canyang,kanyang,Safe List: canyang,Gayon mang napapacalabis ang canyang pananabaco't ...
6-8,canyang,kanyang,Safe List: canyang,Ipinalalagay na siya'y isa sa mga lalong mga mayay...
6-9,canyang,kanyang,Safe List: canyang,"Ang San Diego ang lalong naiibigan niyang bayan, d..."
6-16,canyang,kanyang,Safe List: canyang,"Kailan ma'y hindi nakipag-usap sa Dios, sa pamamag..."
6-18,canyang,kanyang,Safe List: canyang,"Lumalang ang Dios, sa canyang walang hanggang caba..."
6-19,canyang,kanyang,Safe List: canyang,Kung dahil sa isang malaking caguipita'y manacanac...
6-19,canyang,kanyang,Safe List: canyang,Kung dahil sa isang malaking caguipita'y manacanac...
6-21,lacas,lakas,Safe List: lacas,Bucod sa roo'y sinasapantaha niyang malaki ang cap...
6-21,canyang,kanyang,Safe List: canyang,Bucod sa roo'y sinasapantaha niyang malaki ang cap...
6-23,capitan,kapitan,Capitan Policy,"Ang pintuang iyan ng salas, na natatacpan ng isang..."
6-24,buhoc,buhok,Safe List: buhoc,"Doo'y may napapanood na mga larawan ng ""Sacra Fami..."
6-25,Capitan,Kapitan,Capitan Policy,Mga cuadrong pintado ng oleo ng mga artistang taga...
6-25,Capitan,Kapitan,Capitan Policy,Mga cuadrong pintado ng oleo ng mga artistang taga...
6-25,canyang,kanyang,Safe List: canyang,Mga cuadrong pintado ng oleo ng mga artistang taga...
6-29,canyang,kanyang,Safe List: canyang,Gayon ma'y sasabihin din namin ang isang magandang...
6-29,canyang,kanyang,Safe List: canyang,Gayon ma'y sasabihin din namin ang isang magandang...
6-34,canyang,kanyang,Safe List: canyang,Walang sinabing ano man lamang salita ang santo; n...
6-34,canyang,kanyang,Safe List: canyang,Walang sinabing ano man lamang salita ang santo; n...
6-36,canyang,kanyang,Safe List: canyang,¿Hindi ba namasdan ng canyang sariling matang mali...
6-41,canyang,kanyang,Safe List: canyang,—ang sinasabi niya sa canyang sarili—nalalaman ko ...
6-44,buhoc,buhok,Safe List: buhoc,Nakikita pa ng mga mapamintacasing tao ang mga bac...
6-44,buhoc,buhok,Safe List: buhoc,Nakikita pa ng mga mapamintacasing tao ang mga bac...
6-44,canyang,kanyang,Safe List: canyang,Nakikita pa ng mga mapamintacasing tao ang mga bac...
6-44,buhoc,buhok,Safe List: buhoc,Nakikita pa ng mga mapamintacasing tao ang mga bac...
6-45,canyang,kanyang,Safe List: canyang,Ibig sana naming ihaplit ng cagulatgulat na larawa...
6-45,buhoc,buhok,Safe List: buhoc,Ibig sana naming ihaplit ng cagulatgulat na larawa...
6-45,canyang,kanyang,Safe List: canyang,Ibig sana naming ihaplit ng cagulatgulat na larawa...
6-48,canyang,kanyang,Safe List: canyang,Ngunit hindi lamang sa Antipolo ginagawa niya ang ...
6-49,canyang,kanyang,Safe List: canyang,"Sa Binundoc, sa Capampangan at sa bayan ng San Die..."
6-50,canyang,kanyang,Safe List: canyang,"Pinagmamasdan niya ang ningas ng mga candila, ang ..."
6-51,canyang,kanyang,Safe List: canyang,Pinaniniwalaang bihirang matalo si Kapitang Tiago ...
6-51,canyang,kanyang,Safe List: canyang,Pinaniniwalaang bihirang matalo si Kapitang Tiago ...
6-52,lacas,lakas,Safe List: lacas,"Kinalulugdan ng mga cura, iguinagalang ng mga sacr..."
6-52,canyang,kanyang,Safe List: canyang,"Kinalulugdan ng mga cura, iguinagalang ng mga sacr..."
6-54,canyang,kanyang,Safe List: canyang,"Walang cayang umisip ng ano mang bagong bagay, nag..."
6-55,canyang,kanyang,Safe List: canyang,Kung nariringig niyang sinasabing masasama ang mga...
6-59,canyang,kanyang,Safe List: canyang,Sa dalawang taong canyang pangangapita'y nacasira ...
6-60,canyang,kanyang,Safe List: canyang,Kaya nga't ipinalalagay ng mga punong macapangyari...
6-60,canyang,kanyang,Safe List: canyang,Kaya nga't ipinalalagay ng mga punong macapangyari...
6-62,canyang,kanyang,Safe List: canyang,Ang mga di gumagalang sa religio'y ipinalalagay si...
6-67,canyang,kanyang,Safe List: canyang,Ngunit hindi nacababagabag ng canyang pagtulog ang...
6-67,canyang,kanyang,Safe List: canyang,Ngunit hindi nacababagabag ng canyang pagtulog ang...
6-67,canyang,kanyang,Safe List: canyang,Ngunit hindi nacababagabag ng canyang pagtulog ang...
6-73,canyang,kanyang,Safe List: canyang,Pagka nagcagayo'y guinagamit naman ni Kapitang Tia...
6-73,canyang,kanyang,Safe List: canyang,Pagka nagcagayo'y guinagamit naman ni Kapitang Tia...
6-73,canyang,kanyang,Safe List: canyang,Pagka nagcagayo'y guinagamit naman ni Kapitang Tia...
6-73,canyang,kanyang,Safe List: canyang,Pagka nagcagayo'y guinagamit naman ni Kapitang Tia...
6-77,canyang,kanyang,Safe List: canyang,Hinihintay ni Kapitang Tiago na bawa't araw ay tit...
6-78,canyang,kanyang,Safe List: canyang,Umaasa ang mga cacampi ni Doña Patrociniong pagkam...
6-80,canyang,kanyang,Safe List: canyang,Tungkol sa panahong nacaraa'y siya'y bugtong na an...
6-81,canyang,kanyang,Safe List: canyang,Ng magtatamo na si Santiago ng caligayahang siya'y...
6-81,canyang,kanyang,Safe List: canyang,Ng magtatamo na si Santiago ng caligayahang siya'y...
6-85,canyang,kanyang,Safe List: canyang,"Nawalang cabuluhan ang canyang mga pagsisiyam, o ""..."
6-85,canyang,kanyang,Safe List: canyang,"Nawalang cabuluhan ang canyang mga pagsisiyam, o ""..."
6-92,canyang,kanyang,Safe List: canyang,Isang lagnat na dumapo sa kanya pagkapanganac (fie...
6-92,canyang,kanyang,Safe List: canyang,Isang lagnat na dumapo sa kanya pagkapanganac (fie...
6-94,canyang,kanyang,Safe List: canyang,Hindi taglay ni Maria Clara ang maliliit na mga ma...
6-94,canyang,kanyang,Safe List: canyang,Hindi taglay ni Maria Clara ang maliliit na mga ma...
6-95,canyang,kanyang,Safe List: canyang,Nang sanggol pa siya'y culot ang canyang buhac at ...
6-95,canyang,kanyang,Safe List: canyang,Nang sanggol pa siya'y culot ang canyang buhac at ...
6-96,canyang,kanyang,Safe List: canyang,Ipinalalagay ni tia Isabel na kaya may pagka mukha...
6-99,canyang,kanyang,Safe List: canyang,Ang mga fraile ma'y linalaro siya pagka isinasama ...
6-99,buhoc,buhok,Safe List: buhoc,Ang mga fraile ma'y linalaro siya pagka isinasama ...
6-99,canyang,kanyang,Safe List: canyang,Ang mga fraile ma'y linalaro siya pagka isinasama ...
6-101,bulaclac,bulaklak,Safe List: bulaclac,"Sa mga lupaing na sa dakong ilaya ng daigdig, pagd..."
6-103,canyang,kanyang,Safe List: canyang,Tumatangis si Maria Clarang nag-paalam kay pari Da...
7-2,canyang,kanyang,Safe List: canyang,Bahagya pa lamang nacaaalis sa altar ang sacerdote...
7-5,canyang,kanyang,Safe List: canyang,patatawarin na ako ng mabait na Dios na dapat maca...
7-6,canyang,kanyang,Safe List: canyang,Ngayo'y nacapag-agahan na tila at nililibang ni Ma...
7-9,canyang,kanyang,Safe List: canyang,"¡Ah, ngayo'y ibig niyang maparoon uli sa beaterio,..."
7-19,canyang,kanyang,Safe List: canyang,Dinamdam ni Maria Clara iyang hindi malirip na cal...
7-22,canyang,kanyang,Safe List: canyang,—¡Lalong nacagagaling sa canyang katawan ang San D...
7-24,canyang,kanyang,Safe List: canyang,Ibig sanang yacapin ni Maria Clara ang canyang tia...
7-27,canyang,kanyang,Safe List: canyang,Nalaglag sa mga kamay ni Maria Clara ang tangang c...
7-27,canyang,kanyang,Safe List: canyang,Nalaglag sa mga kamay ni Maria Clara ang tangang c...
7-34,canyang,kanyang,Safe List: canyang,"Pagkatapos ay humanap ng isang butas ng susian, up..."
7-34,canyang,kanyang,Safe List: canyang,"Pagkatapos ay humanap ng isang butas ng susian, up..."
7-37,canyang,kanyang,Safe List: canyang,"Nahiya si Maria Clara at tinacpan ang mga mata, ng..."
7-42,canyang,kanyang,Safe List: canyang,"Napadala ang dalagang tulad sa isang musmos, at do..."
7-44,canyang,kanyang,Safe List: canyang,Masaya ang salitaan ni Kapitang Tiago at ni Ibarra...
7-48,bulaclac,bulaklak,Safe List: bulaclac,"At pagkatapos, sa pagtacas ng dalawang nagsisintah..."
7-51,bulaclac,bulaklak,Safe List: bulaclac,Ang langit ay azul: nagpapagalaw ng mga dahon at n...
7-74,canyang,kanyang,Safe List: canyang,Kung minsa'y naliligaw ako sa mga landas ng mga ca...
7-77,canyang,kanyang,Safe List: canyang,"Sa Italia, ang magandang langit ng Italia, sa cany..."
7-77,canyang,kanyang,Safe List: canyang,"Sa Italia, ang magandang langit ng Italia, sa cany..."
7-87,bulaclac,bulaklak,Safe List: bulaclac,Sa mga pampang ay may mga sumisibol na mga bulacla...
7-88,canyang,kanyang,Safe List: canyang,Hindi cata pinapansin; naglilibang ako sa panghaha...
7-88,bulaclac,bulaklak,Safe List: bulaclac,Hindi cata pinapansin; naglilibang ako sa panghaha...
7-89,bulaclac,bulaklak,Safe List: bulaclac,"Caguinsaguinsa'y nawala ka, at ng ikaw ay bumalic,..."
7-92,buhoc,buhok,Safe List: buhoc,—ang isinagot ng nanay mo—makikita mo't mababango ...
7-96,canyang,kanyang,Safe List: canyang,"Ngumiti ng buong ligaya si Ibarra, binucsan ang ca..."
7-99,canyang,kanyang,Safe List: canyang,Dalidali namang kinuha ni Maria Clara sa canyang d...
7-106,canyang,kanyang,Safe List: canyang,¡mga dahilan ng masamang mangungutang—ang isinagot...
7-110,canyang,kanyang,Safe List: canyang,At itinaas ang papel sa tapat ng canyang mga mata ...
7-110,canyang,kanyang,Safe List: canyang,At itinaas ang papel sa tapat ng canyang mga mata ...
