book_title,chapter_number,chapter_title,sentence_number,sentence_text
Noli Me Tangere,1,ISANG PAGCACAPISAN.,11,"Cung sa aking caibigán lamang at sa aking sariling caguinhawahan, hindî catá pápagalin sa pagsasaysay ng̃ calagayan ng̃ bahay; ng̃uni't lubháng mahalagá ito, palibhasa'y ang caraniwan sa mg̃a may camatayang gaya natin ay tulad sa pawican: hinahalagahan at hinihirang tayo alinsunod sa ating talucab ó tinatahanang bahay; dahil dito't sa iba pang mg̃a anyô ng̃ asal, cawang̃is ng̃a ng̃ mg̃a pawican ang mg̃a may camatayan sa Filipinas.—Cung pumanhic tayo'y agad nating marárating ang isáng malowang na tahanang cung tawaguin doo'y ""caida"", ayawán cung bakit, na ng̃ gabing ito'y guinagamit na ""comedor"" at tuloy salón ng̃ orquesta."
Noli Me Tangere,1,ISANG PAGCACAPISAN.,12,"Sa guitna'y may isáng mahabang mesa, na nahihiyasan ng̃ marami at mahahalagang pamuti, na tila mandin cumikindat sa ""colado,"" taglay ang catamistamisang mg̃a pang̃acò, at nagbabalà sa matatacuting binibini, sa walang malay na dalaga, ng̃ dalawang nacaiinip na oras sa casamahán ng̃ mg̃a hindî cakilala, na ang pananalita't mg̃a pakikikiusap ay ang caraniwa'y totoong cacaiba."
Noli Me Tangere,1,ISANG PAGCACAPISAN.,13,"Namúmucod ng̃ di ano lamang sa mg̃a ganitong handang sa mundo'y nauucol, ang sumasapader na mg̃a cuadrong tungcol sa religión, gaya bagá ng̃ ""Ang Purgatorio,"" ""Ang Infierno,"" ""Ang hulíng Paghuhucom,"" ""Ang pagcamatáy ng̃ banal,"" ""Ang pagcamatáy ng̃ macasalanan,"" at sa duyo'y naliliguid nang isáng maring̃al at magandañg ""marco"" na anyong ""Renacimiento"" na gawâ ni Arévalo, ang isáng mabuting ayos at malapad na ""lienzo"" na doo'y napapanood ang dalawang matandang babae."
Noli Me Tangere,1,ISANG PAGCACAPISAN.,14,"Ganitó ang saysay ng̃ doo'y titic: ""Nuestra Señora de la Paz y Buen Viaje, na sinasamba sa Antipolo, sa ilalim ng̃ anyong babaeng magpapalimos, dinadalaw sa canyang pagcacasakít ang banal at bantog na si Capitana Inés""."
Noli Me Tangere,1,ISANG PAGCACAPISAN.,15,"Tunay mang ang pagcacapinta'y hindî nagpapakilala ng̃ ""arte"" at cabutihang lumikhâ, datapowa't nagsasaysay naman ng̃ caraniwang mamalas: ang babaeng may sakít ay tila na bangcay na nabûbuloc, dahil sa culay dilaw at azul ng̃ canyang mukhâ; ang mg̃a vaso't iba pang mg̃a casangcapan, iyang maraming mg̃a natitipong bagay bagay sa mahabang pagcacasakít ay doo'y lubhang mabuti ang pagcacasipì, na ano pa't napapanood patí ng̃ linálaman."
Noli Me Tangere,1,ISANG PAGCACAPISAN.,16,"Sa panonood ng̃ mg̃a calagayang iyong umaakit sa pagcacagana sa pagcain at nagúudyoc ng̃ ucol sa paglasáp ng̃ masasaráp na bagay bagay, marahil acalain ng̃ iláng may masamáng isipan ang may-arì ng̃ bahay, na napagkikilalang magalíng ang calooban ng̃ halos lahát ng̃ mg̃a magsisiupô sa mesa, at ng̃ huwag namáng máhalatang totoo ang canyang panucalà, nagsabit sa quízame ng̃ maririkít na lámparang gawâ sa China, mg̃a jaulang waláng ibon, mg̃a bolang cristal na may azogueng may culay pulá, verde at azul, mg̃a halamang pangbíting lantá na, mg̃a tuyóng isdáng botete na hinipa't ng̃ bumintóg, at iba pa, at ang lahát ng̃ ito'y nacúculong sa may dacong ílog ng̃ maiinam na mg̃a arcong cahoy, na ang anyo'y alang̃ang huguis europeo't alang̃ang huguis insíc, at may nátatanaw namáng isáng ""azoteang"" may mg̃a balag at mg̃a ""glorietang"" bahagyâ na naliliwanagan ng̃ mg̃a maliliit na farol na papel na may sarisaring culay."
Noli Me Tangere,1,ISANG PAGCACAPISAN.,17,"Nasasalas ang mang̃agsisicain, sa guitnâ ng̃ lubháng malalakíng mg̃a salamín at na ng̃agníningning na mg̃a araña: at doon sa ibabaw ng̃ isáng tarimang pino ay may isáng mainam na ""piano de cola"", na ang halaga'y camalácmalác, at lalò ng̃ mahalagá ng̃ gabíng itó, sa pagca't sino ma'y walang tumútugtog."
Noli Me Tangere,1,ISANG PAGCACAPISAN.,18,"Doo'y may isáng larawang ""al óleo"" ng̃ isáng lalaking makisig, nacafrac, unát, matuwíd, timbáng na tulad sa bastóng may borlas na tagláy sa mg̃a matitigás na daliring puspós ng̃ mg̃a sinsíng: wari'y sinasabi ng̃ larawan:"
Noli Me Tangere,1,ISANG PAGCACAPISAN.,19,—¡Ehem!
Noli Me Tangere,1,ISANG PAGCACAPISAN.,20,¡masdán ninyó cung gaano carami ang suot co at aco'y hindî tumatawa!
Noli Me Tangere,1,ISANG PAGCACAPISAN.,21,"Magagandá ang mg̃a casangcapan, baga man marahil ay hindî maguinhawahang gamitin at nacasasamâ pa sa catawan: hindî ng̃â ang icaiilag sa sakít ng̃ canyáng mg̃a inaanyayahan ang naiisip ng̃ may-arì, cung dî ang sariling pagmamarikít.—¡Tunay at cakilakilabot na bagay ang pag-iilaguín, datapowa't cayó namá'y umuúpô sa mg̃a sillóng gawáng Europa, at hindî palaguing macacátagpò cayó ng̃ ganyán!—itó marahil ang sinasabi niya sa canilá."
Noli Me Tangere,1,ISANG PAGCACAPISAN.,22,"Halos punô ng̃ tao ang salas: hiwaláy ang mg̃a lalaki sa mg̃a babae, tulad sa mg̃a sambahang católico at sa mg̃a sinagoga."
Noli Me Tangere,1,ISANG PAGCACAPISAN.,23,"Ang mg̃a babae ay iláng mg̃a dalagang ang iba'y filipina at ang iba'y española: binúbucsan nila ang bibíg upang piguilin ang isáng hicáb; ng̃uni't pagdaca'y tinátacpan nilá ng̃ caniláng mg̃a abanico; bahagyâ na nang̃agbubulung̃an ng̃ iláng mg̃a pananalitâ; anó mang pag-uusap na ipinagsúsumalang pasimulán, pagdaca'y naluluoy sa iláng putól-putól na sábi; catulad niyáng mg̃a ing̃ay na náriring̃ig cung gabí sa isáng bahay, mg̃a ing̃ay na gawâ ng̃ mg̃a dagâ at ng̃ mg̃a butikî."
Noli Me Tangere,1,ISANG PAGCACAPISAN.,24,"¿Bacâ cayâ naman ang mg̃a larawan ng̃ mg̃a iba't ibang mg̃a ""Nuestra Señora"" na nagsabit sa mg̃a pader ang siyang ninilit sa mg̃a dalagang iyong huwag umimíc at magpacahinhíng lubós, ó dito'y talagang natatang̃ì ang mg̃a babae?"
Noli Me Tangere,1,ISANG PAGCACAPISAN.,25,"Ang tang̃ing sumasalubong sa pagdatíng ng̃ mg̃a guinoong babae ay isáng babaeng matandang pinsan ni capitán Tiago, mukhang mabait at hindî magaling magwicang castilà."
Noli Me Tangere,1,ISANG PAGCACAPISAN.,26,"Ang pinacaubod ng̃ canyáng pagpapakitang loob at pakikipagcapuwa tao'y walâ cung ang dî mag-alay sa mg̃a española ng̃ tabaco at hitsô, at magpahalíc ng̃ canyang camáy sa mg̃a filipina, na ano pa't walang pinag-ibhán sa mg̃a fraile."
Noli Me Tangere,1,ISANG PAGCACAPISAN.,27,"Sa cawacasa'y nayamot ang abáng matandang babae, caya't sinamantala niya ang paglagapác ng̃ isang pinggang nabasag upang lumabás na dalidalì at nagbububulong:"
Noli Me Tangere,1,ISANG PAGCACAPISAN.,28,—¡Jesus!
Noli Me Tangere,1,ISANG PAGCACAPISAN.,29,"¡Hintay cayó, mg̃a indigno!"
Noli Me Tangere,1,ISANG PAGCACAPISAN.,30,At hindî na mulíng sumipót.
Noli Me Tangere,1,ISANG PAGCACAPISAN.,31,Tungcol sa mg̃a lalaki'y nang̃agcacaing̃a'y ng̃ cauntî.
Noli Me Tangere,1,ISANG PAGCACAPISAN.,32,"Umaaticabong nang̃agsasalitaan ang iláng mg̃a cadete; ng̃uni't mahihinà ang voces, sa isa sa mg̃a súloc at manacanacang tinitingnan nila at itinuturo ng̃ dalirî ang iláng mg̃a taong na sa salas, at silasila'y nang̃agtatawanang ga inililihim ng̃ hindi naman; ang bilang capalit nama'y ang dalawang extrangero na capowâ nacaputî ng̃ pananamit, nang̃acatalicod camáy at dî umíimic ay nang̃agpaparoo't paritong malalakí ang hacbang sa magcabicabilang dulo ng̃ salas, tulad sa guinágawâ ng̃ mg̃a naglalacbay-dagat sa ""cubierta"" ng̃ isáng sasacyán."
Noli Me Tangere,1,ISANG PAGCACAPISAN.,33,"Ang masaya't mahalagáng salitàa'y na sa isang pulutóng na ang bumubuo'y dalawang fraile, dalawang paisano at isáng militar na canilang naliliguid ang isáng maliit na mesang kinalalagyan ng̃ mg̃a botella ng̃ alac at mg̃a biscocho inglés."
Noli Me Tangere,1,ISANG PAGCACAPISAN.,34,"Ang militar ay isang matandang teniente, matangcád, mabalasic ang pagmumukhâ, na ano pa't anaki'y isang Duque de Alba na napag-iwan sa escalafón ng̃ Guardia Civil."
Noli Me Tangere,1,ISANG PAGCACAPISAN.,35,"Bahagyâ na siya nagsásalita, datapuwa't matigás at maiclî ang pananalitâ.—Ang isá sa mg̃a fraile'y isang dominicong bata pa, magandá, malinis at maningning, na tulad sa canyang salamín sa matang nacacabit sa tangcáy na guintô, maaga ang pagca ugaling matandâ: siya ang cura sa Binundóc at ng̃ mg̃a nacaraang tao'y naguing catedrático sa San Juan de Letran."
Noli Me Tangere,1,ISANG PAGCACAPISAN.,36,"Siya'y balitang ""dialéctico"", caya ng̃a't ng̃ mg̃a panahong iyóng nang̃ang̃ahas pa ang mg̃a anac ni Guzmang makipagsumag sa paligsahan ng̃ catalasan ng̃ ísip sa mg̃a ""seglar"", hindî macuhang malitó siya ó mahuli cailan man ng̃ magalíng na ""argumentador"" na si B. de Luna; itinutulad siya ng̃ mg̃a ""distingo"" ni Fr. Sibyla sa máng̃ing̃isdang ibig humuli ng̃ igat sa pamamag-itan ng̃ sílò."
Noli Me Tangere,1,ISANG PAGCACAPISAN.,37,Hindî nagsasálitâ ang dominico at tila mandin pinacatitimbang ang canyang mg̃a pananalità.
Noli Me Tangere,1,ISANG PAGCACAPISAN.,38,"Baligtád ang isá namáng fraile, na franciscano, totoong masalitâ at lalò ng̃ maínam magcucumpás."
Noli Me Tangere,1,ISANG PAGCACAPISAN.,39,"Bagá man sumusung̃aw na ang mg̃a uban sa canyang balbás, wari'y nananatili ang lácas ng̃ canyang malusóg na pang̃ang̃atawán."
Noli Me Tangere,1,ISANG PAGCACAPISAN.,40,"Ang mukhâ niyang magandá ang tabas, ang canyang mg̃a pagting̃ing nacalálaguim, ang canyáng malalapad na mg̃a pang̃á at batìbot na pang̃ang̃atawan ay nagbibigay anyô sa canyáng isáng patricio romanong nagbalát cayô, at cahi't hindî sinasadya'y inyóng mágugunitâ yaong tatlong monjeng sinasabi ni Heine sa canyáng ""Dioses en el destierro"", na nagdaraang namamangcâ pagcahating gabi sa isang dagatan doon sa Tyrol, cung ""equinoccio"" ng̃ Septiembre, at sa tuwing dumaraa'y inilálagay ng̃ abang mámamangca ang isáng salapíng pílac, malamíg na cawang̃is ng̃ ""hielo,"" na siyang sa canya'y pumupuspos ng̃ panglulumó."
Noli Me Tangere,1,ISANG PAGCACAPISAN.,41,"Datapuwa't si Fray Dámaso'y hindî mahiwagang gaya nilá; siya'y masayá, at cung pabug-al bug-al ang canyáng voces sa pananalità, tulad sa isang taong cailan ma'y hindi naaalang-alang, palibhasa'y ipinalálagay na banal at walâ ng̃ gágaling pa sa canyáng sinasabi, kinacatcat ang sacláp ng̃ gayóng ugalî ng̃ canyáng táwang masayá at bucás, at hangang sa napipilitan cang sa canya'y ipatawad ang pagpapakita ng̃ mg̃a paang waláng calcetín at mg̃a bintíng mabalahíbo, na icakikita ng̃ maraming pagcabuhay ng̃ isáng Mendicta sa mg̃a feria sa Kiapò."
Noli Me Tangere,1,ISANG PAGCACAPISAN.,42,"Ang isa sa mg̃a paisano'y isang taong malingguit, maitím ang balbás at waláng íkinatatáng̃ì cung dî ang ilóng, na sa calakhá'y masasabing hindî canyá; ang isá, nama'y isang binatang culay guintô ang buhóc, na tila bagong datíng dito sa Filipinas: itó ang masilacbóng pinakikipagmatuwiranan ng̃ franciscano."
Noli Me Tangere,1,ISANG PAGCACAPISAN.,43,"—Makikita rin ninyó—ang sabi ng̃ franciscano—pagca pô cayó'y nátirang iláng bowan dito, cayó'y maniniwálà sa aking sinasabi: ¡ibá ang mamahala ng̃ bayan ng̃ Madrid at ibá, ang mátira sa Filipinas!"
Noli Me Tangere,1,ISANG PAGCACAPISAN.,44,—Ng̃uni't....
Noli Me Tangere,1,ISANG PAGCACAPISAN.,45,"—Acó, sa halimbáwà—ang patuloy na pananalitâ ni Fr. Dámaso, na lalong itinaas ang voces at ng̃ dî na macaimíc ang canyang causap—aco'y mayroon na ritong dalawampo at tatlong taóng saguing at ""morisqueta"", macapagsasabi aco ng̃ mapapaniwalâan tungcól sa bagay na iyan."
Noli Me Tangere,1,ISANG PAGCACAPISAN.,46,"Howág cayóng tumutol sa akin ng̃ alinsunod sa mg̃a carunung̃an at sa mabubuting pananalitâ, nakikilala co ang ""indio""."
Noli Me Tangere,1,ISANG PAGCACAPISAN.,47,"Acalain ninyong mulá ng̃ aco'y dumatíng sa lupaíng ito'y aco'y iniucol na sa isang bayang maliit ng̃a, ng̃uni't totoong dúmog sa pagsasaca."
Noli Me Tangere,1,ISANG PAGCACAPISAN.,48,"Hindî co pa nauunawang magalíng ang wicang tagalog, gayon ma'y kinúcumpisal co na ang mg̃a babae at nagcacawatasan camí, at lubháng pinacaíbig nila aco, na ano pa't ng̃ macaraan ang tatlóng taón, ng̃ aco'y ilipat sa ibáng báyang lalong malakí, na waláng namamahálà dahil sa pagcamatáy ng̃ curang ""indio"" roon, nang̃agsipanang̃is ang lahat ng̃ babae, pinuspos acó ng̃ mg̃a handóg, inihatid nila acong may casamang música...."
Noli Me Tangere,1,ISANG PAGCACAPISAN.,49,—Datapowa't iya'y nagpapakilala lamang....
Noli Me Tangere,1,ISANG PAGCACAPISAN.,50,—¡Hintáy cayó!
Noli Me Tangere,1,ISANG PAGCACAPISAN.,51,¡hintay cayó!
Noli Me Tangere,1,ISANG PAGCACAPISAN.,52,¡howag naman sana cayóng napacaning̃as!
Noli Me Tangere,1,ISANG PAGCACAPISAN.,53,"Ang humalili sa akin ay hindí totoong nagtagal na gaya co, at ng̃ siya'y umalís ay lalò ng̃ marami ang naghatíd, lalo ng̃ marami ang umiyác at lalo ng̃ mainam ang música, gayóng siya'y lalò ng̃ mainam mamálò at pinataas pa ang mg̃a ""derechos ng̃ parroquia"", hangang sa halos nag-ibayo ang lakí."
Noli Me Tangere,1,ISANG PAGCACAPISAN.,54,—Ng̃uni't itutulot ninyó sa aking....
Noli Me Tangere,1,ISANG PAGCACAPISAN.,55,"—Hindî lamang iyan, nátira aco sa bayang San Diegong dalawampong taón, may iláng bowán lamang ng̃ayong aking.... iniwan (dito'y nagpakitang tila masamâ ang loob)."
Noli Me Tangere,1,ISANG PAGCACAPISAN.,56,Hindî maicacait sa akin nino mang dalawampong tao'y mahiguít cay sa catatagán upang makilala ang isang bayan.
Noli Me Tangere,1,ISANG PAGCACAPISAN.,57,"May anim na libo ang dami ng̃ taong namamayan sa San Diego, at bawa't tagaroo'y nakikilala co, na parang siya'y aking ipinang̃anac at pinasuso: nalalaman co cung alín ang mg̃a lisyang caasalan nito, cung anó ang pinang̃ang̃ailang̃an niyon, cung sino ang nang̃ing̃ibig sa bawa't dalaga, cung ano anong mg̃a pagcadupilas ang nangyari sa babaeng itó, cung sino ang tunay na amá ng̃ batang inianac, at iba pa; palibhasa'y kinucumpisal co ang calahatlahatang taong-bayan; nang̃ag-iing̃at ng̃ mainam sila sa canicaniláng catungculan."
Noli Me Tangere,1,ISANG PAGCACAPISAN.,58,Magsabi cung nagsisinung̃aling aco si Santiagong siyang may arì nitong bahay; doo'y marami siyang mg̃a lupà at doon camí naguíng magcaibigan.
Noli Me Tangere,1,ISANG PAGCACAPISAN.,59,"Ng̃ayo'y makikita ninyó cung anó ang ""indio""; ng̃ aco'y umalís, bahagya na acó inihatid ng̃ ilang mg̃a matatandáng babae at iláng ""hermano"" tercero, ¡gayóng nátira aco roong dalawampong taón!"
Noli Me Tangere,1,ISANG PAGCACAPISAN.,60,"Ng̃uni't hindî co mapagcúrò cung anó ang cabagayán ng̃ inyong mg̃a sinabi sa pagcacaális ng̃ ""estanco ng̃ tabaco""—ang sagot ng̃ may mapuláng buhóc na causap, na canyang sinamantala ang sandaling pagcatiguil dahil sa pag-inom ng̃ franciscano ng̃ isang copita ng̃ Jerez."
Noli Me Tangere,1,ISANG PAGCACAPISAN.,61,Sa pangguiguilalas ng̃ dî anó lamang ni Fr. Dámaso ay cauntî nang mabitiwan nito ang copa.
Noli Me Tangere,1,ISANG PAGCACAPISAN.,62,Sandalíng tinitigan ang binata at:
Noli Me Tangere,1,ISANG PAGCACAPISAN.,63,—¿Paano?
Noli Me Tangere,1,ISANG PAGCACAPISAN.,64,¿paano?—ang sinabi pagcatapos ng̃ boong pagtatacá.—Datapowa't ¿mangyayari bagang hindî ninyo mapagwarì iyang casíng liwanag ng̃ ílaw?
Noli Me Tangere,1,ISANG PAGCACAPISAN.,65,"¿Hindî ba ninyó nakikita, anác ng̃ Dios, na ang lahat ng̃ ito'y nagpapatibay na totoo, na pawang cahaling̃án ang mg̃a pagbabagong utos na guinágawà ng̃ mg̃a minìstro?"
Noli Me Tangere,1,ISANG PAGCACAPISAN.,66,"Ng̃ayo'y ang may puláng buhóc naman ang natigagal, lalong ikinunot ng̃ teniente ang canyang mg̃a kilay, iguinagalaw ang ulo ng̃ taong bulilit na parang ipinahahalatâ niyang biníbigyan niyang catuwiran ó hindi si Fray Dámaso."
Noli Me Tangere,1,ISANG PAGCACAPISAN.,67,Nagcasiya na lamang ang dominico sa pagtalicód sa canilang lahat halos.
Noli Me Tangere,1,ISANG PAGCACAPISAN.,68,"—¿Inaacalà bagá ninyó ...?—ang sa cawacasa'y nagawang tanóng ng̃ boong catimpian ng̃ binátà, na tinítitigan ng̃ boong pagtatacá ang fraile."
Noli Me Tangere,1,ISANG PAGCACAPISAN.,69,—¿Na cung inaacalà co?
Noli Me Tangere,1,ISANG PAGCACAPISAN.,70,¡Sinasampalatayanan cong gaya ng̃ pagsampalataya sa Evangelio!
Noli Me Tangere,1,ISANG PAGCACAPISAN.,71,"¡Napaca ""indolente"" ang ""indio""!"
Noli Me Tangere,1,ISANG PAGCACAPISAN.,72,"—¡Ah! ipatawad po ninyong salabatin co ang inyong pananalitâ—anang binatà, na idinahan ang voces at inilapít ng̃ cauntî ang canyang upuan; sinabi po ninyo ang isang salitâ na totoong nacaakit sa aking magdilidili."
Noli Me Tangere,1,ISANG PAGCACAPISAN.,73,"¡Tunay ng̃a cayang catutubò ng̃ mg̃a dalisay na tagarito ang pagca ""indolente,"" ó nangyayari ang sinasabi ng̃ isang maglalacbáy na taga ibang lupain, na tinátacpan natin ng̃ pagca indolenteng ito ang ating sariling pagca indolente, ang pagcáhuli natin sa pagsulong sa mg̃a carunung̃an at ang ating paraan ng̃ pamamahala sa lupaíng nasasacupan?"
Noli Me Tangere,1,ISANG PAGCACAPISAN.,74,"Ang sinabi niya'y ucol sa mg̃a ibang lupaíng sacóp, na ang mg̃a nananahan doo'y pawang sa lahì ring iyan!..."
Noli Me Tangere,1,ISANG PAGCACAPISAN.,75,—¡Ohó!
Noli Me Tangere,1,ISANG PAGCACAPISAN.,76,¡Mg̃a cainguitan!
Noli Me Tangere,1,ISANG PAGCACAPISAN.,77,"¡Itanong pô ninyo cay guinoong Laruja na nacakikílala rin sa lupaíng itó; itanong ninyo sa canya cung may mg̃a catulad ang camangmang̃an at ang pagca ""indolente"" ng̃ indio!"
Noli Me Tangere,1,ISANG PAGCACAPISAN.,78,"—Tunay ng̃a—ang sagót namán ng̃ bulilít na lalaking siyang binangguit—¡hindî po cayó macacakita sa alin mang panig ng̃ daigdíg ng̃ híhiguit pa sa pagca indolente ng̃ indio, sa alin mang panig ng̃ daigdíg!"
Noli Me Tangere,1,ISANG PAGCACAPISAN.,79,"—¡Ni iba pang lalong napacasama ng̃ asal na pinagcaratihan, ni iba pang lalong hindî marunong cumilala ng̃ utang na loob!"
Noli Me Tangere,1,ISANG PAGCACAPISAN.,80,—¡At ng̃ ibang lalong masamâ ang túrò!
Noli Me Tangere,1,ISANG PAGCACAPISAN.,81,Nagpasimulâ ang binatang mapulá ang buhóc ng̃ pagpapaling̃apling̃ap sa magcabicabilà ng̃ boong pag-aalap-ap.
Noli Me Tangere,1,ISANG PAGCACAPISAN.,82,"—Mg̃a guinoo—ang sinabing marahan—tila mandin tayo'y na sa bahay ng̃ isang ""indio""."
Noli Me Tangere,1,ISANG PAGCACAPISAN.,83,Ang mg̃a guinoong dalagang iyan....
Noli Me Tangere,1,ISANG PAGCACAPISAN.,84,—¡Bah! huwag cayóng napaca magugunigunihin!
Noli Me Tangere,1,ISANG PAGCACAPISAN.,85,"Hindî ipinalalagay ni Santiagong siya'y ""indio,"" bucód sa roo'y hindî siya naháharap, at...."
Noli Me Tangere,1,ISANG PAGCACAPISAN.,86,¡cahi't náhaharap man siya!
Noli Me Tangere,1,ISANG PAGCACAPISAN.,87,Iya'y mg̃a cahaling̃án ng̃ mg̃a bágong dating.
Noli Me Tangere,1,ISANG PAGCACAPISAN.,88,"Hayaan ninyong macaraan ang ilang bowan; magbabago cayóng isipán pagca cayo'y nacapagmalimít sa maraming mg̃a fiesta at ""bailujan"", nacatulog sa mg̃a catre at nacacain ng̃ maraming ""tinola""."
Noli Me Tangere,1,ISANG PAGCACAPISAN.,89,"—Tinatawag po ba ninyong tinola ang bung̃ang cahoy na cahawig ng̃ ""loto"" na ... ganyan ... nacapagmamalimutin sa mg̃a tao?"
Noli Me Tangere,1,ISANG PAGCACAPISAN.,90,—¡Ano bang loto ni loteria!—ang sagot ni párì Dámasong nagtátawa;—nagsasalitâ cayó ng̃ mg̃a cahaling̃án.
Noli Me Tangere,1,ISANG PAGCACAPISAN.,91,Ang tinola ay ang pinaghalong inahíng manoc at sacá úpo.
Noli Me Tangere,1,ISANG PAGCACAPISAN.,92,¿Buhat pa cailán dumating cayó?
Noli Me Tangere,1,ISANG PAGCACAPISAN.,93,—Apat na araw—ang sagot ng̃ binatang ga namumuhî na.
Noli Me Tangere,1,ISANG PAGCACAPISAN.,94,—¿Naparito ba cayong may catungculan?
Noli Me Tangere,1,ISANG PAGCACAPISAN.,95,—Hindi pô; naparito acó sa aking sariling gugol upang mapagkilala co ang lupaíng itó.
