token,frequency,capitalized_count,pattern_match,modern_suggestion,confidence,auto_action,sample_contexts
inaacala,42,0,C_TO_K,inaakala,HIGH,SAFE,"['78: —¿Na kung inaacala ko?', '573: Napapanood din doon ang isang San Antonio Abad, na may isang baboy sa tabi, at ang isip ng carapatdapat na Capitan, ang baboy na iyo\'y macapaghihimalang gaya rin ni San Antonio, at sa ganitong cadahilana\'y hindi siya, nangangahas tumawag sa hayop na iyon ng ""baboy"" kung di ""alaga ng santo señor San Antonio;"" isang San Francisco de Asis na may pitong pakpak at may habitong kulay cafe, na nacapatong sa ibabaw ng isang San Vicente, na wala kung di dadalawang pakpak, ngunit may dala namang isang cornetin; isang San Pedro Martir na biyac ang ulo, at tangan ng isang di binyagang nacaluhod ang isang talibong ng tulisan, na na sa tabi ng isang San Pedro na pinuputol ang tainga ng isang moro, na marahil ay si Malco, na nangangatlabi at napapahindic sa sakit, samantalang tumatalaoc at namamayagpag ang sasabunging nacatuntong sa isang haliguing ""dorico"", at sa bagay na ito\'y inaacala ni Kapitang Tiago, na nacararating sa paguiguing santo ang tumaga at gayon din ang mataga.', '602: Kung nariringig niyang sinasabing masasama ang mga tunay na lahing filipino, siyang hindi nagpapalagay sa sariling di siya dalisay na tagalog, nakikipintas siya at lalo pa manding masama ang kanyang guinagawang pagpula; sacali\'t ang pinipintasa\'y ang mga mestizong insic o mestizong kastila, siya nama\'y nakikipintas, marahil sa pagka\'t inaacala na niyang siya\'y dalisay na ""ibero"": siya ang unaunang pumupuri sa lahat ng mga pagpapabuwis, lalo\'t kung sa licuran nito\'y naaamo\'y niyang may ""contrata"" o isang ""arriendo.']"
cawangis,41,0,C_TO_K,kawangis,HIGH,SAFE,"[""12: Kung sa aking kaibigan lamang at sa aking sariling caguinhawahan, hindi cata papagalin sa pagsasaysay ng kalagayan ng bahay; ngunit lubhang mahalaga ito, palibhasa'y ang caraniwan sa mga may camatayang gaya natin ay tulad sa pawican: hinahalagahan at hinihirang tayo alinsunod sa ating talucab o tinatahanang bahay; dahil dito't sa iba pang mga anyo ng asal, cawangis nga ng mga pawican ang mga may camatayan sa Filipinas."", '46: Ang mukha niyang maganda ang tabas, ang kanyang mga pagtinging nacalalaguim, ang kanyang malalapad na mga panga at batibot na pangangatawan ay nagbibigay anyo sa kanyang isang patricio romanong nagbalat kayo, at kahi\'t hindi sinasadya\'y inyong magugunita yaong tatlong monjeng sinasabi ni Heine sa kanyang ""Dioses en el destierro"", na nagdaraang namamangca pagkahating gabi sa isang dagatan doon sa Tyrol, kung ""equinoccio"" ng Septiembre, at sa tuwing dumaraa\'y inilalagay ng abang mamamangca ang isang salaping pilac, malamig na cawangis ng ""hielo,"" na siyang sa kanya\'y pumupuspos ng panglulumo.', '292: Pinacunot ni Doña Victorina, gayon man, ang kanyang ilong; ngunit caracaraca\'y lumingong malaki ang galit, cawangis ng natapacang ahas: mangyari\'y natuntungan ng teniente ang ""cola"" ng kanyang pananamit.']"
pagdaca'y,40,0,C_TO_K,pagdaka'y,HIGH,SAFE,"[""27: Ang mga babae ay ilang mga dalagang ang iba'y filipina at ang iba'y española: binubucsan nila ang bibig upang piguilin ang isang hicab; ngunit pagdaca'y tinatacpan nila ng kanilang mga abanico; bahagya na nangagbubulungan ng ilang mga pananalita; ano mang pag-uusap na ipinagsusumalang pasimulan, pagdaca'y naluluoy sa ilang putol-putol na sabi; katulad niyang mga ingay na nariringig kung gabi sa isang bahay, mga ingay na gawa ng mga daga at ng mga butiki."", ""27: Ang mga babae ay ilang mga dalagang ang iba'y filipina at ang iba'y española: binubucsan nila ang bibig upang piguilin ang isang hicab; ngunit pagdaca'y tinatacpan nila ng kanilang mga abanico; bahagya na nangagbubulungan ng ilang mga pananalita; ano mang pag-uusap na ipinagsusumalang pasimulan, pagdaca'y naluluoy sa ilang putol-putol na sabi; katulad niyang mga ingay na nariringig kung gabi sa isang bahay, mga ingay na gawa ng mga daga at ng mga butiki."", ""129: Tumiguil na sandali ang dalawang extranjerong nangagpapasial, nangagtinginan, ipinakitang saglit ang kanilang mga pangil; at pagdaca'y ipinagpatuloy uli ang kanilang pagpaparoo't parito.""]"
caunting,39,0,C_TO_K,kaunting,HIGH,SAFE,"['234: Nababasa sa kanyang mukhang bukas at masaya ang caunting bacas ng dugong kastila na naaaninag sa isang magandang kulay caymanggui, na mapulapula sa mga pisngi, marahil sa pagkapatira niya sa mga bayang malalamig.', ""329: Nakita ng franciscano ang lahat ng ito, dinurog ang mga upo, humigop ng caunting sabaw, pinatunog ang cuchara sa paglalagay at biglang itinulac ang pingga't inilayo sa kanyang harapan."", '441: —ang sagot ng militar na may caunting pangguiguilalas.']"
caisipan,39,0,C_TO_K,kaisipan,HIGH,SAFE,"['308: Ang lalong mataas na oficial sa Filipinas, ayon sa caisipan ng mga fraile, ay totoong malaki ang cababaan sa isang uldog na tagapagluto ng pagkain.', '544: Inihihip ng catahimican ang kanyang hungcag na hininga sa Maynila, at wari mandi\'y natutulog ang lahat sa mga bisig ng wala; nariringig na nakikipaghalinhinan ang talaoc ng manok sa mga reloj ng mga campanario at sa mapanglaw na sigaw na ""alerta"" ng nayayamot na sundalong bantay; nagpapasimula ng pagsungaw ang capirasong bowan; wari nga\'y nangagpapahingalay na ang lahat; si Ibarra man ay natutulog na ri\'t marahil ay napagal sa kanyang malulungcot na mga caisipan o sa paglalacbay.', ""699: Sa mga sandaling yaon, pagka nagcacawatasan ang dalawang linikhang sumasaligaya sa kilos ng mga balintataong natatabingan ng mga pilic-matang pinaglalampasanan ng pag-iisip, ang pananalita'y mabagal, magaspang, mahina, wangis sa ugong ng culog na nangangalagcag at walang tuos kung isusumag sa nacasisilaw na liwanag at mabilis ng kidlat: nagsasaysay ng isang damdaming kilala na, isang isipang napag-uunawa, na, at kaya lamang guinagamit ito'y sa pagka't ang mithi ng puso'y siyang nacapangyayari sa buong cataohang saganang sagana sa galac, ibig na ang buong katawan niyang kasama ang lahat ng sancap na laman, buto at dugo at ang buong caisipan ay magsaysay ng hiwagang mga catowaang inaawit ng espiritu.""]"
camahalan,38,0,C_TO_K,kamahalan,HIGH,SAFE,"['2137: —Itulot po ng mga camahalan ninyong magsaysay ako tungkol sa isang bagay na totoong mahalaga—anya.', ""2140: Itulot nga ninyong ako ang maunang magsalita sa pulong na itong kinakikitaan ko ng mga nalilimping totoong mga litaw na mga tao, gaya na nga ng ginoong casalucuyang capitan, ng kapitan pasado, ng kaibigan kong tanging si Don Valenting capitan pasado, ang aking kaibigan sa camusmusang si Don Julio, ang ating bantog na capitan ng mga cuadrillerong si Don Melchor, at marami pang mga caguinoohang di ko na sasabihi't ng huwag akong humaba, na nakikita ng inyong mga camahalang pawang caharap natin ngayon ipinamanhik ko po sa inyong mga camahalan ipahintulot na ako'y macapagsalita bago magsalita ang ibang sino man ¿Magtatamo kaya ako ng capalarang pahinuhod ang capulungan sa aking mapacumbabang capamanhican?"", ""2345: —Inihandog ko sa pagkaamis ang pag-ibig ko sa aking sarili upang magtagumpay lamang ang magandang caisipan; kayo nama'y inihayin ninyo sa pagkaapi ang inyong camahalan upang manalo ang masamang panucala, at inyong iniwasac ang lahat.""]"
magcagayo'y,37,0,C_TO_K,magkagayo'y,HIGH,SAFE,"[""178: —Ng magcagayo'y ng magbalik ang curang ito sa bayan, pagkatapos na maalipusta ang coadjutor, ang ginawa'y ipinahucay ang bangkay na iyon, ipinadala sa labas ng libingan, upang ibaon hindi ko maalaman kung saan."", '489: "" Pinagdimlan ng galit, at sa pagka\'t hindi siya mang-abot, sa kanila\'y inihalibas ang kanyang baston, tinamaan ang isa sa ulo at nabulagta; ng magcagayo\'y hinandulong ang nasusubasob at pinagtatadyacan, at alin man sa nangagsisipanood na nanglilibac ay hindi nagcaroon ng tapang na mamag-itan.', ""495: Nangyari ang caugalian, nakialam ang justicia, piniit ang inyong ama, at ng magcagayo'y nangagsilitaw ang mga lihim na kaaway.""]"
cagalingan,37,0,C_TO_K,kagalingan,HIGH,SAFE,"['515: Ang mga pagtitiis ng hirap, ang mga sama ng loob, ang mga pagdaralita sa bilangguan, o ang kanyang pagpipighati ng kanyang mapanood ang gayong caraming gumaganti ng catampalasanan sa ginawa niya sa kanilang mga cagalingan, ang siyang sumira sa catibayan ng kanyang catawang bacal, at dinapuan siya, niyang sakit na ang libingan lamang ang nacagagamot.', '724: Sa aking sapantaha\'y ikaw ang ""hada"", ang espiritu, ang caayaayang kinacatawan ng aking Bayang kinaguisnan, maganda, mahinhin, masintahin, lubos calinisan, anak ng Filipinas, niyang cagandagandahang lupang bucod sa mga dakilang cagalingan ng Inang Españang taglay rin niya\'y may maririkit pang mga hiyas ng isang bayang bata, tulad sa pagkakapisan sa iyong cataohan ng lahat ng cagandahan at carikitang nacapagpapaningning sa dalawang lahi; kaya nga\'t nabubuo lamang sa isa ang pagsinta ko sa iyo\'t ang pagsinta ko sa aking tinubuang lupa ...', '1366: Matutubos ng mga buhay ang mga calolowang namatay sa casalanan, sa pagsasalita ng mga nasasaysay sa ""Avestra"" at gumawa ng mga cagalingan; datapwat kinacailangang ang mananalangin ay isang camag-anak ng nasira hanggang sa icaapat na salin.']"
pagtataca,37,0,C_TO_K,pagtataka,HIGH,SAFE,"['71: —ang sinabi pagkatapos ng buong pagtataca.', ""77: —ang sa cawacasa'y nagawang tanong ng buong catimpian ng binata, na tinititigan ng buong pagtataca ang fraile."", ""109: —ang saysay ni Fr. Damaso, na siya'y minamasdan ng buong pagtataca—¡Pumarito sa sariling gugol at sa mga cahalingan lamang!""]"
cahulugan,36,0,C_TO_K,kahulugan,HIGH,SAFE,"[""398: ¡Ang acala nila'y mga taong may cahulugan na!"", '572: Mga cuadrong pintado ng oleo ng mga artistang taga Pako at taga Ermita, na ang naroroo\'y ang mga pagpapasakit sa mga santo, ang mga himala ng Virgen at iba pa; si Santa Luciang nacatitig sa langit, at hawac ang isang pinggang kinalalagyan ng dalawa pang matang may mga pilic-mata at may mga kilay, na katulad ng napapanood na nacapinta sa ""triangulo"" ng Trinidad o sa mga ""sarcofago egipcio""; si San Pascual Baylon, San Antonio de Padua, na may habitong guingon at pinagmamasdang tumatangis ang isang Niño Jesus, na may damit Kapitan General, may tricornio, may sable at may mga botang tulad sa sayaw ng mga musmos na bata sa Madrid: sa ganang kay Kapitan Tiago, ang cahulugan ng gayong anyo\'y kahi\'t idagdag ng Dios sa kanyang kapangyarihan ang kapangyarihan ng isang Kapitang General sa Filipinas, ay paglalaruan din siya ng mga franciscano, na katulad ng paglalaro sa isang ""muñeca"" o larauang taotauhan.', ""1358: —Malaon pang totoo bago manaog ang ating Panginoong Jesucristo'y may Purgatorio na, at ito'y na sa calaguitnaan ng lupa, ayon kay pari Astete, o sa malapit sa Cluny, ayon sa monjang sinasabi ni pari Girard, datapwat hindi ang may cahulugan dito'y ang kinalalagyan.""]"
catahimican,36,0,C_TO_K,katahimikan,HIGH,SAFE,"['188: Untiunting nanag-uli ang capisanang iyon sa dating catahimican.', '544: Inihihip ng catahimican ang kanyang hungcag na hininga sa Maynila, at wari mandi\'y natutulog ang lahat sa mga bisig ng wala; nariringig na nakikipaghalinhinan ang talaoc ng manok sa mga reloj ng mga campanario at sa mapanglaw na sigaw na ""alerta"" ng nayayamot na sundalong bantay; nagpapasimula ng pagsungaw ang capirasong bowan; wari nga\'y nangagpapahingalay na ang lahat; si Ibarra man ay natutulog na ri\'t marahil ay napagal sa kanyang malulungcot na mga caisipan o sa paglalacbay.', ""614: Ngunit hindi nacababagabag ng kanyang pagtulog ang lahat ng ito; hindi nacaliligalig ng kanyang catahimican ang sino mang dalaga; isang matandang babae ang siyang nacapagpapahirap ng kanyang loob, isang matandang babaeng nakikipagtaasan sa kanya ng pamimintacasi na naging dapat magtamo sa maraming cura ng lalong malalaking pagpupuri at pagpapaunlac kay sa mga kinamtan niya ng panahong siya'y guinagaling.""]"
cata,34,0,C_TO_K,kata,HIGH,SAFE,"[""12: Kung sa aking kaibigan lamang at sa aking sariling caguinhawahan, hindi cata papagalin sa pagsasaysay ng kalagayan ng bahay; ngunit lubhang mahalaga ito, palibhasa'y ang caraniwan sa mga may camatayang gaya natin ay tulad sa pawican: hinahalagahan at hinihirang tayo alinsunod sa ating talucab o tinatahanang bahay; dahil dito't sa iba pang mga anyo ng asal, cawangis nga ng mga pawican ang mga may camatayan sa Filipinas."", ""720: Nang magcagayo'y tinangnan ko ang iyong kamay at ang kamay ng aking ina, nanumpa akong sisintahin cata, cata'y paliligayahin, ano man ang capalarang sa aki'y ipagcaloob ng Langit, at sa pagka't hindi nacapagbigay pighati kailan man sa akin ang sumpang ito; ngayo'y muling inuulit ko sa iyo."", '733: at pumasoc ako sa beaterio, lagui nang naaalaala cata at hindi ko ikaw nilimot, baga man ipinag-utos sa akin ng confesor at pinarusahan ako ng maraming mga pahirap.']"
franciscano,34,0,C_TO_K,franciskano,HIGH,SAFE,"['44: Baligtad ang isa namang fraile, na franciscano, totoong masalita at lalo ng mainam magcucumpas.', ""48: Ang isa sa mga paisano'y isang taong malingguit, maitim ang balbas at walang ikinatatangi kung di ang ilong, na sa calakha'y masasabing hindi kanya; ang isa, nama'y isang binatang kulay guinto ang buhok, na tila bagong dating dito sa Filipinas: ito ang masilacbong pinakikipagmatuwiranan ng franciscano."", ""49: —Makikita rin ninyo—ang sabi ng franciscano—pagka po kayo'y natirang ilang bowan dito, kayo'y maniniwala sa aking sinasabi: ¡iba ang mamahala ng bayan ng Madrid at iba, ang matira sa Filipinas!""]"
caming,33,0,C_TO_K,kaming,HIGH,SAFE,"['466: Sa casaliwaang palad, caming mga castilang naparito sa Filipinas ay hindi namin inuugali ang marapat naming ugaliin: sinasabi ko ito, dahil sa isa sa inyong mga nunong lalaki at gayon din sa kaaway ng inyong ama.', ""1099: —Naalis ang pagkapaco ng cabaong, umaalingasaw ... at mapilitan kang pasanin mo ang cabaong na iyon, at umuulan at caming dalawa'y capuwa basa at...."", '1299: —¡Aayaw po caming paalisin ng sacristan mayor hanggang hindi tumutugtog ang icawalong horas—ang sagot ng pinacamatanda.']"
curang,33,0,C_TO_K,kurang,HIGH,SAFE,"['54: Hindi ko pa nauunawang magaling ang wikang tagalog, gayon ma\'y kinucumpisal ko na ang mga babae at nagcacawatasan kami, at lubhang pinacaibig nila ako, na ano pa\'t ng macaraan ang tatlong taon, ng ako\'y ilipat sa ibang bayang lalong malaki, na walang namamahala dahil sa pagkamatay ng curang ""indio"" roon, nangagsipanangis ang lahat ng babae, pinuspos ako ng mga handog, inihatid nila akong may casamang musica....', ""178: —Ng magcagayo'y ng magbalik ang curang ito sa bayan, pagkatapos na maalipusta ang coadjutor, ang ginawa'y ipinahucay ang bangkay na iyon, ipinadala sa labas ng libingan, upang ibaon hindi ko maalaman kung saan."", ""569: Sa cadahilanan ding ito marahil kaya may nakikitang mga insic na di binyagan at sampong mga castilang lumalacad ng paluhod sa balitang sambahan; at ang hindi lamang napag-uusisa pa'y ang kung bakit nangagtatanan ang mga curang dala ang salapi ng casindacsindac na Larawan, napasa sa America at pagdating doo'y napacacasal.""]"
calooban,33,0,C_TO_K,kalooban,HIGH,SAFE,"['18: Sa panonood ng mga calagayang iyong umaakit sa pagkakagana sa pagkain at naguudyoc ng ucol sa paglasap ng masasarap na bagay bagay, marahil acalain ng ilang may masamang isipan ang may-ari ng bahay, na napagkikilalang magaling ang calooban ng halos lahat ng mga magsisiupo sa mesa, at ng huwag namang mahalatang totoo ang kanyang panucala, nagsabit sa quizame ng maririkit na lamparang gawa sa China, mga jaulang walang ibon, mga bolang cristal na may azogueng may kulay pula, verde at azul, mga halamang pangbiting lanta na, mga tuyong isdang botete na hinipa\'t ng bumintog, at iba pa, at ang lahat ng ito\'y nacuculong sa may dakong ilog ng maiinam na mga arcong kahoy, na ang anyo\'y alangang huguis europeo\'t alangang huguis insic, at may natatanaw namang isang ""azoteang"" may mga balag at mga ""glorietang"" bahagya na naliliwanagan ng mga maliliit na farol na papel na may sarisaring kulay.', ""608: sa pagka't ayon sa makikita natin sa mga susunod dito, hindi casucatang magcaroon ang tao ng magandang calooban upang sumapayapa."", '817: Ipinagtabuyan, ang kanyang caayaayang mga naaalaala ng Jardin Botanico; iniharap sa kanyang pag-iisip ang demonio ng mga pagsusumagsumag; ang mga Jardin Botanico sa Europa, sa mga lupaing nangagcacailangan ng malakas na calooban at saganang guinto upang mapasibol ang isang dahon at mapabucas ang isang bulaklak; hindi lamang doon, kung di sa mga ""colonia"" man ay may mabubuti ang alaga at mga mahahalagang Jardin Botanicong bukas na lagui sa sino mang ibig manood.']"
