old_token,new_token,frequency,confidence,reason,reviewer_decision,decision_note
caming,kaming,33,HIGH,C_TO_K,APPROVED,AUTO_SAFE
curang,kurang,33,HIGH,C_TO_K,APPROVED,AUTO_SAFE
calooban,kalooban,33,HIGH,C_TO_K,APPROVED,AUTO_SAFE
canicanilang,kanikanilang,33,HIGH,C_TO_K,APPROVED,AUTO_SAFE
musica,musika,33,HIGH,C_TO_K,APPROVED,AUTO_SAFE
carapatdapat,karapatdapat,32,HIGH,C_TO_K,APPROVED,AUTO_SAFE
panucala,panukala,32,HIGH,C_TO_K,APPROVED,AUTO_SAFE
calolowa,kalolowa,32,HIGH,C_TO_K,APPROVED,AUTO_SAFE
macaraan,makaraan,31,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cagalanggalang,kagalanggalang,31,HIGH,C_TO_K,APPROVED,AUTO_SAFE
icagagaling,ikagagaling,31,HIGH,C_TO_K,APPROVED,AUTO_SAFE
caraming,karaming,30,HIGH,C_TO_K,APPROVED,AUTO_SAFE
macatuwid,makatuwid,30,HIGH,C_TO_K,APPROVED,AUTO_SAFE
casabay,kasabay,30,HIGH,C_TO_K,APPROVED,AUTO_SAFE
caugalian,kaugalian,30,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cuartel,kuartel,29,HIGH,C_TO_K,APPROVED,AUTO_SAFE
malungcot,malungkot,29,HIGH,C_TO_K,APPROVED,AUTO_SAFE
caibigang,kaibigang,28,HIGH,C_TO_K,APPROVED,AUTO_SAFE
ucol,ukol,28,HIGH,C_TO_K,APPROVED,AUTO_SAFE
capurihan,kapurihan,27,HIGH,C_TO_K,APPROVED,AUTO_SAFE
kinacailangan,kinakailangan,26,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cawayan,kawayan,25,HIGH,C_TO_K,APPROVED,AUTO_SAFE
coche,koche,25,HIGH,C_TO_K,APPROVED,AUTO_SAFE
caniyang,kaniyang,24,HIGH,C_TO_K,APPROVED,AUTO_SAFE
daco,dako,24,HIGH,C_TO_K,APPROVED,AUTO_SAFE
hucay,hukay,24,HIGH,C_TO_K,APPROVED,AUTO_SAFE
capitana,kapitana,23,HIGH,C_TO_K,APPROVED,AUTO_SAFE
lumalacad,lumalakad,23,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cadahilanan,kadahilanan,23,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cabuluhang,kabuluhang,23,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cahabaghabag,kahabaghabag,22,HIGH,C_TO_K,APPROVED,AUTO_SAFE
tumacas,tumakas,22,HIGH,C_TO_K,APPROVED,AUTO_SAFE
catuwaan,katuwaan,22,HIGH,C_TO_K,APPROVED,AUTO_SAFE
casayahan,kasayahan,21,HIGH,C_TO_K,APPROVED,AUTO_SAFE
escuela,eskuela,21,HIGH,C_TO_K,APPROVED,AUTO_SAFE
caramihang,karamihang,21,HIGH,C_TO_K,APPROVED,AUTO_SAFE
dominico,dominiko,20,HIGH,C_TO_K,APPROVED,AUTO_SAFE
manacanacang,manakanakang,20,HIGH,C_TO_K,APPROVED,AUTO_SAFE
castilang,kastilang,20,HIGH,C_TO_K,APPROVED,AUTO_SAFE
calugodlugod,kalugodlugod,20,HIGH,C_TO_K,APPROVED,AUTO_SAFE
nacacaalam,nakakaalam,20,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cagagawan,kagagawan,20,HIGH,C_TO_K,APPROVED,AUTO_SAFE
caraniwan,karaniwan,19,HIGH,C_TO_K,APPROVED,AUTO_SAFE
escuelahan,eskuelahan,19,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cuarta,kuarta,19,HIGH,C_TO_K,APPROVED,AUTO_SAFE
nagcaroon,nagkaroon,19,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cagandahan,kagandahan,19,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cayamanan,kayamanan,19,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cakilakilabot,kakilakilabot,19,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cagalingang,kagalingang,19,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cadiliman,kadiliman,19,HIGH,C_TO_K,APPROVED,AUTO_SAFE
capayapaan,kapayapaan,18,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cacaunti,kakaunti,18,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cacaibang,kakaibang,18,HIGH,C_TO_K,APPROVED,AUTO_SAFE
campana,kampana,18,HIGH,C_TO_K,APPROVED,AUTO_SAFE
caguluhan,kaguluhan,18,HIGH,C_TO_K,APPROVED,AUTO_SAFE
caraniwang,karaniwang,18,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cahihiyan,kahihiyan,18,HIGH,C_TO_K,APPROVED,AUTO_SAFE
casaliwaang,kasaliwaang,18,HIGH,C_TO_K,APPROVED,AUTO_SAFE
magcabicabila,magkabikabila,17,HIGH,C_TO_K,APPROVED,AUTO_SAFE
caculangan,kakulangan,17,HIGH,C_TO_K,APPROVED,AUTO_SAFE
tabaco,tabako,17,HIGH,C_TO_K,APPROVED,AUTO_SAFE
caayaayang,kaayaayang,17,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cailangan,kailangan,17,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cagabi,kagabi,17,HIGH,C_TO_K,APPROVED,AUTO_SAFE
wacas,wakas,17,HIGH,C_TO_K,APPROVED,AUTO_SAFE
catungculang,katungkulang,17,HIGH,C_TO_K,APPROVED,AUTO_SAFE
candila,kandila,17,HIGH,C_TO_K,APPROVED,AUTO_SAFE
licuran,likuran,17,HIGH,C_TO_K,APPROVED,AUTO_SAFE
capanatagan,kapanatagan,16,HIGH,C_TO_K,APPROVED,AUTO_SAFE
nacapagbibigay,nakapagbibigay,16,HIGH,C_TO_K,APPROVED,AUTO_SAFE
candilang,kandilang,16,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cumilos,kumilos,16,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cumikilos,kumikilos,16,HIGH,C_TO_K,APPROVED,AUTO_SAFE
nagtataca,nagtataka,16,HIGH,C_TO_K,APPROVED,AUTO_SAFE
magpacailan,magpakailan,16,HIGH,C_TO_K,APPROVED,AUTO_SAFE
nacalagay,nakalagay,16,HIGH,C_TO_K,APPROVED,AUTO_SAFE
calayaan,kalayaan,16,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cakilala,kakilala,15,HIGH,C_TO_K,APPROVED,AUTO_SAFE
calungcutan,kalungkutan,15,HIGH,C_TO_K,APPROVED,AUTO_SAFE
caninang,kaninang,15,HIGH,C_TO_K,APPROVED,AUTO_SAFE
chocolate,chokolate,15,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cabanalan,kabanalan,15,HIGH,C_TO_K,APPROVED,AUTO_SAFE
caligayahan,kaligayahan,15,HIGH,C_TO_K,APPROVED,AUTO_SAFE
culog,kulog,15,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cumulang,kumulang,15,HIGH,C_TO_K,APPROVED,AUTO_SAFE
magcabicabilang,magkabikabilang,15,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cataohan,kataohan,14,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cababayan,kababayan,14,HIGH,C_TO_K,APPROVED,AUTO_SAFE
nagcacailangan,nagkakailangan,14,HIGH,C_TO_K,APPROVED,AUTO_SAFE
bangco,bangko,14,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cumain,kumain,14,HIGH,C_TO_K,APPROVED,AUTO_SAFE
kinabucasan,kinabukasan,14,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cuadrillero,kuadrillero,14,HIGH,C_TO_K,APPROVED,AUTO_SAFE
carapatan,karapatan,14,HIGH,C_TO_K,APPROVED,AUTO_SAFE
panucalang,panukalang,14,HIGH,C_TO_K,APPROVED,AUTO_SAFE
camatayan,kamatayan,14,HIGH,C_TO_K,APPROVED,AUTO_SAFE
catawang,katawang,14,HIGH,C_TO_K,APPROVED,AUTO_SAFE
inacala,inakala,13,HIGH,C_TO_K,APPROVED,AUTO_SAFE
capahamacan,kapahamakan,13,HIGH,C_TO_K,APPROVED,AUTO_SAFE
casalucuyang,kasalukuyang,13,HIGH,C_TO_K,APPROVED,AUTO_SAFE
camusmusan,kamusmusan,13,HIGH,C_TO_K,APPROVED,AUTO_SAFE
conservador,konservador,13,HIGH,C_TO_K,APPROVED,AUTO_SAFE
capalaran,kapalaran,13,HIGH,C_TO_K,APPROVED,AUTO_SAFE
casangcapan,kasangkapan,13,HIGH,C_TO_K,APPROVED,AUTO_SAFE
yumucod,yumukod,13,HIGH,C_TO_K,APPROVED,AUTO_SAFE
casamahan,kasamahan,13,HIGH,C_TO_K,APPROVED,AUTO_SAFE
camalian,kamalian,12,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cata'y,kata'y,12,HIGH,C_TO_K,APPROVED,AUTO_SAFE
nacaupo,nakaupo,12,HIGH,C_TO_K,APPROVED,AUTO_SAFE
orquesta,orkesta,12,HIGH,QU_TO_K,APPROVED,AUTO_SAFE
cumacain,kumakain,12,HIGH,C_TO_K,APPROVED,AUTO_SAFE
caramihan,karamihan,12,HIGH,C_TO_K,APPROVED,AUTO_SAFE
camag-anak,kamag-anak,12,HIGH,C_TO_K,APPROVED,AUTO_SAFE
coadjutor,koadjutor,12,HIGH,C_TO_K,APPROVED,AUTO_SAFE
adhica,adhika,12,HIGH,C_TO_K,APPROVED,AUTO_SAFE
corresponsal,korresponsal,12,HIGH,C_TO_K,APPROVED,AUTO_SAFE
excomunion,exkomunion,12,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cumuha,kumuha,11,HIGH,C_TO_K,APPROVED,AUTO_SAFE
caliwanagan,kaliwanagan,11,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cagulatgulat,kagulatgulat,11,HIGH,C_TO_K,APPROVED,AUTO_SAFE
hucom,hukom,11,HIGH,C_TO_K,APPROVED,AUTO_SAFE
nag-acalang,nag-akalang,11,HIGH,C_TO_K,APPROVED,AUTO_SAFE
catotohanang,katotohanang,11,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cawasa,kawasa,11,HIGH,C_TO_K,APPROVED,AUTO_SAFE
capangyarihang,kapangyarihang,11,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cawani,kawani,11,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cautusan,kautusan,11,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cangino,kangino,11,HIGH,C_TO_K,APPROVED,AUTO_SAFE
salacot,salakot,11,HIGH,C_TO_K,APPROVED,AUTO_SAFE
caguinsaguinsa'y,kaguinsaguinsa'y,11,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cocheng,kocheng,11,HIGH,C_TO_K,APPROVED,AUTO_SAFE
capighatian,kapighatian,11,HIGH,C_TO_K,APPROVED,AUTO_SAFE
pangaco,pangako,11,HIGH,C_TO_K,APPROVED,AUTO_SAFE
caawaawang,kaawaawang,11,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cuchara,kuchara,11,HIGH,C_TO_K,APPROVED,AUTO_SAFE
caasalan,kaasalan,11,HIGH,C_TO_K,APPROVED,AUTO_SAFE
macapangyarihan,makapangyarihan,11,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cahit,kahit,11,HIGH,C_TO_K,APPROVED,AUTO_SAFE
calahating,kalahating,10,HIGH,C_TO_K,APPROVED,AUTO_SAFE
calolowang,kalolowang,10,HIGH,C_TO_K,APPROVED,AUTO_SAFE
campanario,kampanario,10,HIGH,C_TO_K,APPROVED,AUTO_SAFE
malulungcot,malulungkot,10,HIGH,C_TO_K,APPROVED,AUTO_SAFE
caraniwa'y,karaniwa'y,10,HIGH,C_TO_K,APPROVED,AUTO_SAFE
culot,kulot,10,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cacampi,kakampi,10,HIGH,C_TO_K,APPROVED,AUTO_SAFE
catuwirang,katuwirang,10,HIGH,C_TO_K,APPROVED,AUTO_SAFE
macakita,makakita,10,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cabo,kabo,10,HIGH,C_TO_K,APPROVED,AUTO_SAFE
carro,karro,10,HIGH,C_TO_K,APPROVED,AUTO_SAFE
macaalam,makaalam,10,HIGH,C_TO_K,APPROVED,AUTO_SAFE
caugaliang,kaugaliang,10,HIGH,C_TO_K,APPROVED,AUTO_SAFE
nacacakita,nakakakita,10,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cahirapan,kahirapan,10,HIGH,C_TO_K,APPROVED,AUTO_SAFE
calagayang,kalagayang,10,HIGH,C_TO_K,APPROVED,AUTO_SAFE
nacabitin,nakabitin,10,HIGH,C_TO_K,APPROVED,AUTO_SAFE
calahati,kalahati,10,HIGH,C_TO_K,APPROVED,AUTO_SAFE
natatacot,natatakot,10,HIGH,C_TO_K,APPROVED,AUTO_SAFE
capanglawan,kapanglawan,10,HIGH,C_TO_K,APPROVED,AUTO_SAFE
magnanacaw,magnanakaw,10,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cayang,kayang,9,HIGH,C_TO_K,APPROVED,AUTO_SAFE
capalit,kapalit,9,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cumacapit,kumakapit,9,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cataasan,kataasan,9,HIGH,C_TO_K,APPROVED,AUTO_SAFE
causapin,kausapin,9,HIGH,C_TO_K,APPROVED,AUTO_SAFE
bacas,bakas,9,HIGH,C_TO_K,APPROVED,AUTO_SAFE
casing,kasing,9,HIGH,C_TO_K,APPROVED,AUTO_SAFE
nacangiti,nakangiti,9,HIGH,C_TO_K,APPROVED,AUTO_SAFE
calakilakihang,kalakilakihang,9,HIGH,C_TO_K,APPROVED,AUTO_SAFE
capisanan,kapisanan,9,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cacanin,kakanin,9,HIGH,C_TO_K,APPROVED,AUTO_SAFE
macapagsalita,makapagsalita,9,HIGH,C_TO_K,APPROVED,AUTO_SAFE
kinacatawan,kinakatawan,9,HIGH,C_TO_K,APPROVED,AUTO_SAFE
carukhaan,karukhaan,9,HIGH,C_TO_K,APPROVED,AUTO_SAFE
macasalanan,makasalanan,9,HIGH,C_TO_K,APPROVED,AUTO_SAFE
caibhan,kaibhan,9,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cararating,kararating,9,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cahalingan,kahalingan,9,HIGH,C_TO_K,APPROVED,AUTO_SAFE
calaguimlaguim,kalaguimlaguim,9,HIGH,C_TO_K,APPROVED,AUTO_SAFE
manacanaca,manakanaka,9,HIGH,C_TO_K,APPROVED,AUTO_SAFE
capaitan,kapaitan,9,HIGH,C_TO_K,APPROVED,AUTO_SAFE
nacatindig,nakatindig,9,HIGH,C_TO_K,APPROVED,AUTO_SAFE
casam-an,kasam-an,9,HIGH,C_TO_K,APPROVED,AUTO_SAFE
camtan,kamtan,9,HIGH,C_TO_K,APPROVED,AUTO_SAFE
caawaawa,kaawaawa,9,HIGH,C_TO_K,APPROVED,AUTO_SAFE
pingcaw,pingkaw,9,HIGH,C_TO_K,APPROVED,AUTO_SAFE
catiwasayan,katiwasayan,9,HIGH,C_TO_K,APPROVED,AUTO_SAFE
magcacaroon,magkakaroon,8,HIGH,C_TO_K,APPROVED,AUTO_SAFE
tumatacas,tumatakas,8,HIGH,C_TO_K,APPROVED,AUTO_SAFE
excomulgado,exkomulgado,8,HIGH,C_TO_K,APPROVED,AUTO_SAFE
catutubong,katutubong,8,HIGH,C_TO_K,APPROVED,AUTO_SAFE
canin,kanin,8,HIGH,C_TO_K,APPROVED,AUTO_SAFE
lumacad,lumakad,8,HIGH,C_TO_K,APPROVED,AUTO_SAFE
capitan,kapitan,8,HIGH,C_TO_K,APPROVED,AUTO_SAFE
nacasuot,nakasuot,8,HIGH,C_TO_K,APPROVED,AUTO_SAFE
calaguitnaan,kalaguitnaan,8,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cawayang,kawayang,8,HIGH,C_TO_K,APPROVED,AUTO_SAFE
sicad,sikad,8,HIGH,C_TO_K,APPROVED,AUTO_SAFE
bucal,bukal,8,HIGH,C_TO_K,APPROVED,AUTO_SAFE
nagcacamali,nagkakamali,8,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cacaiba,kakaiba,8,HIGH,C_TO_K,APPROVED,AUTO_SAFE
caingayan,kaingayan,8,HIGH,C_TO_K,APPROVED,AUTO_SAFE
palacad,palakad,8,HIGH,C_TO_K,APPROVED,AUTO_SAFE
nagcuculang,nagkukulang,8,HIGH,C_TO_K,APPROVED,AUTO_SAFE
macapangyarihang,makapangyarihang,8,HIGH,C_TO_K,APPROVED,AUTO_SAFE
nagcasiya,nagkasiya,8,HIGH,C_TO_K,APPROVED,AUTO_SAFE
acalaing,akalaing,8,HIGH,C_TO_K,APPROVED,AUTO_SAFE
hinawacan,hinawakan,8,HIGH,C_TO_K,APPROVED,AUTO_SAFE
nacahahadlang,nakahahadlang,8,HIGH,C_TO_K,APPROVED,AUTO_SAFE
catoto,katoto,8,HIGH,C_TO_K,APPROVED,AUTO_SAFE
pangcat,pangkat,8,HIGH,C_TO_K,APPROVED,AUTO_SAFE
malalacas,malalakas,8,HIGH,C_TO_K,APPROVED,AUTO_SAFE
catatagan,katatagan,8,HIGH,C_TO_K,APPROVED,AUTO_SAFE
pagpapacahirap,pagpapakahirap,8,HIGH,C_TO_K,APPROVED,AUTO_SAFE
catowaan,katowaan,8,HIGH,C_TO_K,APPROVED,AUTO_SAFE
putucan,putukan,8,HIGH,C_TO_K,APPROVED,AUTO_SAFE
casamaang,kasamaang,8,HIGH,C_TO_K,APPROVED,AUTO_SAFE
catampalasanan,katampalasanan,8,HIGH,C_TO_K,APPROVED,AUTO_SAFE
bacol,bakol,8,HIGH,C_TO_K,APPROVED,AUTO_SAFE
comedia,komedia,8,HIGH,C_TO_K,APPROVED,AUTO_SAFE
niyacap,niyakap,8,HIGH,C_TO_K,APPROVED,AUTO_SAFE
macagawa,makagawa,8,HIGH,C_TO_K,APPROVED,AUTO_SAFE
nacakita,nakakita,8,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cawacasan,kawakasan,8,HIGH,C_TO_K,APPROVED,AUTO_SAFE
nacaraang,nakaraang,8,HIGH,C_TO_K,APPROVED,AUTO_SAFE
nacayayamot,nakayayamot,8,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cahinaan,kahinaan,8,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cadakilaan,kadakilaan,8,HIGH,C_TO_K,APPROVED,AUTO_SAFE
inaacalang,inaakalang,7,HIGH,C_TO_K,APPROVED,AUTO_SAFE
capangagaw,kapangagaw,7,HIGH,C_TO_K,APPROVED,AUTO_SAFE
pinagcacautangan,pinagkakautangan,7,HIGH,C_TO_K,APPROVED,AUTO_SAFE
casabihang,kasabihang,7,HIGH,C_TO_K,APPROVED,AUTO_SAFE
musicang,musikang,7,HIGH,C_TO_K,APPROVED,AUTO_SAFE
calayaang,kalayaang,7,HIGH,C_TO_K,APPROVED,AUTO_SAFE
lingcod,lingkod,7,HIGH,C_TO_K,APPROVED,AUTO_SAFE
casambahay,kasambahay,7,HIGH,C_TO_K,APPROVED,AUTO_SAFE
casagutan,kasagutan,7,HIGH,C_TO_K,APPROVED,AUTO_SAFE
casabihan,kasabihan,7,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cuchillo,kuchillo,7,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cahuluga'y,kahuluga'y,7,HIGH,C_TO_K,APPROVED,AUTO_SAFE
caisipang,kaisipang,7,HIGH,C_TO_K,APPROVED,AUTO_SAFE
geroglifico,geroglifiko,7,HIGH,C_TO_K,APPROVED,AUTO_SAFE
capapalo,kapapalo,7,HIGH,C_TO_K,APPROVED,AUTO_SAFE
copa,kopa,7,HIGH,C_TO_K,APPROVED,AUTO_SAFE
bacod,bakod,7,HIGH,C_TO_K,APPROVED,AUTO_SAFE
casawiang,kasawiang,7,HIGH,C_TO_K,APPROVED,AUTO_SAFE
casamang,kasamang,7,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cataimtiman,kataimtiman,7,HIGH,C_TO_K,APPROVED,AUTO_SAFE
casaysayan,kasaysayan,7,HIGH,C_TO_K,APPROVED,AUTO_SAFE
nacalalaguim,nakalalaguim,7,HIGH,C_TO_K,APPROVED,AUTO_SAFE
confesion,konfesion,7,HIGH,C_TO_K,APPROVED,AUTO_SAFE
nagcucruz,nagkucruz,7,HIGH,C_TO_K,APPROVED,AUTO_SAFE
capirasong,kapirasong,7,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cahapishapis,kahapishapis,7,HIGH,C_TO_K,APPROVED,AUTO_SAFE
matangcad,matangkad,7,HIGH,C_TO_K,APPROVED,AUTO_SAFE
vaca,vaka,7,HIGH,C_TO_K,APPROVED,AUTO_SAFE
iniuucol,iniuukol,7,HIGH,C_TO_K,APPROVED,AUTO_SAFE
casamaan,kasamaan,7,HIGH,C_TO_K,APPROVED,AUTO_SAFE
nacaliliguid,nakaliliguid,7,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cahalagahan,kahalagahan,7,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cordon,kordon,7,HIGH,C_TO_K,APPROVED,AUTO_SAFE
nacatitig,nakatitig,7,HIGH,C_TO_K,APPROVED,AUTO_SAFE
nacatayo,nakatayo,7,HIGH,C_TO_K,APPROVED,AUTO_SAFE
sicat,sikat,7,HIGH,C_TO_K,APPROVED,AUTO_SAFE
carreton,karreton,7,HIGH,C_TO_K,APPROVED,AUTO_SAFE
capalarang,kapalarang,7,HIGH,C_TO_K,APPROVED,AUTO_SAFE
caraingan,karaingan,7,HIGH,C_TO_K,APPROVED,AUTO_SAFE
sumasacatuwiran,sumasakatuwiran,7,HIGH,C_TO_K,APPROVED,AUTO_SAFE
caacbay,kaacbay,7,HIGH,C_TO_K,APPROVED,AUTO_SAFE
catotohana'y,katotohana'y,7,HIGH,C_TO_K,APPROVED,AUTO_SAFE
casacunaan,kasakunaan,7,HIGH,C_TO_K,APPROVED,AUTO_SAFE
calamigan,kalamigan,7,HIGH,C_TO_K,APPROVED,AUTO_SAFE
naglalacad,naglalakad,7,HIGH,C_TO_K,APPROVED,AUTO_SAFE
nacasabit,nakasabit,7,HIGH,C_TO_K,APPROVED,AUTO_SAFE
comediang,komediang,7,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cunot,kunot,7,HIGH,C_TO_K,APPROVED,AUTO_SAFE
bacal,bakal,7,HIGH,C_TO_K,APPROVED,AUTO_SAFE
catacottacot,katakottakot,7,HIGH,C_TO_K,APPROVED,AUTO_SAFE
caharap,kaharap,7,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cagalangan,kagalangan,7,HIGH,C_TO_K,APPROVED,AUTO_SAFE
canicanyang,kanikanyang,7,HIGH,C_TO_K,APPROVED,AUTO_SAFE
bangcang,bangkang,7,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cagandagandahang,kagandagandahang,6,HIGH,C_TO_K,APPROVED,AUTO_SAFE
magcagayon,magkagayon,6,HIGH,C_TO_K,APPROVED,AUTO_SAFE
mapamintacasi,mapamintakasi,6,HIGH,C_TO_K,APPROVED,AUTO_SAFE
capurihang,kapurihang,6,HIGH,C_TO_K,APPROVED,AUTO_SAFE
catibayan,katibayan,6,HIGH,C_TO_K,APPROVED,AUTO_SAFE
caarawan,kaarawan,6,HIGH,C_TO_K,APPROVED,AUTO_SAFE
casam-ang,kasam-ang,6,HIGH,C_TO_K,APPROVED,AUTO_SAFE
calesa,kalesa,6,HIGH,C_TO_K,APPROVED,AUTO_SAFE
macapagbibigay,makapagbibigay,6,HIGH,C_TO_K,APPROVED,AUTO_SAFE
conciencia,konciencia,6,HIGH,C_TO_K,APPROVED,AUTO_SAFE
capanahunan,kapanahunan,6,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cautangan,kautangan,6,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cailangang,kailangang,6,HIGH,C_TO_K,APPROVED,AUTO_SAFE
icalawang,ikalawang,6,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cahatulan,kahatulan,6,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cafe,kafe,6,HIGH,C_TO_K,APPROVED,AUTO_SAFE
nacapatong,nakapatong,6,HIGH,C_TO_K,APPROVED,AUTO_SAFE
pamimintacasi,pamimintakasi,6,HIGH,C_TO_K,APPROVED,AUTO_SAFE
paglilingcod,paglilingkod,6,HIGH,C_TO_K,APPROVED,AUTO_SAFE
macasalanang,makasalanang,6,HIGH,C_TO_K,APPROVED,AUTO_SAFE
nacaaakit,nakaaakit,6,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cuintas,kuintas,6,HIGH,C_TO_K,APPROVED,AUTO_SAFE
magcamit,magkamit,6,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cahingian,kahingian,6,HIGH,C_TO_K,APPROVED,AUTO_SAFE
catampalasanang,katampalasanang,6,HIGH,C_TO_K,APPROVED,AUTO_SAFE
cucharang,kucharang,6,HIGH,C_TO_K,APPROVED,AUTO_SAFE
catandaan,katandaan,6,HIGH,C_TO_K,APPROVED,AUTO_SAFE
macapagsasalita,makapagsasalita,6,HIGH,C_TO_K,APPROVED,AUTO_SAFE
