token,count,proposed_modern
cabataang,5,cabataang
kinaguisnan,5,kinaguisnan
itinulac,5,itinulac
cauculan,5,cauculan
pinagsisicapan,5,pinagsisicapan
ipagcatiwala,5,ipagcatiwala
pagcapahamac,5,pagcapahamac
binabangguit,5,binabangguit
pagcaraan,5,pagcaraan
Correo,5,Correo
napacalabis,5,napacalabis
Kinacailangan,5,Kinacailangan
cochero,5,cochero
yapacan,5,yapacan
tanicala,5,tanicala
catapusang,5,catapusang
calangitan,5,calangitan
egipcio,5,egipcio
guingon,5,guingon
canan,5,canan
mapamintacasing,5,mapamintacasing
guintong,5,guintong
fiscal,5,fiscal
casipagan,5,casipagan
cagandagandahan,5,cagandagandahan
cawad,5,cawad
unlac,5,unlac
papasoc,5,papasoc
kinacaladcad,5,kinacaladcad
pagtacas,5,pagtacas
magculang,5,magculang
nacapagbigay,5,nacapagbigay
calinisan,5,calinisan
cawayanan,5,cawayanan
corona,5,corona
caugalia,5,caugalia
nacalulugod,5,nacalulugod
culubot,5,culubot
Manacanacang,5,Manacanacang
pagcawala,5,pagcawala
macapapahamac,5,macapapahamac
cama,5,cama
capatagang,5,capatagang
pagcagabi,5,pagcagabi
caratig,5,caratig
pagcacatulog,5,pagcacatulog
pinaca,5,pinaca
patacbo,5,patacbo
sacristang,5,sacristang
nagcacagayo,5,nagcacagayo
cambing,5,cambing
paliguidliguid,5,paliguidliguid
casunod,5,casunod
macahulugan,5,macahulugan
Lumalacad,5,Lumalacad
sacerdoteng,5,sacerdoteng
nagcruz,5,nagcruz
patungcol,5,patungcol
nacu,5,nacu
sacaling,5,sacaling
pagcacahirap,5,pagcacahirap
icaapat,5,icaapat
casucatan,5,casucatan
pagnanacaw,5,pagnanacaw
pagcacaawang,5,pagcacaawang
camunti,5,camunti
panghihilacbot,5,panghihilacbot
macacain,5,macacain
pasco,5,pasco
icasampo,5,icasampo
casuutan,5,casuutan
calang,5,calang
kinacain,5,kinacain
macailang,5,macailang
Culang,5,Culang
Abaguinoong,5,Abaguinoong
calilimutan,5,calilimutan
Inacala,5,Inacala
magcasiya,5,magcasiya
escuelahang,5,escuelahang
pagcuculang,5,pagcuculang
cahalong,5,cahalong
ica,5,ica
cahulihulihang,5,cahulihulihang
ipinamanhic,5,ipinamanhic
pagcalugod,5,pagcalugod
Sumasacatuwiran,5,Sumasacatuwiran
capacete,5,capacete
macapanood,5,macapanood
sunuguin,5,sunuguin
catacot,5,catacot
calakip,5,calakip
pangguilalasan,5,pangguilalasan
kinacausap,5,kinacausap
Pagcakita,5,Pagcakita
cahinhinan,5,cahinhinan
cancion,5,cancion
nacacawatas,5,nacacawatas
pagcatacot,5,pagcatacot
cusa,5,cusa
nabucsan,5,nabucsan
nagculang,5,nagculang
casulatang,5,casulatang
carumaldumal,5,carumaldumal
pagyucod,5,pagyucod
Chananay,5,Chananay
musico,5,musico
gracia,5,gracia
catigasan,5,catigasan
casucasuan,5,casucasuan
calimutan,5,calimutan
ipanganac,5,ipanganac
pinucaw,5,pinucaw
tungculing,5,tungculing
catumbas,5,catumbas
mamacailang,5,mamacailang
casintahan,5,casintahan
Casaysayan,5,Casaysayan
caluluwang,5,caluluwang
pico,5,pico
cahalili,5,cahalili
nacararaan,5,nacararaan
cahulugang,5,cahulugang
pagcacasal,5,pagcacasal
frances,5,frances
catungcula,5,catungcula
cawalang,5,cawalang
pagcasiyahan,5,pagcasiyahan
munacalang,5,munacalang
ipahamac,5,ipahamac
Tinchang,5,Tinchang
Caraniwang,5,Caraniwang
Policia,5,Policia
Carolinas,4,Carolinas
ceremonias,4,ceremonias
Derecho,4,Derecho
cosa,4,cosa
quia,4,quia
Provincial,4,Provincial
Oficios,4,Oficios
cromo,4,cromo
champagne,4,champagne
ciriales,4,ciriales
Inquisicion,4,Inquisicion
Corneville,4,Corneville
oficial,4,oficial
qui,4,qui
domestiques,4,domestiques
Francia,4,Francia
claustro,4,claustro
sentenciador,4,sentenciador
zinc,4,zinc
glicerina,4,glicerina
cuadrong,4,cuadrong
Constantinopla,4,Constantinopla
napacasama,4,napacasama
napupucaw,4,napupucaw
civilizacion,4,civilizacion
cabaitan,4,cabaitan
cabahayan,4,cabahayan
macahulugang,4,macahulugang
matatacuting,4,matatacuting
arcong,4,arcong
magwicang,4,magwicang
nacacabit,4,nacacabit
macuhang,4,macuhang
equinoccio,4,equinoccio
pagsasaca,4,pagsasaca
sacop,4,sacop
nacakikilala,4,nacakikilala
macacakita,4,macacakita
napaca,4,napaca
suntoc,4,suntoc
Carilagan,4,Carilagan
franciscanong,4,franciscanong
Acala,4,Acala
casinungalingan,4,casinungalingan
icalabing,4,icalabing
humawac,4,humawac
Yumucod,4,Yumucod
calaking,4,calaking
casaganaan,4,casaganaan
calahatan,4,calahatan
licat,4,licat
carruaje,4,carruaje
tinacbo,4,tinacbo
maibiguing,4,maibiguing
carikitdikitang,4,carikitdikitang
linalic,4,linalic
camukha,4,camukha
sico,4,sico
pandac,4,pandac
iguiguinhawa,4,iguiguinhawa
ipinangangaco,4,ipinangangaco
nacaluhod,4,nacaluhod
nacararating,4,nacararating
paguiguing,4,paguiguing
capitulo,4,capitulo
cohete,4,cohete
incienso,4,incienso
Cofradia,4,Cofradia
nagagalac,4,nagagalac
catapustapusang,4,catapustapusang
capon,4,capon
panganganac,4,panganganac
mapagpacumbaba,4,mapagpacumbaba
cristianong,4,cristianong
casucatang,4,casucatang
nacaliligalig,4,nacaliligalig
kinacagat,4,kinacagat
pinagcagugulan,4,pinagcagugulan
buco,4,buco
pagcaalaala,4,pagcaalaala
nagtatacbo,4,nagtatacbo
pinacasisinta,4,pinacasisinta
halic,4,halic
pumupucaw,4,pumupucaw
nagpapacabicabila,4,nagpapacabicabila
cariliman,4,cariliman
caparangan,4,caparangan
cawiliwiling,4,cawiliwiling
tanicalang,4,tanicalang
nagcacamit,4,nagcacamit
camalig,4,camalig
cabayong,4,cabayong
icalimang,4,icalimang
bunducan,4,bunducan
Bumalic,4,Bumalic
pangwacas,4,pangwacas
lungcot,4,lungcot
mapapahamac,4,mapapahamac
macaatlo,4,macaatlo
sumasaguitna,4,sumasaguitna
cawal,4,cawal
magsasaca,4,magsasaca
caitaasan,4,caitaasan
cacahuyan,4,cacahuyan
nasasacop,4,nasasacop
vocal,4,vocal
cabalitaang,4,cabalitaang
caja,4,caja
pinacamagaling,4,pinacamagaling
nicho,4,nicho
humucay,4,humucay
cabaong,4,cabaong
nacapugay,4,nacapugay
pagtiguil,4,pagtiguil
macacapal,4,macacapal
calapati,4,calapati
nacapaco,4,nacapaco
malicsing,4,malicsing
saguisag,4,saguisag
cumatha,4,cumatha
paunlacan,4,paunlacan
guinhawa,4,guinhawa
caunaunahang,4,caunaunahang
pagcacaiba,4,pagcacaiba
adhicang,4,adhicang
Concilio,4,Concilio
bangguitin,4,bangguitin
icalabinglimang,4,icalabinglimang
mapapacagaling,4,mapapacagaling
lumalacas,4,lumalacas
itinutulac,4,itinutulac
nagnanacaw,4,nagnanacaw
caca,4,caca
cagalitan,4,cagalitan
maigui,4,maigui
pacanin,4,pacanin
capahintulutan,4,capahintulutan
cahigtan,4,cahigtan
casalatan,4,casalatan
bangcong,4,bangcong
camatis,4,camatis
pagcasabi,4,pagcasabi
nacacaramdam,4,nacacaramdam
wiwicain,4,wiwicain
humihitic,4,humihitic
tugtuguin,4,tugtuguin
nasactan,4,nasactan
indulgenciang,4,indulgenciang
macapagliligtas,4,macapagliligtas
cuaderno,4,cuaderno
Nagcacamali,4,Nagcacamali
biic,4,biic
paco,4,paco
pinapagcunot,4,pinapagcunot
Tinacpan,4,Tinacpan
macagagawa,4,macagagawa
carangalan,4,carangalan
pagcacaroon,4,pagcacaroon
bagcos,4,bagcos
cumalat,4,cumalat
nagbalic,4,nagbalic
caululan,4,caululan
cahalo,4,cahalo
carapatang,4,carapatang
cuadrillerong,4,cuadrillerong
munacala,4,munacala
nagcacaisa,4,nagcacaisa
cañon,4,cañon
caawa,4,caawa
nacuha,4,nacuha
nacahiga,4,nacahiga
taluctoc,4,taluctoc
sasacyang,4,sasacyang
catatagang,4,catatagang
cumanta,4,cumanta
caliskis,4,caliskis
Lumucso,4,Lumucso
nacabalot,4,nacabalot
camacalawa,4,camacalawa
Capalaran,4,Capalaran
cabalitaan,4,cabalitaan
nangangatungculan,4,nangangatungculan
capaslangan,4,capaslangan
cababalaghan,4,cababalaghan
catapangan,4,catapangan
bacahin,4,bacahin
pagcaalam,4,pagcaalam
