token,count,example_contexts,chapters
Crisostomo,64,Juan Crisostomo Ibarra. | —Juan Crisostomo Ibarra? | Sumaalaala niya yaong bantog na tinuran ni San Juan Crisostomo nang ipinagtanggol ang eunuco na si Eutropio: “¡Kailan man ay hindi naging lalong kapit na di gaya ngayon sabihing: Kapalaluan ng mga kapalaluan at ang lahat ay kapalaluan!,"noli:55,noli:40,noli:28,elfili:35,noli:35,noli:13,noli:52,noli:48,noli:7,noli:10"
buhoc,64,"Ang isa sa mga paisano'y isang taong malingguit, maitim ang balbas at walang ikinatatangi kung di ang ilong, na sa calakha'y masasabing hindi kanya; ang isa, nama'y isang binatang culay guinto ang buhoc, na tila bagong dating dito sa Filipinas: ito ang masilacbong pinakikipagmatuwiranan ng franciscano. | Ngunit hindi ko mapagcuro kung ano ang cabagayan ng inyong mga sinabi sa pagkakaalis ng ""estanco ng tabaco""—ang sagot ng may mapulang buhoc na causap, na canyang sinamantala ang sandaling pagkatiguil dahil sa pag-inom ng franciscano ng isang copita ng Jerez. | Ngayo'y ang may pulang buhoc naman ang natigagal, lalong ikinunot ng teniente ang canyang mga kilay, iguinagalaw ang ulo ng taong bulilit na parang ipinahahalata niyang binibigyan niyang catuwiran o hindi si Fray Damaso.","noli:55,noli:16,noli:12,noli:27,noli:52,noli:47,noli:7,noli:1,noli:3,noli:31"
convento,64,"Wala sa canyang convento ang pantas na dominico; maagang maaga, pagkapagmisa, siya'y napatungo sa convento ng canyang capisanang na sa macapasoc ng pintuan ni Isabel Segunda, o ni Magallanes, alinsunod sa naghaharing familia, sa Madrid. | Wala sa canyang convento ang pantas na dominico; maagang maaga, pagkapagmisa, siya'y napatungo sa convento ng canyang capisanang na sa macapasoc ng pintuan ni Isabel Segunda, o ni Magallanes, alinsunod sa naghaharing familia, sa Madrid. | —¿Paparoon ba kayo sa convento upang dalawin ang ""curita"" ""Mosca, muerta?","noli:55,noli:28,noli:35,noli:27,noli:52,noli:31,noli:53,noli:34,noli:19,noli:25"
lacas,63,"Baga man sumusungaw na ang mga uban sa canyang balbas, wari'y nananatili ang lacas ng canyang malusog na pangangatawan. | —ang sagot na paangil at galit, at saka biglang nagpatinghiga ng buong lacas sa hiligan ng sillon. | Sinasabi sa akin ng aking ""conciencia"" na sa loob ng kaya'y dapat akong humalili sa taong aking pinatay, ihandog ko ang aking buong lacas at hanggang ako'y nabubuhay, sa icagagaling ng familiang itong ako ang may gawa ng pagkapahamac, at gayon man, ¿sino ang macapagbibigay ng capalit ng pagsinta ng ama?","noli:40,noli:28,noli:13,noli:48,noli:7,noli:1,noli:31,noli:53,noli:34,noli:62"
Camorra,62,"—Datapwa’y hindi ibig sabihin ng ganito na kayo’y wala sa katwiran at gayon din naman si P. Camorra (ito ang pangalan ng paring artillero); ang kasamaan ay nasa lawa..... | —ang sagot ni P. Camorra—hindi kailangang maging indio upang makabatid ng bagay na iyan, sukat na ang magkaroon ng paningin! | —Masama iyang ginagawa ninyo,—ang sabi ni Simoun na masama ang loob;—ang serbesa ay isang mabuting bagay, at nadingig kong sinabi kanginang umaga ni P. Camorra, na ang kakulangan sa lakas na napupuna sa bayang ito, ay alinsunod sa napakaraming tubig na iniinom ng mga tao rito.","elfili:4,elfili:31,elfili:21,elfili:11,elfili:2,elfili:1,elfili:18,elfili:30,elfili:36,elfili:3"
acala,60,¡Ang acala nila'y mga taong may cahulugan na! | —Ipatawad po ninyo; ngunit sa acala ko'y inyong pinacamahal ang aking ama; ¿maaari po bang sabihin ninyo sa akin kung ano ang canyang kinahinatnan? | —Sa acala ko'y hindi ako namamali; si Don Rafael Ibarra.,"noli:28,noli:35,noli:52,noli:48,noli:47,noli:7,noli:3,noli:31,noli:53,noli:34"
insic,58,"—Ang bahay na iyo'y may calakhan din, tulad sa maraming nakikita sa mga lupaing ito; natatayo sa pampang ng ilog na sanga ng ilog Pasig, na kung tawaguin ng iba'y ""ria"" (ilat) ng Binundoc, at gumaganap, na gaya rin ng lahat ng ilog sa Maynila, ng maraming capacan-ang pagkapaliguan, agusan ng dumi, labahan, pinangingisdaan, daanan ng bangcang nagdadala ng sarisaring bagay, at kung magcabihira pa'y cucunan ng tubig na inumin, kung minamagaling ng tagaiguib na insic. | Sa panonood ng mga calagayang iyong umaakit sa pagkakagana sa pagkain at naguudyoc ng ucol sa paglasap ng masasarap na bagay bagay, marahil acalain ng ilang may masamang isipan ang may-ari ng bahay, na napagkikilalang magaling ang calooban ng halos lahat ng mga magsisiupo sa mesa, at ng huwag namang mahalatang totoo ang canyang panucala, nagsabit sa quizame ng maririkit na lamparang gawa sa China, mga jaulang walang ibon, mga bolang cristal na may azogueng may culay pula, verde at azul, mga halamang pangbiting lanta na, mga tuyong isdang botete na hinipa't ng bumintog, at iba pa, at ang lahat ng ito'y nacuculong sa may dakong ilog ng maiinam na mga arcong kahoy, na ang anyo'y alangang huguis europeo't alangang huguis insic, at may natatanaw namang isang ""azoteang"" may mga balag at mga ""glorietang"" bahagya na naliliwanagan ng mga maliliit na farol na papel na may sarisaring culay. | —¿Paano po bang matutuclasan pa ng abang iyon ang polvora, ay alinsunod sa sabi'y natuclasan na ito ng mga insic na malaong panahon na?","noli:55,noli:14,noli:28,noli:12,noli:13,noli:27,noli:29,noli:1,noli:10,noli:31"
cang,56,"Datapwat si Fray Damaso'y hindi mahiwagang gaya nila; siya'y masaya, at kung pabug-al bug-al ang canyang voces sa pananalita, tulad sa isang taong kailan ma'y hindi naaalang-alang, palibhasa'y ipinalalagay na banal at wala ng gagaling pa sa canyang sinasabi, kinacatcat ang saclap ng gayong ugali ng canyang tawang masaya at bucas, at hangang sa napipilitan cang sa kanya'y ipatawad ang pagpapakita ng mga paang walang calcetin at mga binting mabalahibo, na icakikita ng maraming pagkabuhay ng isang Mendicta sa mga feria sa Kiapo. | —ang itinanong na nagtatawa ng palibac ng franciscano, na mula ng pasimulaan ang paghapon ay hindi nagsasalita ng ano man, marahil sa pagka't siya'y nalilibang sa pagkain; hindi carapatdapat na iwaldas mo ang iyong cayamanan upang wala cang maalaman kung di ang babahagyang bagay na iyan! | Dapat cang pasalalawigan, namumutla ka ng mainam at nagcacailangan ka ng mga mabubuting hangin.","noli:55,noli:40,noli:28,noli:12,noli:35,noli:47,noli:7,noli:1,noli:3,noli:31"
culay,55,"Isang malapad na hagdanang ma'y cacapitang culay verde, at nalalatagan ng alfombra sa mumunting panig ang siyang daanan mula sa silong o macapasoc ng pintuang nalalatagan ng ""azulejos"" hanggang sa cabahayan, na ang linalacara'y napapag-itanan ng mga maceta at alagaan ng mga bulaclac na nacalagay sa ""pedestal"" na lozang gawa sa China, na may sarisaring culay at may mga dibujong hindi mapaglirip. | Isang malapad na hagdanang ma'y cacapitang culay verde, at nalalatagan ng alfombra sa mumunting panig ang siyang daanan mula sa silong o macapasoc ng pintuang nalalatagan ng ""azulejos"" hanggang sa cabahayan, na ang linalacara'y napapag-itanan ng mga maceta at alagaan ng mga bulaclac na nacalagay sa ""pedestal"" na lozang gawa sa China, na may sarisaring culay at may mga dibujong hindi mapaglirip. | Tunay mang ang pagkakapinta'y hindi nagpapakilala ng ""arte"" at cabutihang lumikha, datapwat nagsasaysay naman ng caraniwang mamalas: ang babaeng may sakit ay tila na bangcay na nabubuloc, dahil sa culay dilaw at azul ng canyang mukha; ang mga vaso't iba pang mga casangcapan, iyang maraming mga natitipong bagay bagay sa mahabang pagkakasakit ay doo'y lubhang mabuti ang pagkakasipi, na ano pa't napapanood pati ng linalaman.","noli:16,noli:7,noli:1,noli:31,noli:30,noli:62,noli:59,noli:6,noli:60,noli:23"
caunti,55,"Tungkol sa mga lalaki'y nangagcacainga'y ng caunti. | Sa pangguiguilalas ng di ano lamang ni Fr. Damaso ay caunti nang mabitiwan nito ang copa. | ipatawad po ninyong salabatin ko ang inyong pananalita—anang binata, na idinahan ang voces at inilapit ng caunti ang canyang upuan; sinabi po ninyo ang isang salita na totoong nacaakit sa aking magdilidili.","noli:55,noli:14,noli:16,noli:40,noli:28,noli:12,noli:13,noli:47,noli:1,noli:3"
catungculan,54,"May anim na libo ang dami ng taong namamayan sa San Diego, at bawa't tagaroo'y nakikilala ko, na parang siya'y aking ipinanganac at pinasuso: nalalaman ko kung alin ang mga lisyang caasalan nito, kung ano ang pinangangailangan niyon, kung sino ang nangingibig sa bawa't dalaga, kung ano anong mga pagkadupilas ang nangyari sa babaeng ito, kung sino ang tunay na ama ng batang inianac, at iba pa; palibhasa'y kinucumpisal ko ang calahatlahatang taong-bayan; nangag-iingat ng mainam sila sa canicanilang catungculan. | —¿Naparito ba kayong may catungculan? | Napilitang iwan ng ""alcade"" ang canyang catungculan, hinalinhan siya ng ibang, ayon sa balita'y, masintahin sa catuwiran, ngunit sa casaliwaang palad, ito'y ilang buwan lamang nanatili roon, at ang napahalili sa kanya'y napacalabis naman ang pagka maibiguin sa mabuting kabayo.","noli:16,noli:40,noli:35,noli:7,noli:1,noli:31,noli:53,noli:34,noli:59,noli:19"
catuwiran,53,"Ngayo'y ang may pulang buhoc naman ang natigagal, lalong ikinunot ng teniente ang canyang mga kilay, iguinagalaw ang ulo ng taong bulilit na parang ipinahahalata niyang binibigyan niyang catuwiran o hindi si Fray Damaso. | Isang taong gaya niyang may isang anak na lalaking kinabubuhusan ng buong pag-irog at mga pag-asa, isang taong may pananampalataya sa Dios, na nacacaalam ng canyang mga catungculang dapat ganapin sa pamamayan, isang taong mapagmahal sa capurihan at hindi sumisinsay sa catuwiran, ang ganyang tao'y hindi nagpapacamatay. | Kung naging iba sana ang inyong ama, marahil pagdaca'y nacawala, sa pagka't may isang malicong nagsaysay, na ang ikinamatay ng culang palad na maniningil ay mula sa isang ""congestion""; ngunit ang canyang cayamanan, ang canyang pananalig sa catuwiran at ang canyang galit sa lahat ng hindi naaayon sa cautusan o sa catuwiran ang sa canyang nangagpahamac.","noli:14,noli:40,noli:28,noli:35,noli:1,noli:31,noli:53,noli:34,noli:19,noli:6"
manoc,53,"Ang tinola ay ang pinaghalong inahing manoc at saka upo. | Ngunit ayawan kung sa isang pagkalibang o iba cayang bagay, tumama kay pari Damaso ang isang pinggang sa gitna ng maraming upo at sabaw ay lumalangoy ang isang hubad na liig at isang matigas na pacpac ng inahing manoc, samantalang cumacain ang iba ng mga hita at dibdib, lalong lalo na si Ibarra, na nagcapalad mapatama sa kanya ang mga atay, balonbalonan at iba, pang masasarap na lamang loob ng inahing manoc. | Ngunit ayawan kung sa isang pagkalibang o iba cayang bagay, tumama kay pari Damaso ang isang pinggang sa gitna ng maraming upo at sabaw ay lumalangoy ang isang hubad na liig at isang matigas na pacpac ng inahing manoc, samantalang cumacain ang iba ng mga hita at dibdib, lalong lalo na si Ibarra, na nagcapalad mapatama sa kanya ang mga atay, balonbalonan at iba, pang masasarap na lamang loob ng inahing manoc.","noli:55,noli:16,noli:35,noli:27,noli:52,noli:1,noli:3,noli:34,noli:62,noli:6"
civil,53,"kung di ko lamang ikaw nakikilala at natatalastas kung ikaw ay ""lalaki"", sasabihin kung ikaw ay tunay ngang castilang civil: kung magtanong ka'y tulad din sa kanya. | ¡Hindi guinugunita ng mga guardia civil ang mga ina! | Hindi mga tao ang mga guardia civil, sila'y mga guardia civil lamang: hindi nila diniringig ang mga panghihimanhik at sila'y bihasang macapanood ng mga luha.","noli:55,noli:40,noli:12,noli:35,noli:27,noli:52,noli:47,noli:53,noli:31,noli:30"
capitan,52,"Ang tanging sumasalubong sa pagdating ng mga ginoong babae ay isang babaeng matandang pinsan ni capitan Tiago, mukhang mabait at hindi magaling magwicang kastila. | Ang pintuang iyan ng salas, na natatacpan ng isang tabing na sutla ay siyang daang patungo sa isang maliit na capilla o panalanginang di dapat mawala sa alin mang bahay ng filipino: naririyan ang mga ""dios lar"" ni capitan Tiago, at sinasabi naming mga ""dios lar,"" sa pagka't lalong minamagaling ng ginoong ito ang ""politeismo"" kay sa ""monoteismo"" na kailan ma'y hindi niya naabot ng pag-iisip. | —Siya nga po, ginoong capitan; natotowa ako sa pagka't may isa akong inaasahan.","noli:20,noli:14,noli:43,noli:59,noli:6,noli:24,noli:49,noli:50,noli:58,noli:44"
bucas,51,"Datapwat si Fray Damaso'y hindi mahiwagang gaya nila; siya'y masaya, at kung pabug-al bug-al ang canyang voces sa pananalita, tulad sa isang taong kailan ma'y hindi naaalang-alang, palibhasa'y ipinalalagay na banal at wala ng gagaling pa sa canyang sinasabi, kinacatcat ang saclap ng gayong ugali ng canyang tawang masaya at bucas, at hangang sa napipilitan cang sa kanya'y ipatawad ang pagpapakita ng mga paang walang calcetin at mga binting mabalahibo, na icakikita ng maraming pagkabuhay ng isang Mendicta sa mga feria sa Kiapo. | —ang sigaw ng tenienteng nagbabala at wari'y mandin ay nag-uutos sa canyang mga sundalo;—¡o inyong pagsisisihan ang lahat ninyong sinabi o bucas din ay magbibigay sabi ako sa Canyang Carilagan!... | Nababasa sa canyang mukhang bucas at masaya ang caunting bacas ng dugong kastila na naaaninag sa isang magandang culay caymanggui, na mapulapula sa mga pisngi, marahil sa pagkapatira niya sa mga bayang malalamig.","noli:55,noli:14,noli:40,noli:28,noli:13,noli:27,noli:48,noli:52,noli:7,noli:1"
malacas,51,"Di caguinsaguinsa'y pinacabigyanbigyan ng suntoc ang palungan ng kamay ng canyang sillon, huminga ng malacas at nagsalita: | Umulan ang mga paratang, isinumbong na siya'y filibustero at hereje: ang maguing ""hereje"" ay isang casawiang palad sa lahat ng lugar, lalong lalo na ng panahong iyong ang ""alcalde"" sa lalawiga'y isang taong nagpaparangalang siya'y mapamintacasi, na kasama ang canyang mga alilang nagdarasal ng rosario sa simbahan ng malacas na pananalita, marahil ng marinig ng lahat at ng makipagdasal sa kanya; datapwat ang maguing filibustero ay lalong masama kay sa maguing ""hereje,"" at masama pang lalo kay sa pumatay ng tatlong maniningil ng buwis na marunong bumasa, sumulat at marunong magtangitangi. | Ipinagtabuyan, ang canyang caayaayang mga naaalaala ng Jardin Botanico; iniharap sa canyang pag-iisip ang demonio ng mga pagsusumagsumag; ang mga Jardin Botanico sa Europa, sa mga lupaing nangagcacailangan ng malacas na calooban at saganang guinto upang mapasibol ang isang dahon at mapabucas ang isang bulaclac; hindi lamang doon, kung di sa mga ""colonia"" man ay may mabubuti ang alaga at mga mahahalagang Jardin Botanicong bucas na lagui sa sino mang ibig manood.","noli:55,noli:40,noli:28,noli:35,noli:1,noli:10,noli:31,noli:53,noli:34,noli:59"
