chapter_number,original_title,normalized_title,notes
41,DALAWANG PANAUHIN.,DALAWANG PANAUHIN.,
42,ANG MAG-ASAWANG DE ESPADAÑA.,ANG MAG-ASAWANG DE ESPADAÑA.,
43,MGA PANUCALA.,MGA PANUKALA.,Normalized: PANUCALA->PANUKALA
44,PAGSISIYASAT NG CONCIENCIA.,PAGSISIYASAT NG CONCIENCIA.,
45,ANG MGA PINAG-UUSIG.,ANG MGA PINAG-UUSIG.,
46,SABUNGAN.,SABUNGAN.,
47,ANG DALAWANG GUINOONG BABAE.,ANG DALAWANG GUINOONG BABAE.,
48,ANG HINDI MAGCURO,ANG HINDI MAGKURO,Normalized: MAGCURO->MAGKURO
49,ANG TINGIG Ng MgA PINAG-UUSIG.,ANG TINGIG NG MGA PINAG-UUSIG.,Normalized (Formatting/Artifacts)
50,ANG MAG-ANAK NI ELIAS.,ANG MAG-ANAK NI ELIAS.,
51,MGA PAGBABAGO.,MGA PAGBABAGO.,
52,ANG SULAT Ng MgA PATAY AT ANG MgA ANINO.,ANG SULAT NG MGA PATAY AT ANG MGA ANINO.,Normalized (Formatting/Artifacts)
53,IL BUON DI SI CONOSCE DA MATTINA.,IL BUON DI SI CONOSCE DA MATTINA.,Unchanged
54,LIV.,LIV.,Unchanged
54,ANG CAPAHAMACAN.,ANG CAPAHAMACAN.,
55,ANG SABIHANAN AT ANG INAACALA.,ANG SABIHANAN AT ANG INAACALA.,
56,¡VAE VICTIS![261],¡VAE VICTIS!,Formatting/Cleaning only (Foreign preserved)
57,ANG SINUMPA.,ANG SINUMPA.,
58,ANG KINAGUISNANG BAYAN AT ANG MgA PAG-AARI.,ANG KINAGISNANG BAYAN AT ANG MGA PAG-AARI.,Normalized: KINAGUISNANG->KINAGISNANG
59,MAG-AASAWA SI MARIA CLARA.,MAG-AASAWA SI MARIA CLARA.,
60,ANG PANGHUHULI SA DAGATAN.,ANG PANGHUHULI SA DAGATAN.,
61,PAGPAPALIWANAG NI PARI DAMASO.,PAGPAPALIWANAG NI PARI DAMASO.,
62,ANG GABING SINUSUNDAN Ng PASCO Ng PANgANgANAC.,ANG GABING SINUSUNDAN NG PASCO NG PANGANGANAC.,Normalized (Formatting/Artifacts)
63,PANGWACAS NA BAHAGUI.,PANGWAKAS NA BAHAGI.,"Normalized: PANGWACAS->PANGWAKAS, BAHAGUI->BAHAGI"
